# Results collected after 1000 snapshots.
x,y
-102.09936213621495,0.001
-101.81986767208606,0.001
-101.54037320795716,0.001
-101.26087874382827,0.001
-100.98138427969938,0.002
-100.70188981557048,0.003
-100.4223953514416,0.004
-100.1429008873127,0.004
-99.8634064231838,0.005
-99.58391195905492,0.005
-99.30441749492601,0.005
-99.02492303079713,0.005
-98.74542856666824,0.006
-98.46593410253934,0.006
-98.18643963841045,0.007
-97.90694517428156,0.008
-97.62745071015266,0.009
-97.34795624602377,0.009
-97.06846178189488,0.009
-96.78896731776598,0.009
-96.50947285363709,0.01
-96.2299783895082,0.011
-95.9504839253793,0.013
-95.67098946125041,0.014
-95.39149499712153,0.017
-95.11200053299262,0.017
-94.83250606886374,0.02
-94.55301160473485,0.021
-94.27351714060595,0.03
-93.99402267647706,0.031
-93.71452821234817,0.035
-93.43503374821927,0.043
-93.15553928409038,0.047
-92.87604481996148,0.053
-92.59655035583259,0.058
-92.3170558917037,0.059
-92.0375614275748,0.068
-91.75806696344591,0.072
-91.47857249931702,0.078
-91.19907803518812,0.082
-90.91958357105923,0.084
-90.64008910693035,0.092
-90.36059464280144,0.099
-90.08110017867256,0.104
-89.80160571454365,0.116
-89.52211125041477,0.128
-89.24261678628588,0.143
-88.96312232215698,0.154
-88.68362785802809,0.159
-88.4041333938992,0.168
-88.1246389297703,0.184
-87.84514446564141,0.192
-87.56565000151252,0.203
-87.28615553738362,0.214
-87.00666107325473,0.222
-86.72716660912585,0.24
-86.44767214499694,0.254
-86.16817768086806,0.267
-85.88868321673917,0.28
-85.60918875261027,0.294
-85.32969428848138,0.307
-85.05019982435249,0.326
-84.77070536022359,0.339
-84.4912108960947,0.349
-84.21171643196581,0.364
-83.93222196783691,0.381
-83.65272750370802,0.395
-83.37323303957913,0.408
-83.09373857545023,0.423
-82.81424411132134,0.435
-82.53474964719246,0.447
-82.25525518306355,0.466
-81.97576071893467,0.48
-81.69626625480576,0.495
-81.41677179067688,0.509
-81.13727732654799,0.525
-80.85778286241909,0.543
-80.5782883982902,0.562
-80.2987939341613,0.573
-80.01929947003241,0.585
-79.73980500590352,0.598
-79.46031054177462,0.611
-79.18081607764573,0.619
-78.90132161351684,0.633
-78.62182714938794,0.642
-78.34233268525905,0.662
-78.06283822113016,0.68
-77.78334375700126,0.691
-77.50384929287237,0.701
-77.22435482874349,0.713
-76.94486036461458,0.723
-76.6653659004857,0.737
-76.38587143635681,0.748
-76.1063769722279,0.758
-75.82688250809902,0.772
-75.54738804397013,0.784
-75.26789357984123,0.792
-74.98839911571234,0.805
-74.70890465158345,0.812
-74.42941018745455,0.817
-74.14991572332566,0.828
-73.87042125919677,0.833
-73.59092679506787,0.841
-73.31143233093898,0.849
-73.0319378668101,0.85
-72.7524434026812,0.857
-72.4729489385523,0.87
-72.19345447442342,0.877
-71.91396001029452,0.884
-71.63446554616563,0.888
-71.35497108203673,0.892
-71.07547661790784,0.895
-70.79598215377894,0.897
-70.51648768965005,0.902
-70.23699322552116,0.908
-69.95749876139226,0.913
-69.67800429726337,0.917
-69.39850983313448,0.921
-69.11901536900558,0.926
-68.8395209048767,0.932
-68.5600264407478,0.936
-68.2805319766189,0.938
-68.00103751249002,0.946
-67.72154304836113,0.951
-67.44204858423223,0.955
-67.16255412010334,0.957
-66.88305965597445,0.96
-66.60356519184555,0.961
-66.32407072771666,0.962
-66.04457626358777,0.964
-65.76508179945887,0.967
-65.48558733532998,0.97
-65.2060928712011,0.971
-64.92659840707219,0.971
-64.6471039429433,0.973
-64.36760947881442,0.974
-64.08811501468551,0.974
-63.808620550556626,0.976
-63.52912608642773,0.977
-63.249631622298836,0.978
-62.97013715816995,0.98
-62.69064269404105,0.984
-62.41114822991216,0.985
-62.13165376578326,0.986
-61.852159301654375,0.988
-61.57266483752548,0.988
-61.293170373396585,0.988
-61.0136759092677,0.988
-60.7341814451388,0.988
-60.45468698100991,0.988
-60.17519251688102,0.989
-59.895698052752124,0.99
-59.61620358862323,0.992
-59.336709124494334,0.992
-59.057214660365446,0.992
-58.77772019623655,0.994
-58.498225732107656,0.994
-58.21873126797877,0.994
-57.93923680384987,0.994
-57.65974233972098,0.994
-57.38024787559209,0.994
-57.100753411463195,0.994
-56.8212589473343,0.994
-56.541764483205405,0.994
-56.26227001907652,0.994
-55.98277555494762,0.994
-55.70328109081873,0.994
-55.42378662668984,0.994
-55.144292162560944,0.996
-54.86479769843205,0.996
-54.585303234303154,0.996
-54.305808770174266,0.996
-54.02631430604537,0.996
-53.746819841916476,0.996
-53.46732537778759,0.996
-53.18783091365869,0.996
-52.9083364495298,0.996
-52.62884198540091,0.996
-52.349347521272016,0.996
-52.06985305714312,0.996
-51.790358593014226,0.996
-51.51086412888534,0.996
-51.23136966475644,0.998
-50.95187520062755,0.999
-50.67238073649866,0.999
-50.392886272369765,0.999
-50.11339180824087,0.999
-49.83389734411198,0.999
-49.55440287998309,0.999
-49.27490841585419,0.999
-48.9954139517253,0.999
-48.71591948759641,0.999
-48.436425023467514,0.999
-48.15693055933862,0.999
-47.87743609520973,0.999
-47.597941631080836,0.999
-47.31844716695194,0.999
-47.038952702823046,0.999
-46.75945823869416,0.999
-46.47996377456526,1.0
