# Results collected after 1000 snapshots.
x,y
-229.7470280058656,0.001
-229.46753354173669,0.001
-229.1880390776078,0.001
-228.9085446134789,0.001
-228.62905014935,0.002
-228.34955568522113,0.003
-228.07006122109223,0.004
-227.79056675696333,0.004
-227.51107229283446,0.005
-227.23157782870555,0.005
-226.95208336457665,0.005
-226.67258890044778,0.005
-226.39309443631888,0.006
-226.11359997218997,0.006
-225.83410550806107,0.007
-225.5546110439322,0.008
-225.2751165798033,0.009
-224.9956221156744,0.009
-224.71612765154552,0.009
-224.43663318741662,0.009
-224.15713872328772,0.01
-223.87764425915884,0.011
-223.59814979502994,0.013
-223.31865533090104,0.014
-223.03916086677216,0.017
-222.75966640264326,0.017
-222.48017193851436,0.02
-222.2006774743855,0.021
-221.92118301025658,0.03
-221.64168854612768,0.031
-221.3621940819988,0.035
-221.0826996178699,0.043
-220.803205153741,0.047
-220.52371068961213,0.053
-220.24421622548323,0.058
-219.96472176135433,0.059
-219.68522729722542,0.068
-219.40573283309655,0.072
-219.12623836896765,0.078
-218.84674390483877,0.082
-218.56724944070987,0.084
-218.28775497658097,0.092
-218.00826051245207,0.099
-217.7287660483232,0.104
-217.4492715841943,0.116
-217.1697771200654,0.128
-216.89028265593652,0.143
-216.61078819180761,0.154
-216.3312937276787,0.159
-216.05179926354984,0.168
-215.77230479942094,0.184
-215.49281033529203,0.192
-215.21331587116316,0.203
-214.93382140703426,0.214
-214.65432694290536,0.222
-214.37483247877648,0.24
-214.09533801464758,0.254
-213.81584355051868,0.267
-213.5363490863898,0.28
-213.2568546222609,0.294
-212.977360158132,0.307
-212.6978656940031,0.326
-212.41837122987423,0.339
-212.13887676574532,0.349
-211.85938230161645,0.364
-211.57988783748755,0.381
-211.30039337335865,0.395
-211.02089890922974,0.408
-210.74140444510087,0.423
-210.46190998097197,0.435
-210.18241551684307,0.447
-209.9029210527142,0.466
-209.6234265885853,0.48
-209.3439321244564,0.495
-209.0644376603275,0.509
-208.7849431961986,0.525
-208.5054487320697,0.543
-208.22595426794084,0.562
-207.94645980381193,0.573
-207.66696533968303,0.585
-207.38747087555416,0.598
-207.10797641142526,0.611
-206.82848194729635,0.619
-206.54898748316748,0.633
-206.26949301903858,0.642
-205.98999855490968,0.662
-205.71050409078077,0.68
-205.4310096266519,0.691
-205.151515162523,0.701
-204.87202069839412,0.713
-204.59252623426522,0.723
-204.31303177013632,0.737
-204.03353730600742,0.748
-203.75404284187854,0.758
-203.47454837774964,0.772
-203.19505391362074,0.784
-202.91555944949187,0.792
-202.63606498536296,0.805
-202.35657052123406,0.812
-202.0770760571052,0.817
-201.7975815929763,0.828
-201.51808712884738,0.833
-201.2385926647185,0.841
-200.9590982005896,0.849
-200.6796037364607,0.85
-200.40010927233183,0.857
-200.12061480820293,0.87
-199.84112034407403,0.877
-199.56162587994515,0.884
-199.28213141581625,0.888
-199.00263695168735,0.892
-198.72314248755845,0.895
-198.44364802342957,0.897
-198.16415355930067,0.902
-197.8846590951718,0.908
-197.6051646310429,0.913
-197.325670166914,0.917
-197.0461757027851,0.921
-196.76668123865622,0.926
-196.48718677452732,0.932
-196.20769231039844,0.936
-195.92819784626954,0.938
-195.64870338214064,0.946
-195.36920891801174,0.951
-195.08971445388286,0.955
-194.81021998975396,0.957
-194.53072552562506,0.96
-194.25123106149618,0.961
-193.97173659736728,0.962
-193.69224213323838,0.964
-193.4127476691095,0.967
-193.1332532049806,0.97
-192.8537587408517,0.971
-192.57426427672283,0.971
-192.29476981259393,0.973
-192.01527534846502,0.974
-191.73578088433612,0.974
-191.45628642020725,0.976
-191.17679195607835,0.977
-190.89729749194947,0.978
-190.61780302782057,0.98
-190.33830856369167,0.984
-190.05881409956277,0.985
-189.7793196354339,0.986
-189.499825171305,0.988
-189.22033070717612,0.988
-188.94083624304722,0.988
-188.6613417789183,0.988
-188.3818473147894,0.988
-188.10235285066054,0.988
-187.82285838653164,0.989
-187.54336392240273,0.99
-187.26386945827386,0.992
-186.98437499414496,0.992
-186.70488053001606,0.992
-186.42538606588718,0.994
-186.14589160175828,0.994
-185.86639713762938,0.994
-185.5869026735005,0.994
-185.3074082093716,0.994
-185.0279137452427,0.994
-184.7484192811138,0.994
-184.46892481698492,0.994
-184.18943035285602,0.994
-183.90993588872715,0.994
-183.63044142459825,0.994
-183.35094696046934,0.994
-183.07145249634044,0.994
-182.79195803221157,0.996
-182.51246356808267,0.996
-182.2329691039538,0.996
-181.9534746398249,0.996
-181.673980175696,0.996
-181.39448571156709,0.996
-181.1149912474382,0.996
-180.8354967833093,0.996
-180.55600231918044,0.996
-180.27650785505153,0.996
-179.99701339092263,0.996
-179.71751892679373,0.996
-179.43802446266486,0.996
-179.15852999853595,0.996
-178.87903553440705,0.998
-178.59954107027818,0.999
-178.32004660614928,0.999
-178.04055214202037,0.999
-177.76105767789147,0.999
-177.4815632137626,0.999
-177.2020687496337,0.999
-176.92257428550482,0.999
-176.64307982137592,0.999
-176.36358535724702,0.999
-176.08409089311812,0.999
-175.80459642898924,0.999
-175.52510196486034,0.999
-175.24560750073147,0.999
-174.96611303660256,0.999
-174.68661857247366,0.999
-174.40712410834476,0.999
-174.1276296442159,1.0
