# Results collected after 1000 snapshots.
x,y
-207.27430401109024,0.001
-206.99480954696133,0.001
-206.71531508283246,0.001
-206.43582061870356,0.001
-206.15632615457466,0.002
-205.87683169044578,0.003
-205.59733722631688,0.004
-205.31784276218798,0.004
-205.0383482980591,0.005
-204.7588538339302,0.005
-204.4793593698013,0.005
-204.19986490567243,0.005
-203.92037044154353,0.006
-203.64087597741462,0.006
-203.36138151328575,0.007
-203.08188704915685,0.008
-202.80239258502795,0.009
-202.52289812089907,0.009
-202.24340365677017,0.009
-201.96390919264127,0.009
-201.68441472851237,0.01
-201.4049202643835,0.011
-201.1254258002546,0.013
-200.8459313361257,0.014
-200.5664368719968,0.017
-200.2869424078679,0.017
-200.007447943739,0.02
-199.72795347961014,0.021
-199.44845901548123,0.03
-199.16896455135233,0.031
-198.88947008722346,0.035
-198.60997562309456,0.043
-198.33048115896565,0.047
-198.05098669483678,0.053
-197.77149223070788,0.058
-197.49199776657898,0.059
-197.2125033024501,0.068
-196.9330088383212,0.072
-196.6535143741923,0.078
-196.37401991006342,0.082
-196.09452544593452,0.084
-195.81503098180562,0.092
-195.53553651767675,0.099
-195.25604205354784,0.104
-194.97654758941894,0.116
-194.69705312529007,0.128
-194.41755866116117,0.143
-194.13806419703226,0.154
-193.8585697329034,0.159
-193.5790752687745,0.168
-193.2995808046456,0.184
-193.0200863405167,0.192
-192.7405918763878,0.203
-192.4610974122589,0.214
-192.18160294813003,0.222
-191.90210848400113,0.24
-191.62261401987223,0.254
-191.34311955574333,0.267
-191.06362509161445,0.28
-190.78413062748555,0.294
-190.50463616335668,0.307
-190.22514169922778,0.326
-189.94564723509887,0.339
-189.66615277096997,0.349
-189.3866583068411,0.364
-189.1071638427122,0.381
-188.8276693785833,0.395
-188.54817491445442,0.408
-188.26868045032552,0.423
-187.98918598619662,0.435
-187.70969152206774,0.447
-187.43019705793884,0.466
-187.15070259380994,0.48
-186.87120812968107,0.495
-186.59171366555216,0.509
-186.31221920142326,0.525
-186.0327247372944,0.543
-185.75323027316549,0.562
-185.47373580903658,0.573
-185.1942413449077,0.585
-184.9147468807788,0.598
-184.6352524166499,0.611
-184.35575795252103,0.619
-184.07626348839213,0.633
-183.79676902426323,0.642
-183.51727456013435,0.662
-183.23778009600545,0.68
-182.95828563187655,0.691
-182.67879116774765,0.701
-182.39929670361877,0.713
-182.11980223948987,0.723
-181.840307775361,0.737
-181.5608133112321,0.748
-181.2813188471032,0.758
-181.0018243829743,0.772
-180.72232991884542,0.784
-180.44283545471652,0.792
-180.16334099058764,0.805
-179.88384652645874,0.812
-179.60435206232984,0.817
-179.32485759820094,0.828
-179.04536313407206,0.833
-178.76586866994316,0.841
-178.48637420581426,0.849
-178.20687974168538,0.85
-177.92738527755648,0.857
-177.64789081342758,0.87
-177.3683963492987,0.877
-177.0889018851698,0.884
-176.8094074210409,0.888
-176.52991295691203,0.892
-176.25041849278313,0.895
-175.97092402865422,0.897
-175.69142956452535,0.902
-175.41193510039645,0.908
-175.13244063626755,0.913
-174.85294617213867,0.917
-174.57345170800977,0.921
-174.29395724388087,0.926
-174.01446277975197,0.932
-173.7349683156231,0.936
-173.4554738514942,0.938
-173.17597938736532,0.946
-172.89648492323641,0.951
-172.6169904591075,0.955
-172.3374959949786,0.957
-172.05800153084974,0.96
-171.77850706672083,0.961
-171.49901260259196,0.962
-171.21951813846306,0.964
-170.94002367433416,0.967
-170.66052921020525,0.97
-170.38103474607638,0.971
-170.10154028194748,0.971
-169.8220458178186,0.973
-169.5425513536897,0.974
-169.2630568895608,0.974
-168.9835624254319,0.976
-168.70406796130302,0.977
-168.42457349717412,0.978
-168.14507903304525,0.98
-167.86558456891635,0.984
-167.58609010478744,0.985
-167.30659564065854,0.986
-167.02710117652967,0.988
-166.74760671240077,0.988
-166.46811224827186,0.988
-166.188617784143,0.988
-165.9091233200141,0.988
-165.6296288558852,0.988
-165.3501343917563,0.989
-165.0706399276274,0.99
-164.7911454634985,0.992
-164.51165099936964,0.992
-164.23215653524073,0.992
-163.95266207111183,0.994
-163.67316760698293,0.994
-163.39367314285406,0.994
-163.11417867872515,0.994
-162.83468421459628,0.994
-162.55518975046738,0.994
-162.27569528633848,0.994
-161.99620082220957,0.994
-161.7167063580807,0.994
-161.4372118939518,0.994
-161.15771742982292,0.994
-160.87822296569402,0.994
-160.59872850156512,0.994
-160.31923403743622,0.996
-160.03973957330734,0.996
-159.76024510917844,0.996
-159.48075064504957,0.996
-159.20125618092067,0.996
-158.92176171679176,0.996
-158.64226725266286,0.996
-158.362772788534,0.996
-158.0832783244051,0.996
-157.8037838602762,0.996
-157.5242893961473,0.996
-157.2447949320184,0.996
-156.9653004678895,0.996
-156.68580600376063,0.996
-156.40631153963173,0.998
-156.12681707550283,0.999
-155.84732261137395,0.999
-155.56782814724505,0.999
-155.28833368311615,0.999
-155.00883921898728,0.999
-154.72934475485837,0.999
-154.44985029072947,0.999
-154.1703558266006,0.999
-153.8908613624717,0.999
-153.6113668983428,0.999
-153.3318724342139,0.999
-153.05237797008502,0.999
-152.77288350595612,0.999
-152.49338904182724,0.999
-152.21389457769834,0.999
-151.93440011356944,0.999
-151.65490564944054,1.0
