# Results collected after 1000 snapshots.
x,y
0,-84.88499842294362
1,-97.37895298306032
2,-83.74213718951444
3,-78.61475911477314
4,-86.17328401637747
5,-78.62018739138477
6,-88.11045041457606
7,-83.75055104723745
8,-87.3708219355334
9,-79.9902232129165
10,-81.27564063022137
11,-76.44971776263947
12,-85.21978750944635
13,-78.56267382818672
14,-82.60876960748817
15,-75.98950978260183
16,-86.60172814790681
17,-80.57340900819389
18,-85.757239533867
19,-68.86334908539436
20,-72.68455183488277
21,-80.4923797832285
22,-73.51272194827487
23,-83.35523818968727
24,-79.67559139060253
25,-94.12471600900372
26,-100.21677071102255
27,-89.12974841204331
28,-78.00834094149315
29,-81.75436575467643
30,-87.01708141844978
31,-92.68756335875958
32,-83.62490066594904
33,-84.40798891258791
34,-91.48032423938628
35,-54.882179854988635
36,-71.49611528970217
37,-71.1445240597705
38,-69.84061740669762
39,-60.16515020777837
40,-77.52898882292243
41,-82.46400838169978
42,-84.88986344265282
43,-84.06164700853023
44,-87.05862379133575
45,-90.62894853668502
46,-67.82228571262121
47,-71.72981515746591
48,-81.43320628564297
49,-75.9340284277178
50,-84.32555054990411
51,-87.711637996479
52,-95.18135320840798
53,-51.20989507059144
54,-93.20717897166335
55,-93.25348612602505
56,-80.53402726309866
57,-74.15748670343018
58,-89.02823460977058
59,-77.93104979272525
60,-68.72073346434476
61,-85.82252962805563
62,-85.91104616210163
63,-86.60967143850232
64,-78.33001615333544
65,-67.1751116617871
66,-86.10017069004755
67,-84.57944724353843
68,-79.96027121652364
69,-76.48055045928987
70,-88.83934421323374
71,-77.45527801048681
72,-84.43085639187717
73,-75.52671452084059
74,-82.59148986473949
75,-77.97164940096067
76,-84.12026844865917
77,-86.67046099680493
78,-81.3622206066668
79,-79.25382332864163
80,-80.47472967451733
81,-84.07239447292659
82,-85.31612360098254
83,-89.67484532308805
84,-72.64491451558044
85,-76.55692241897827
86,-88.20785153737398
87,-59.88564742977138
88,-88.78529381739727
89,-84.94474090374766
90,-91.91791806865086
91,-88.30451731306357
92,-80.0913282201501
93,-75.78455835223298
94,-82.92128469126646
95,-80.59136559028818
96,-84.52106981251532
97,-76.33180000789847
98,-79.29339879754113
99,-93.95810161112479
100,-81.72216234614189
101,-65.17006125448268
102,-64.3953517854574
103,-85.65294257286038
104,-72.37455059487286
105,-91.5953252163101
106,-87.92513209981664
107,-91.86485012557725
108,-76.87090433577995
109,-78.5021704995583
110,-76.24323852343889
111,-87.18050500511583
112,-85.46290956675136
113,-81.94060056670182
114,-80.44746139313261
115,-76.33029578540487
116,-73.98790192447407
117,-87.65540716646143
118,-83.03749859852914
119,-84.89347231154716
120,-75.7777212516117
121,-78.19179109864208
122,-87.98873282199
123,-81.77380925638303
124,-73.90942960108023
125,-89.05615788400866
126,-90.16986380818963
127,-90.10785760194207
128,-94.62765545412182
129,-67.6974610645452
130,-86.24369873653578
131,-82.4752444792779
132,-73.18838710292621
133,-86.04684319679149
134,-80.85402965798764
135,-93.03721866993266
136,-77.71089736842112
137,-84.0240495664298
138,-68.83800818221312
139,-83.21919785639506
140,-87.38147793442963
141,-74.26740476895432
142,-92.68278903363978
143,-77.55346902071864
144,-66.16083813132258
145,-97.92087353291328
146,-79.16485058932633
147,-80.03697515143219
148,-68.66067131718555
149,-72.27534368501298
150,-80.62283130160841
151,-75.58687116734265
152,-81.10979637030192
153,-83.3689330101974
154,-69.7750509088624
155,-81.92653979126152
156,-55.00195093345937
157,-73.44456038172757
158,-89.58783902332866
159,-70.97895941237022
160,-79.57187148965465
161,-67.8449789359776
162,-90.61066116171915
163,-91.99733715956299
164,-80.56072021627051
165,-79.94447181982241
166,-80.01209464181926
167,-87.39618706624992
168,-78.79382526933497
169,-81.14903612525538
170,-76.63788016225968
171,-62.489534694382826
172,-76.81812501631808
173,-89.01439961966452
174,-85.36680999597996
175,-84.91757962475799
176,-77.81877620676465
177,-77.94148894794995
178,-77.96126999288802
179,-72.56294307174198
180,-77.74464560673994
181,-77.04062096482491
182,-71.05510766886707
183,-89.11771198798704
184,-80.31678335484
185,-85.48409520618296
186,-83.83162488534154
187,-70.39484092291858
188,-71.67115901699623
189,-90.31958866376627
190,-84.72897784863113
191,-82.9891518635036
192,-80.54912307941282
193,-75.53851047659734
194,-78.04728481728603
195,-77.76789574994507
196,-84.06378409413406
197,-80.97747703436801
198,-73.42351531731819
199,-82.06094849922471
200,-83.73756827880896
201,-81.36651542777741
202,-86.36620761108318
203,-72.28810412326098
204,-82.23381400001486
205,-72.65277925595498
206,-75.04257095788174
207,-75.2551175712482
208,-89.5765996651561
209,-72.06196051259579
210,-72.35431595505457
211,-90.54529369925402
212,-79.18478472919213
213,-85.79032242069675
214,-72.29756136366308
215,-86.7023822783986
216,-78.24991011368442
217,-85.29538465292592
218,-81.98257915477711
219,-81.89538738721274
220,-81.95465742300954
221,-81.193104198968
222,-77.79501167001854
223,-74.97540149748343
224,-76.79602455249199
225,-75.02003330640139
226,-71.645768867416
227,-51.05124228995871
228,-65.8348289680211
229,-89.54968774041888
230,-73.96188396846952
231,-89.29136236153877
232,-89.40613538543846
233,-86.92032275458467
234,-70.09508048995883
235,-79.46802506252877
236,-80.74053463310165
237,-77.84116334024631
238,-75.66214504273228
239,-84.08863322117085
240,-85.38555833588958
241,-83.91740430352212
242,-69.56599785687303
243,-90.41546154808881
244,-68.00822870344535
245,-82.05080891599562
246,-87.90354314590047
247,-81.59393617551231
248,-82.1969027400084
249,-81.39788639997715
250,-74.59245545645786
251,-98.49724815593913
252,-76.50937691231874
253,-81.49417641831087
254,-66.83051958242359
255,-86.40295238363882
256,-75.38672649916094
257,-84.0872274491989
258,-82.4547685594606
259,-78.84941896975388
260,-67.45821061398104
261,-75.48693945042749
262,-82.69000314537922
263,-73.27692507920634
264,-69.49016822722658
265,-88.10420304109772
266,-75.18754451154746
267,-79.59807708959855
268,-74.62285908823213
269,-81.60488263339968
270,-88.86817978854953
271,-81.48988840045757
272,-84.28980438162088
273,-79.62027048949687
274,-70.3633113351139
275,-77.5428652405513
276,-83.3664017134858
277,-63.66888648965258
278,-82.12484964286091
279,-89.16061141526308
280,-81.65593603241228
281,-66.69985835515931
282,-86.20822366714293
283,-76.8371438695672
284,-79.41057866933397
285,-76.96514293537192
286,-85.48809582783318
287,-72.17430223152599
288,-73.84642999942682
289,-80.08183950046072
290,-87.17034459792802
291,-78.9729958441271
292,-86.53373529306174
293,-75.77646229978001
294,-80.28316035007592
295,-74.31199848179378
296,-80.53840389526385
297,-84.07314599302617
298,-59.40545080537845
299,-74.13388205066738
300,-84.57788298385333
301,-67.75405317108809
302,-75.95095345710752
303,-76.34392038485191
304,-91.39719752994455
305,-76.32938792822108
306,-81.8803216211009
307,-76.04223005582926
308,-84.97918433010088
309,-85.18897769526262
310,-87.41679268341414
311,-82.33533009760527
312,-82.247783325895
313,-89.3977438265986
314,-89.68029772401778
315,-77.87249933047153
316,-75.08964575153885
317,-86.64714375334995
318,-76.8219255440101
319,-80.36308725863879
320,-76.97305349779236
321,-80.68578848805501
322,-84.5249726192894
323,-88.00733398637047
324,-83.34015271968144
325,-80.34934922369314
326,-67.67952716626368
327,-84.91983296382222
328,-83.70933844022036
329,-61.8191074643681
330,-82.19929907058366
331,-78.32900383433844
332,-94.20019067698777
333,-79.13613928074562
334,-70.93991404676513
335,-79.87523901639676
336,-89.07107129305925
337,-84.96176770455932
338,-83.91187368039806
339,-62.67350333340892
340,-78.87224944350737
341,-80.61933312210789
342,-83.90340040517577
343,-83.56526000813955
344,-84.98532520748239
345,-89.47752918042681
346,-85.60136581954566
347,-93.3310670952651
348,-86.83485002242608
349,-75.6423463502037
350,-96.42750072566054
351,-63.2359511393077
352,-80.88340767638744
353,-76.45177529513236
354,-80.10595182251126
355,-85.93223134948917
356,-62.82972911754402
357,-74.5537016597927
358,-77.71369095901889
359,-80.25840629018558
360,-87.40164635055703
361,-64.2015273173412
362,-74.92283509050739
363,-78.87537464463054
364,-82.48100083565603
365,-65.68327399704378
366,-89.62161859586033
367,-93.54588705649704
368,-73.44483405320165
369,-85.0955098012787
370,-79.80662442367472
371,-79.04795740421889
372,-78.26789967193523
373,-89.43379556914991
374,-76.40842070063769
375,-87.59754922981716
376,-71.59097377058615
377,-72.45380767441983
378,-81.06107248622675
379,-86.71584913253531
380,-85.31335317871344
381,-93.07165749333899
382,-68.80436305464264
383,-62.61906926900423
384,-84.2275289297572
385,-86.86822971682858
386,-67.29043997388513
387,-80.12042939157374
388,-92.44510023111872
389,-88.96966826834782
390,-76.45017570990439
391,-86.93446918622428
392,-71.88618529485467
393,-74.431401150499
394,-100.85106074705647
395,-78.10410755624292
396,-80.84503335280021
397,-88.89323730240147
398,-83.85988975432218
399,-69.82965454403359
400,-82.07858210865777
401,-89.7239882218559
402,-77.65646219847841
403,-78.00312605690291
404,-80.65605430662754
405,-84.67428562890692
406,-70.10010437181109
407,-81.13240707620773
408,-88.42909927619542
409,-85.9936589113073
410,-81.84074502410539
411,-89.30791842000309
412,-74.84644464530191
413,-78.09028511187566
414,-100.43017706772486
415,-94.23760250186587
416,-87.84866246039263
417,-64.59614816662676
418,-70.30497627030991
419,-85.93489483208285
420,-83.77149113911946
421,-91.99479796134449
422,-95.76370364845013
423,-73.13279097250012
424,-80.36104865396499
425,-72.32186885408055
426,-80.26354646157722
427,-87.42737714728736
428,-86.66846448316153
429,-82.1783815381819
430,-84.05697374313593
431,-76.93409633418474
432,-86.9853055041277
433,-82.37494853704274
434,-77.88391461462459
435,-81.99373302788223
436,-81.10129825165814
437,-81.33541180053811
438,-74.9028888342379
439,-74.89438569404686
440,-80.46760200149589
441,-90.40654580527888
442,-83.26109656519884
443,-84.57715574342186
444,-102.09936213621495
445,-75.3709645677273
446,-83.10393244882832
447,-83.51172898887484
448,-69.35697603511417
449,-80.595062644059
450,-84.11040492941447
451,-87.27553335340212
452,-92.94131425859769
453,-85.9379731350906
454,-79.48274747619172
455,-87.85135400243408
456,-92.82888315008873
457,-78.4064477205595
458,-76.93318298681498
459,-67.09530490648052
460,-78.17265787731642
461,-70.01935756436976
462,-68.15380088728091
463,-85.36624856488362
464,-87.92892185535561
465,-80.83024460187147
466,-77.95312297685683
467,-85.86135084579263
468,-75.41050932796901
469,-85.58997931752958
470,-73.95283372766232
471,-78.67263174755763
472,-84.96670412644369
473,-93.39943195593582
474,-67.99234766437306
475,-86.43657912771116
476,-74.0034394513495
477,-66.60327899964446
478,-82.2291366707334
479,-78.1086564817457
480,-80.87008321744062
481,-73.43427597819846
482,-83.92830253637865
483,-80.96672096603473
484,-84.59202819391822
485,-83.85368541202143
486,-74.77721443021676
487,-90.0762268710952
488,-78.79472368715949
489,-95.94888634398473
490,-93.15801037948745
491,-94.25418710958235
492,-91.95443411044005
493,-76.27854998017028
494,-85.25519362105956
495,-75.81813499750916
496,-76.3810708961704
497,-81.29589611415784
498,-75.0510476846816
499,-87.34222369611894
500,-88.23740140372479
501,-81.32376764409901
502,-92.8780937561894
503,-78.07761183367376
504,-89.83354493154366
505,-82.54725777005828
506,-78.03288417746003
507,-83.055928246804
508,-92.55367784519134
509,-89.79045308737724
510,-83.1621225408928
511,-82.17163346870757
512,-85.21869878536887
513,-85.52678097755418
514,-68.91982753177138
515,-83.61869278397106
516,-72.26432998543288
517,-94.39591490216799
518,-80.73851496424334
519,-79.39582391998769
520,-62.70370950455717
521,-79.90490901794556
522,-92.78025310893315
523,-70.25427423225375
524,-61.61748679455087
525,-91.22630488692892
526,-90.35747633995456
527,-67.12234736306556
528,-94.58307967648082
529,-75.7918486614602
530,-72.29556333828597
531,-70.13102236182536
532,-81.59182651962772
533,-80.72531330324608
534,-86.09284693999786
535,-87.86782479397672
536,-89.24546258247949
537,-77.0658517448735
538,-87.31670323617905
539,-66.03791182285079
540,-92.86089374398733
541,-82.60817543998743
542,-79.47900475124464
543,-77.27014627667484
544,-83.35117475350069
545,-76.91360310276815
546,-78.17961422181253
547,-69.03489196358592
548,-65.38736371081262
549,-71.454676259997
550,-86.18542803919928
551,-78.8376670227976
552,-77.45666245409348
553,-83.12817936900444
554,-79.88302697280068
555,-92.318452752155
556,-87.76222740617618
557,-65.4904499904111
558,-74.72000317829966
559,-73.96721627727675
560,-81.12227156243245
561,-91.15203010840216
562,-77.6570356176882
563,-82.01564887097248
564,-82.7967808977566
565,-86.29298218954662
566,-82.15036074739783
567,-70.68234572983306
568,-71.44823726388984
569,-77.367387686472
570,-67.29637915500848
571,-82.58931409357646
572,-69.89130042834182
573,-78.77138132932748
574,-78.65024477233203
575,-77.11115874498734
576,-82.89823948254423
577,-94.6917549110535
578,-69.42693918770453
579,-67.91836475835714
580,-86.23355333297712
581,-89.86245598494287
582,-93.24413885737573
583,-75.63741824147203
584,-78.96682547380965
585,-84.80310335108214
586,-68.8641381356125
587,-70.28647117700072
588,-78.84566275114821
589,-80.30702096208543
590,-76.24639219716042
591,-88.3131190155691
592,-85.22150551561523
593,-68.30228373905979
594,-62.052639630886915
595,-69.33446035389568
596,-87.9301172604217
597,-79.43444588739999
598,-76.784770243367
599,-95.31129137918953
600,-73.96357499039436
601,-80.16134370806381
602,-87.32839816612136
603,-82.64335689597033
604,-50.91784738438113
605,-92.63343874106508
606,-90.84303535310582
607,-73.09305130100287
608,-83.54764861358365
609,-74.89032563294319
610,-78.44654843960154
611,-84.40075693505949
612,-76.56213184764198
613,-82.52656546076022
614,-82.58538043477049
615,-92.43529407311195
616,-82.80679640307599
617,-72.07043077259601
618,-85.65327852709945
619,-76.34797596067668
620,-90.02110066965662
621,-91.43271370638655
622,-95.96630667972704
623,-67.87825443256975
624,-86.88402635829937
625,-80.50644777199679
626,-86.51396681585626
627,-95.31822954543716
628,-86.56587035421609
629,-79.53759272195768
630,-85.50663486147798
631,-63.30267166290105
632,-87.80121259514391
633,-91.86101875607037
634,-75.8477970982778
635,-84.31945387497808
636,-99.58537823697978
637,-83.4963381749854
638,-94.13011735827067
639,-77.67249873352904
640,-88.99706147153896
641,-80.9067344943476
642,-84.82355993530672
643,-81.73283078052125
