# Results collected after 300 snapshots.
x,y
0,-87.97398375837179
1,-99.19802091827171
2,-88.60148004794377
3,-80.00676694543893
4,-87.42591270490391
5,-83.60959461905051
6,-90.12342060982968
7,-87.33844465797551
8,-90.71843638475508
9,-80.10460163684937
10,-84.60746782863893
11,-80.39927973848617
12,-86.29420041390998
13,-79.38090011661751
14,-87.3730476841148
15,-78.14823484411033
16,-87.41536299880923
17,-83.57074023571684
18,-90.58780470881712
19,-72.71233724703563
20,-72.70076286861797
21,-85.45556249466813
22,-78.4206454601619
23,-83.36710523763972
24,-79.86809004812807
25,-97.39167199577287
26,-100.5328258510952
27,-92.82795159273047
28,-78.36019854446039
29,-84.20970975355328
30,-91.52343729580122
31,-97.3624412403731
32,-88.22681151520811
33,-89.2753996430558
34,-92.34019815166025
35,-54.88282182819543
36,-76.08991569466207
37,-72.34651470100673
38,-74.76222843846327
39,-63.9576753056335
40,-77.63326300536136
41,-83.53363664736548
42,-87.22006854298178
43,-85.32387913002248
44,-87.62869219156329
45,-92.55425376705975
46,-68.02886768974935
47,-71.81039919021578
48,-85.88247130340471
49,-76.95227423964178
50,-88.52033944389444
51,-89.71278119059963
52,-96.04436509692198
53,-56.0724957037815
54,-94.91415795793145
55,-96.47231459279061
56,-80.57276360852373
57,-78.96418403654533
58,-89.11154914687214
59,-78.04535463038985
60,-73.65745888471565
61,-87.88139674848964
62,-90.15183184353063
63,-89.37631477705878
64,-83.28647851614528
65,-67.67106962649552
66,-87.56601945488768
67,-84.59909968170547
68,-80.15171242570713
69,-78.61006123463599
70,-91.9461249029448
71,-79.4466018538709
72,-88.2454342920683
73,-80.44159630033903
74,-82.83596333510172
75,-78.4307269345237
76,-84.18738122211212
77,-87.41824524140813
78,-81.4389856094104
79,-83.47762847396172
80,-84.45320819974705
81,-86.57340186318515
82,-86.52739605914138
83,-92.28200925064476
84,-77.63873737957971
85,-76.58114784548252
86,-88.59427127994667
87,-62.49938742048795
88,-90.73785354461549
89,-87.66529336889573
90,-95.33020789274289
91,-89.64784394540533
92,-82.35312354358615
93,-75.817729915808
94,-83.48874385463486
95,-82.25240716661361
96,-84.59521200997824
97,-76.33454413054432
98,-83.73299963932914
99,-94.74638531099998
100,-82.26506912252137
101,-65.1943574510739
102,-64.68958520897047
103,-87.07276523940922
104,-72.42448069865782
105,-92.89558568561455
106,-89.40288676555454
107,-96.21584626438604
108,-80.39154095837691
109,-83.43588451923779
110,-77.34112555507406
111,-91.14300830324942
112,-89.25620277123215
113,-84.15205185027537
114,-81.23971309614151
115,-76.39870966235523
116,-77.01645310132758
117,-90.3010718168266
118,-83.57861610351745
119,-88.42962761593017
120,-80.73586203680969
121,-78.54705585497524
122,-90.67022709376135
