# Results collected after 1000 snapshots.
x,y
-94.09936213625912,0.001
-93.81986767213002,0.001
-93.54037320800091,0.001
-93.2608787438718,0.001
-92.9813842797427,0.002
-92.7018898156136,0.003
-92.4223953514845,0.004
-92.1429008873554,0.004
-91.8634064232263,0.005
-91.58391195909718,0.005
-91.30441749496808,0.005
-91.02492303083898,0.005
-90.74542856670988,0.006
-90.46593410258077,0.006
-90.18643963845167,0.007
-89.90694517432256,0.008
-89.62745071019346,0.009
-89.34795624606436,0.009
-89.06846178193526,0.009
-88.78896731780615,0.009
-88.50947285367704,0.01
-88.22997838954794,0.011
-87.95048392541884,0.013
-87.67098946128974,0.014
-87.39149499716063,0.017
-87.11200053303153,0.017
-86.83250606890242,0.02
-86.55301160477332,0.021
-86.27351714064422,0.03
-85.99402267651512,0.031
-85.71452821238601,0.035
-85.4350337482569,0.043
-85.1555392841278,0.047
-84.8760448199987,0.053
-84.5965503558696,0.058
-84.3170558917405,0.059
-84.0375614276114,0.068
-83.75806696348228,0.072
-83.47857249935318,0.078
-83.19907803522408,0.082
-82.91958357109498,0.084
-82.64008910696587,0.092
-82.36059464283676,0.099
-82.08110017870766,0.104
-81.80160571457856,0.116
-81.52211125044946,0.128
-81.24261678632035,0.143
-80.96312232219125,0.154
-80.68362785806214,0.159
-80.40413339393304,0.168
-80.12463892980394,0.184
-79.84514446567484,0.192
-79.56565000154573,0.203
-79.28615553741662,0.214
-79.00666107328752,0.222
-78.72716660915842,0.24
-78.44767214502932,0.254
-78.16817768090021,0.267
-77.88868321677111,0.28
-77.60918875264201,0.294
-77.3296942885129,0.307
-77.0501998243838,0.326
-76.7707053602547,0.339
-76.4912108961256,0.349
-76.21171643199648,0.364
-75.93222196786738,0.381
-75.65272750373828,0.395
-75.37323303960918,0.408
-75.09373857548007,0.423
-74.81424411135097,0.435
-74.53474964722187,0.447
-74.25525518309276,0.466
-73.97576071896366,0.48
-73.69626625483455,0.495
-73.41677179070545,0.509
-73.13727732657634,0.525
-72.85778286244724,0.543
-72.57828839831814,0.562
-72.29879393418904,0.573
-72.01929947005993,0.585
-71.73980500593083,0.598
-71.46031054180173,0.611
-71.18081607767262,0.619
-70.90132161354352,0.633
-70.62182714941441,0.642
-70.34233268528531,0.662
-70.0628382211562,0.68
-69.7833437570271,0.691
-69.503849292898,0.701
-69.2243548287689,0.713
-68.9448603646398,0.723
-68.6653659005107,0.737
-68.38587143638159,0.748
-68.10637697225248,0.758
-67.82688250812338,0.772
-67.54738804399427,0.784
-67.26789357986517,0.792
-66.98839911573606,0.805
-66.70890465160696,0.812
-66.42941018747786,0.817
-66.14991572334876,0.828
-65.87042125921965,0.833
-65.59092679509055,0.841
-65.31143233096145,0.849
-65.03193786683234,0.85
-64.75244340270324,0.857
-64.47294893857413,0.87
-64.19345447444503,0.877
-63.913960010315925,0.884
-63.634465546186824,0.888
-63.354971082057716,0.892
-63.075476617928615,0.895
-62.795982153799514,0.897
-62.51648768967041,0.902
-62.236993225541305,0.908
-61.957498761412204,0.913
-61.678004297283096,0.917
-61.398509833153994,0.921
-61.11901536902489,0.926
-60.839520904895785,0.932
-60.560026440766684,0.936
-60.28053197663758,0.938
-60.001037512508475,0.946
-59.721543048379374,0.951
-59.442048584250266,0.955
-59.162554120121165,0.957
-58.883059655992064,0.96
-58.603565191862955,0.961
-58.324070727733854,0.962
-58.04457626360475,0.964
-57.765081799475645,0.967
-57.485587335346544,0.97
-57.20609287121744,0.971
-56.926598407088335,0.971
-56.647103942959234,0.973
-56.367609478830126,0.974
-56.088115014701025,0.974
-55.80862055057192,0.976
-55.529126086442815,0.977
-55.249631622313714,0.978
-54.97013715818461,0.98
-54.690642694055505,0.984
-54.411148229926404,0.985
-54.1316537657973,0.986
-53.852159301668195,0.988
-53.572664837539094,0.988
-53.29317037340999,0.988
-53.013675909280884,0.988
-52.73418144515178,0.988
-52.454686981022675,0.988
-52.175192516893574,0.989
-51.89569805276447,0.99
-51.616203588635365,0.992
-51.336709124506264,0.992
-51.05721466037716,0.992
-50.777720196248055,0.994
-50.498225732118954,0.994
-50.21873126798985,0.994
-49.939236803860744,0.994
-49.65974233973164,0.994
-49.380247875602535,0.994
-49.100753411473434,0.994
-48.82125894734433,0.994
-48.541764483215225,0.994
-48.262270019086124,0.994
-47.98277555495702,0.994
-47.703281090827915,0.994
-47.42378662669881,0.994
-47.14429216256971,0.996
-46.864797698440604,0.996
-46.5853032343115,0.996
-46.3058087701824,0.996
-46.026314306053294,0.996
-45.74681984192419,0.996
-45.467325377795085,0.996
-45.187830913665984,0.996
-44.90833644953688,0.996
-44.628841985407774,0.996
-44.34934752127867,0.996
-44.06985305714957,0.996
-43.790358593020464,0.996
-43.51086412889136,0.996
-43.23136966476226,0.998
-42.951875200633154,0.999
-42.67238073650405,0.999
-42.39288627237495,0.999
-42.113391808245844,0.999
-41.83389734411674,0.999
-41.554402879987634,0.999
-41.27490841585853,0.999
-40.99541395172943,0.999
-40.715919487600324,0.999
-40.43642502347122,0.999
-40.15693055934212,0.999
-39.877436095213014,0.999
-39.59794163108391,0.999
-39.31844716695481,0.999
-39.0389527028257,0.999
-38.7594582386966,0.999
-38.479963774567494,1.0
