# Results collected after 1000 snapshots.
x,y
-157.27162727397686,0.001
-156.99213280984776,0.001
-156.71263834571866,0.001
-156.43314388158956,0.001
-156.15364941746046,0.002
-155.87415495333136,0.003
-155.59466048920223,0.004
-155.31516602507313,0.004
-155.03567156094402,0.005
-154.75617709681492,0.005
-154.47668263268582,0.005
-154.19718816855672,0.005
-153.91769370442762,0.006
-153.63819924029852,0.006
-153.35870477616942,0.007
-153.07921031204032,0.008
-152.79971584791122,0.009
-152.5202213837821,0.009
-152.24072691965299,0.009
-151.96123245552388,0.009
-151.68173799139478,0.01
-151.40224352726568,0.011
-151.12274906313658,0.013
-150.84325459900748,0.014
-150.56376013487838,0.017
-150.28426567074928,0.017
-150.00477120662018,0.02
-149.72527674249108,0.021
-149.44578227836195,0.03
-149.16628781423285,0.031
-148.88679335010374,0.035
-148.60729888597464,0.043
-148.32780442184554,0.047
-148.04830995771644,0.053
-147.76881549358734,0.058
-147.48932102945824,0.059
-147.20982656532914,0.068
-146.93033210120004,0.072
-146.65083763707094,0.078
-146.3713431729418,0.082
-146.0918487088127,0.084
-145.8123542446836,0.092
-145.5328597805545,0.099
-145.2533653164254,0.104
-144.9738708522963,0.116
-144.6943763881672,0.128
-144.4148819240381,0.143
-144.135387459909,0.154
-143.8558929957799,0.159
-143.5763985316508,0.168
-143.29690406752167,0.184
-143.01740960339257,0.192
-142.73791513926346,0.203
-142.45842067513436,0.214
-142.17892621100526,0.222
-141.89943174687616,0.24
-141.61993728274706,0.254
-141.34044281861796,0.267
-141.06094835448886,0.28
-140.78145389035976,0.294
-140.50195942623066,0.307
-140.22246496210153,0.326
-139.94297049797242,0.339
-139.66347603384332,0.349
-139.38398156971422,0.364
-139.10448710558512,0.381
-138.82499264145602,0.395
-138.54549817732692,0.408
-138.26600371319782,0.423
-137.98650924906872,0.435
-137.70701478493962,0.447
-137.42752032081052,0.466
-137.1480258566814,0.48
-136.8685313925523,0.495
-136.58903692842318,0.509
-136.30954246429408,0.525
-136.03004800016498,0.543
-135.75055353603588,0.562
-135.47105907190678,0.573
-135.19156460777768,0.585
-134.91207014364858,0.598
-134.63257567951948,0.611
-134.35308121539038,0.619
-134.07358675126125,0.633
-133.79409228713217,0.642
-133.51459782300304,0.662
-133.23510335887394,0.68
-132.95560889474484,0.691
-132.67611443061574,0.701
-132.39661996648664,0.713
-132.11712550235754,0.723
-131.83763103822844,0.737
-131.55813657409934,0.748
-131.27864210997024,0.758
-130.9991476458411,0.772
-130.71965318171203,0.784
-130.4401587175829,0.792
-130.1606642534538,0.805
-129.8811697893247,0.812
-129.6016753251956,0.817
-129.3221808610665,0.828
-129.0426863969374,0.833
-128.7631919328083,0.841
-128.4836974686792,0.849
-128.2042030045501,0.85
-127.92470854042098,0.857
-127.64521407629188,0.87
-127.36571961216278,0.877
-127.08622514803366,0.884
-126.80673068390456,0.888
-126.52723621977546,0.892
-126.24774175564636,0.895
-125.96824729151726,0.897
-125.68875282738816,0.902
-125.40925836325906,0.908
-125.12976389912996,0.913
-124.85026943500084,0.917
-124.57077497087174,0.921
-124.29128050674264,0.926
-124.01178604261352,0.932
-123.73229157848442,0.936
-123.45279711435532,0.938
-123.17330265022622,0.946
-122.89380818609712,0.951
-122.61431372196802,0.955
-122.33481925783892,0.957
-122.05532479370981,0.96
-121.7758303295807,0.961
-121.4963358654516,0.962
-121.2168414013225,0.964
-120.93734693719338,0.967
-120.65785247306428,0.97
-120.37835800893518,0.971
-120.09886354480608,0.971
-119.81936908067698,0.973
-119.53987461654788,0.974
-119.26038015241878,0.974
-118.98088568828967,0.976
-118.70139122416056,0.977
-118.42189676003146,0.978
-118.14240229590236,0.98
-117.86290783177324,0.984
-117.58341336764414,0.985
-117.30391890351504,0.986
-117.02442443938594,0.988
-116.74492997525684,0.988
-116.46543551112774,0.988
-116.18594104699864,0.988
-115.90644658286953,0.988
-115.62695211874042,0.988
-115.34745765461132,0.989
-115.06796319048222,0.99
-114.7884687263531,0.992
-114.508974262224,0.992
-114.2294797980949,0.992
-113.9499853339658,0.994
-113.6704908698367,0.994
-113.3909964057076,0.994
-113.1115019415785,0.994
-112.8320074774494,0.994
-112.55251301332028,0.994
-112.27301854919118,0.994
-111.99352408506208,0.994
-111.71402962093296,0.994
-111.43453515680386,0.994
-111.15504069267476,0.994
-110.87554622854566,0.994
-110.59605176441656,0.994
-110.31655730028746,0.996
-110.03706283615836,0.996
-109.75756837202925,0.996
-109.47807390790015,0.996
-109.19857944377104,0.996
-108.91908497964194,0.996
-108.63959051551282,0.996
-108.36009605138372,0.996
-108.08060158725462,0.996
-107.80110712312552,0.996
-107.52161265899642,0.996
-107.24211819486732,0.996
-106.96262373073822,0.996
-106.68312926660911,0.996
-106.40363480248001,0.998
-106.1241403383509,0.999
-105.8446458742218,0.999
-105.5651514100927,0.999
-105.28565694596358,0.999
-105.00616248183448,0.999
-104.72666801770538,0.999
-104.44717355357628,0.999
-104.16767908944718,0.999
-103.88818462531808,0.999
-103.60869016118897,0.999
-103.32919569705987,0.999
-103.04970123293076,0.999
-102.77020676880166,0.999
-102.49071230467256,0.999
-102.21121784054344,0.999
-101.93172337641434,0.999
-101.65222891228524,1.0
