# Results collected after 1000 snapshots.
x,y
-199.2743040111344,0.001
-198.9948095470053,0.001
-198.7153150828762,0.001
-198.4358206187471,0.001
-198.156326154618,0.002
-197.8768316904889,0.003
-197.59733722635977,0.004
-197.31784276223067,0.004
-197.03834829810157,0.005
-196.75885383397247,0.005
-196.47935936984337,0.005
-196.19986490571426,0.005
-195.92037044158516,0.006
-195.64087597745606,0.006
-195.36138151332696,0.007
-195.08188704919786,0.008
-194.80239258506876,0.009
-194.52289812093963,0.009
-194.24340365681053,0.009
-193.96390919268143,0.009
-193.68441472855233,0.01
-193.40492026442323,0.011
-193.12542580029412,0.013
-192.84593133616502,0.014
-192.56643687203592,0.017
-192.28694240790682,0.017
-192.00744794377772,0.02
-191.72795347964862,0.021
-191.44845901551952,0.03
-191.1689645513904,0.031
-190.8894700872613,0.035
-190.6099756231322,0.043
-190.33048115900309,0.047
-190.05098669487398,0.053
-189.77149223074488,0.058
-189.49199776661578,0.059
-189.21250330248668,0.068
-188.93300883835758,0.072
-188.65351437422848,0.078
-188.37401991009938,0.082
-188.09452544597025,0.084
-187.81503098184115,0.092
-187.53553651771205,0.099
-187.25604205358295,0.104
-186.97654758945384,0.116
-186.69705312532474,0.128
-186.41755866119564,0.143
-186.13806419706654,0.154
-185.85856973293744,0.159
-185.57907526880834,0.168
-185.29958080467924,0.184
-185.0200863405501,0.192
-184.740591876421,0.203
-184.4610974122919,0.214
-184.1816029481628,0.222
-183.9021084840337,0.24
-183.6226140199046,0.254
-183.3431195557755,0.267
-183.0636250916464,0.28
-182.7841306275173,0.294
-182.5046361633882,0.307
-182.2251416992591,0.326
-181.94564723512997,0.339
-181.66615277100087,0.349
-181.38665830687177,0.364
-181.10716384274266,0.381
-180.82766937861356,0.395
-180.54817491448446,0.408
-180.26868045035536,0.423
-179.98918598622626,0.435
-179.70969152209716,0.447
-179.43019705796806,0.466
-179.15070259383896,0.48
-178.87120812970983,0.495
-178.59171366558073,0.509
-178.31221920145163,0.525
-178.03272473732252,0.543
-177.75323027319342,0.562
-177.47373580906432,0.573
-177.19424134493522,0.585
-176.91474688080612,0.598
-176.63525241667702,0.611
-176.35575795254792,0.619
-176.07626348841882,0.633
-175.7967690242897,0.642
-175.5172745601606,0.662
-175.23778009603149,0.68
-174.95828563190238,0.691
-174.67879116777328,0.701
-174.39929670364418,0.713
-174.11980223951508,0.723
-173.84030777538598,0.737
-173.56081331125688,0.748
-173.28131884712778,0.758
-173.00182438299868,0.772
-172.72232991886955,0.784
-172.44283545474045,0.792
-172.16334099061135,0.805
-171.88384652648224,0.812
-171.60435206235314,0.817
-171.32485759822404,0.828
-171.04536313409494,0.833
-170.76586866996584,0.841
-170.48637420583674,0.849
-170.20687974170764,0.85
-169.92738527757854,0.857
-169.6478908134494,0.87
-169.3683963493203,0.877
-169.0889018851912,0.884
-168.8094074210621,0.888
-168.529912956933,0.892
-168.2504184928039,0.895
-167.9709240286748,0.897
-167.6914295645457,0.902
-167.4119351004166,0.908
-167.1324406362875,0.913
-166.8529461721584,0.917
-166.57345170802927,0.921
-166.2939572439002,0.926
-166.01446277977107,0.932
-165.73496831564196,0.936
-165.45547385151286,0.938
-165.17597938738376,0.946
-164.89648492325466,0.951
-164.61699045912556,0.955
-164.33749599499646,0.957
-164.05800153086736,0.96
-163.77850706673826,0.961
-163.49901260260913,0.962
-163.21951813848005,0.964
-162.94002367435093,0.967
-162.66052921022182,0.97
-162.38103474609272,0.971
-162.10154028196362,0.971
-161.82204581783452,0.973
-161.54255135370542,0.974
-161.26305688957632,0.974
-160.98356242544722,0.976
-160.70406796131812,0.977
-160.424573497189,0.978
-160.14507903305991,0.98
-159.86558456893079,0.984
-159.58609010480168,0.985
-159.30659564067258,0.986
-159.02710117654348,0.988
-158.74760671241438,0.988
-158.46811224828528,0.988
-158.18861778415618,0.988
-157.90912332002708,0.988
-157.62962885589798,0.988
-157.35013439176885,0.989
-157.07063992763977,0.99
-156.79114546351065,0.992
-156.51165099938154,0.992
-156.23215653525244,0.992
-155.95266207112334,0.994
-155.67316760699424,0.994
-155.39367314286514,0.994
-155.11417867873604,0.994
-154.83468421460694,0.994
-154.55518975047784,0.994
-154.2756952863487,0.994
-153.99620082221963,0.994
-153.7167063580905,0.994
-153.4372118939614,0.994
-153.1577174298323,0.994
-152.8782229657032,0.994
-152.5987285015741,0.994
-152.319234037445,0.996
-152.0397395733159,0.996
-151.7602451091868,0.996
-151.4807506450577,0.996
-151.20125618092857,0.996
-150.9217617167995,0.996
-150.64226725267036,0.996
-150.36277278854126,0.996
-150.08327832441216,0.996
-149.80378386028306,0.996
-149.52428939615396,0.996
-149.24479493202486,0.996
-148.96530046789576,0.996
-148.68580600376666,0.996
-148.40631153963756,0.998
-148.12681707550843,0.999
-147.84732261137935,0.999
-147.56782814725022,0.999
-147.28833368312112,0.999
-147.00883921899202,0.999
-146.72934475486292,0.999
-146.44985029073382,0.999
-146.17035582660472,0.999
-145.89086136247562,0.999
-145.61136689834652,0.999
-145.33187243421742,0.999
-145.0523779700883,0.999
-144.77288350595921,0.999
-144.49338904183008,0.999
-144.21389457770098,0.999
-143.93440011357188,0.999
-143.65490564944278,1.0
