# Results collected after 1000 snapshots.
x,y
0,-76.88499842308374
1,-89.37895298322297
2,-75.74213719085287
3,-70.61475911777873
4,-78.17328401641291
5,-70.6201873913848
6,-80.11045041458826
7,-75.75055104723879
8,-79.37082193575122
9,-71.99022321291832
10,-73.27564063103455
11,-68.44971776263964
12,-77.21978750968813
13,-70.56267382818672
14,-74.60876960749263
15,-67.98950978264389
16,-78.60172814795857
17,-72.57340900819389
18,-77.75723953386705
19,-60.86334908539442
20,-64.68455183491446
21,-72.49237978327389
22,-65.5127219482749
23,-75.35523818969043
24,-71.67559139181381
25,-86.12471600953842
26,-92.21677071102255
27,-81.12974841204706
28,-70.00834094238681
29,-73.75436575480308
30,-79.0170814184662
31,-84.68756335885678
32,-75.62490066600105
33,-76.40798891265791
34,-83.4803242393929
35,-46.882179854988664
36,-63.496115289743045
37,-63.144524059785965
38,-61.840617406704155
39,-52.16515020798175
40,-69.52898882292675
41,-74.46400838280795
42,-76.88986344335865
43,-76.0616470085429
44,-79.05862379148567
45,-82.62894853698208
46,-59.82228571262124
47,-63.72981515746642
48,-73.43320628564317
49,-67.93402842812475
50,-76.32555054991766
51,-79.71163799647968
52,-87.18135320856248
53,-43.20989507059164
54,-85.20717897179864
55,-85.25348612618797
56,-72.53402726309889
57,-66.15748670345351
58,-81.0282346098046
59,-69.9310497927485
60,-60.72073346434479
61,-77.82252962826394
62,-77.91104616217007
63,-78.60967143879915
64,-70.33001615333546
65,-59.17511166178821
66,-78.1001706900488
67,-76.57944724493808
68,-71.9602712165277
69,-68.4805504594267
70,-80.83934421323377
71,-69.45527801091373
72,-76.43085639197943
73,-67.52671452085269
74,-74.59148986473951
75,-69.97164940100856
76,-76.12026844866719
77,-78.67046099686817
78,-73.36222060673913
79,-71.25382332874753
80,-72.47472967453302
81,-76.07239447385612
82,-77.31612360100999
83,-81.67484532320168
84,-64.64491451558166
85,-68.55692241903017
86,-80.20785153757487
87,-51.885647430380885
88,-80.7852938177675
89,-76.94474090374803
90,-83.91791806881417
91,-80.3045173131323
92,-72.0913282201715
93,-67.78455835223926
94,-74.9212846912765
95,-72.59136559106497
96,-76.52106981254127
97,-68.3318000079044
98,-71.2933987975421
99,-85.95810161125718
100,-73.72216234679979
101,-57.17006125448475
102,-56.39535178545739
103,-77.65294257469887
104,-64.37455059487434
105,-83.59532521646216
106,-79.92513210009989
107,-83.86485012558052
108,-68.87090433604891
109,-70.50217049956223
110,-68.24323852381349
111,-79.18050500542296
112,-77.4629095668073
113,-73.94060056795718
114,-72.44746139334683
115,-68.33029578541817
116,-65.98790192506857
117,-79.65540716656551
118,-75.03749859860736
119,-76.89347231164643
120,-67.77772125161249
121,-70.19179109891337
122,-79.98873282201217
123,-73.77380925670164
124,-65.90942960108998
125,-81.05615788400917
126,-82.16986380818963
127,-82.10785760196978
128,-86.62765545412759
129,-59.697461064574924
130,-78.24369873653583
131,-74.47524448209563
132,-65.18838710293903
133,-78.04684319870807
134,-72.85402965799281
135,-85.03721866996875
136,-69.71089736853548
137,-76.02404956642985
138,-60.83800818505654
139,-75.21919785725916
140,-79.3814779351496
141,-66.26740477072119
142,-84.68278903364083
143,-69.55346902116509
144,-58.160838131325306
145,-89.92087353291686
146,-71.16485058935098
147,-72.03697515196748
148,-60.66067131719535
149,-64.27534368501495
150,-72.62283130161623
151,-67.58687116734296
152,-73.10979637030584
153,-75.3689330101974
154,-61.7750509088624
155,-73.92653979126155
156,-47.001950933459426
157,-65.44456038196049
158,-81.58783902384076
159,-62.97895941237047
160,-71.57187148971363
161,-59.844978939181374
162,-82.61066116171963
163,-83.99733716037818
164,-72.56072021631778
165,-71.94447181982241
166,-72.01209464298032
167,-79.39618706630117
168,-70.7938252693358
169,-73.14903612525882
170,-68.63788016225968
171,-54.48953469452016
172,-68.81812501632592
173,-81.0143996196646
174,-77.36680999631315
175,-76.91757962538188
176,-69.81877620676534
177,-69.94148894797075
178,-69.96126999288802
179,-64.5629430717508
180,-69.74464560685618
181,-69.04062096482505
182,-63.055107669140824
183,-81.11771198817979
184,-72.31678335507803
185,-77.48409520619094
186,-75.83162488666684
187,-62.39484092291883
188,-63.67115901699631
189,-82.31958866444324
190,-76.72897784967589
191,-74.9891518635061
192,-72.549123079439
193,-67.53851047660095
194,-70.04728481734662
195,-69.76789575100025
196,-76.06378409424804
197,-72.9774770344792
198,-65.42351531785931
199,-74.06094849922744
200,-75.73756827890008
201,-73.36651542789508
202,-78.36620761109114
203,-64.28810412326098
204,-74.2338140002337
205,-64.65277925607978
206,-67.0425709581038
207,-67.25511757124974
208,-81.57659966515723
209,-64.06196051260142
210,-64.354315955076
211,-82.54529369925461
212,-71.1847847291921
213,-77.79032242070653
214,-64.29756136459241
215,-78.70238227839877
216,-70.24991011395656
217,-77.29538465299467
218,-73.98257915487537
219,-73.89538738807425
220,-73.95465742391156
221,-73.19310419911744
222,-69.79501167002027
223,-66.97540149758592
224,-68.79602455256895
225,-67.02003330715272
226,-63.64576886741648
227,-43.05124228996604
228,-57.83482896802286
229,-81.54968774045969
230,-65.96188396886026
231,-81.2913623616821
232,-81.40613538546023
233,-78.92032275459309
234,-62.09508049097349
235,-71.46802506253522
236,-72.7405346341659
237,-69.84116334035014
238,-67.66214504274603
239,-76.08863322124415
240,-77.38555833650022
241,-75.91740430369305
242,-61.565997857869974
243,-82.4154615482081
244,-60.008228703465505
245,-74.05080891757177
246,-79.90354314598338
247,-73.59393617559729
248,-74.19690274000985
249,-73.3978864004321
250,-66.59245545774465
251,-90.49724815593945
252,-68.50937691231877
253,-73.49417641845065
254,-58.830519582425296
255,-78.40295238369725
256,-67.38672649916097
257,-76.08722744959553
258,-74.45476855946066
259,-70.8494189697928
260,-59.458210613983226
261,-67.48693945050408
262,-74.69000314558158
263,-65.27692507937724
264,-61.49016822722717
265,-80.10420304111699
266,-67.18754451154794
267,-71.59807708977547
268,-66.62285908887426
269,-73.60488263367114
270,-80.86817978878327
271,-73.48988840057007
272,-76.28980438162091
273,-71.62027049050334
274,-62.36331133541307
275,-69.5428652405518
276,-75.36640171349379
277,-55.66888649103606
278,-74.12484964286091
279,-81.16061141526447
280,-73.65593603241524
281,-58.69985835868812
282,-78.20822366714296
283,-68.8371438707878
284,-71.41057866933954
285,-68.96514293554108
286,-77.48809582802062
287,-64.17430223254041
288,-65.84642999961301
289,-72.08183950046379
290,-79.17034459803722
291,-70.9729958441294
292,-78.53373529309425
293,-67.77646230170456
294,-72.28316035047382
295,-66.31199848179423
296,-72.5384038958704
297,-76.07314599373086
298,-51.405450805379445
299,-66.13388205067457
300,-76.57788298388058
301,-59.75405317108951
302,-67.95095345806385
303,-68.3439203848622
304,-83.39719753000182
305,-68.32938792843066
306,-73.88032162112805
307,-68.04223005584032
308,-76.97918433011068
309,-77.18897769526305
310,-79.41679268342628
311,-74.33533009760635
312,-74.24778332590216
313,-81.39774382695461
314,-81.68029772404753
315,-69.87249933087594
316,-67.08964575234288
317,-78.64714375434826
318,-68.8219255450145
319,-72.3630872586426
320,-68.97305349783147
321,-72.68578848805834
322,-76.5249726193158
323,-80.00733398658159
324,-75.34015272082848
325,-72.34934922369348
326,-59.6795271662896
327,-76.9198329639326
328,-75.70933844024736
329,-53.819107464368074
330,-74.19929907058989
331,-70.32900383501044
332,-86.20019067708054
333,-71.13613928078269
334,-62.939914046800084
335,-71.8752390165019
336,-81.0710712930993
337,-76.96176770455938
338,-75.91187368041705
339,-54.67350333489259
340,-70.87224944350737
341,-72.61933312402067
342,-75.90340040518305
343,-75.56526000874283
344,-76.98532520764968
345,-81.47752918055258
346,-77.60136581959836
347,-85.33106709527056
348,-78.83485002246209
349,-67.64234635028328
350,-88.42750072566758
351,-55.23595113930776
352,-72.88340767791809
353,-68.45177529577668
354,-72.10595182251126
355,-77.9322313495116
356,-54.8297291193268
357,-66.55370165979326
358,-69.71369095905567
359,-72.25840629022713
360,-79.40164635056021
361,-56.20152731839087
362,-66.9228350905303
363,-70.87537464465018
364,-74.48100083568039
365,-57.68327399704444
366,-81.6216185959164
367,-85.54588705649707
368,-65.44483405478366
369,-77.0955098012879
370,-71.80662442386671
371,-71.04795740439957
372,-70.26789967193525
373,-81.43379557048209
374,-68.40842070103349
375,-79.59754923007137
376,-63.590973770624316
377,-64.45380767442202
378,-73.06107248622678
379,-78.71584913281535
380,-77.31335317872697
381,-85.07165749335928
382,-60.804363055373415
383,-54.61906926900588
384,-76.22752892975882
385,-78.86822971684225
386,-59.290439973989294
387,-72.12042939161364
388,-84.44510023191049
389,-80.96966826897534
390,-68.45017571014043
391,-78.93446918624804
392,-63.88618529485575
393,-66.43140115050213
394,-92.85106074725826
395,-70.104107556727
396,-72.84503335280189
397,-80.89323730250925
398,-75.85988975433457
399,-61.829654544041716
400,-74.07858210865777
401,-81.7239882233554
402,-69.65646219893029
403,-70.00312605690354
404,-72.6560543066621
405,-76.67428562915492
406,-62.10010437194822
407,-73.13240707636498
408,-80.42909927635318
409,-77.99365891195083
410,-73.84074502416581
411,-81.30791842018141
412,-66.84644464535944
413,-70.0902851119103
414,-92.43017706772531
415,-86.23760250195511
416,-79.8486624604125
417,-56.596148166650806
418,-62.304976270310476
419,-77.93489483217624
420,-75.77149113911946
421,-83.99479796162518
422,-87.76370364845013
423,-65.13279097264845
424,-72.36104865403959
425,-64.32186885408143
426,-72.26354646158072
427,-79.42737714768793
428,-78.66846448316255
429,-74.17838153894283
430,-76.05697374313635
431,-68.9340963342143
432,-78.9853055048003
433,-74.374948537307
