# Results collected after 100 snapshots.
x,y
-88.11738007928383,0.01
-87.95535144487067,0.01
-87.79332281045751,0.01
-87.63129417604435,0.01
-87.46926554163119,0.02
-87.30723690721803,0.02
-87.14520827280487,0.02
-86.9831796383917,0.02
-86.82115100397854,0.02
-86.65912236956538,0.02
-86.49709373515222,0.02
-86.33506510073906,0.03
-86.1730364663259,0.03
-86.01100783191274,0.03
-85.84897919749957,0.03
-85.68695056308641,0.03
-85.52492192867325,0.03
-85.36289329426009,0.03
-85.20086465984693,0.03
-85.03883602543377,0.03
-84.8768073910206,0.03
-84.71477875660744,0.03
-84.55275012219428,0.03
-84.39072148778112,0.03
-84.22869285336796,0.03
-84.0666642189548,0.03
-83.90463558454164,0.03
-83.74260695012848,0.04
-83.58057831571531,0.04
-83.41854968130215,0.05
-83.25652104688899,0.06
-83.09449241247583,0.06
-82.93246377806267,0.06
-82.77043514364951,0.06
-82.60840650923635,0.07
-82.44637787482318,0.07
-82.28434924041002,0.08
-82.12232060599686,0.08
-81.9602919715837,0.08
-81.79826333717054,0.08
-81.63623470275738,0.09
-81.47420606834422,0.1
-81.31217743393105,0.12
-81.1501487995179,0.12
-80.98812016510473,0.12
-80.82609153069157,0.12
-80.66406289627841,0.13
-80.50203426186525,0.13
-80.34000562745209,0.14
-80.17797699303893,0.15
-80.01594835862576,0.15
-79.8539197242126,0.15
-79.69189108979944,0.15
-79.52986245538628,0.16
-79.36783382097312,0.16
-79.20580518655996,0.16
-79.0437765521468,0.17
-78.88174791773363,0.17
-78.71971928332046,0.17
-78.5576906489073,0.17
-78.39566201449414,0.17
-78.23363338008097,0.17
-78.07160474566781,0.18
-77.90957611125465,0.18
-77.74754747684149,0.2
-77.58551884242833,0.21
-77.42349020801517,0.21
-77.261461573602,0.22
-77.09943293918884,0.23
-76.93740430477568,0.24
-76.77537567036252,0.25
-76.61334703594936,0.27
-76.4513184015362,0.28
-76.28928976712304,0.3
-76.12726113270988,0.3
-75.96523249829671,0.32
-75.80320386388355,0.35
-75.64117522947039,0.35
-75.47914659505723,0.36
-75.31711796064407,0.38
-75.15508932623091,0.39
-74.99306069181775,0.4
-74.83103205740458,0.4
-74.66900342299142,0.41
-74.50697478857826,0.41
-74.3449461541651,0.41
-74.18291751975194,0.41
-74.02088888533878,0.42
-73.85886025092562,0.42
-73.69683161651245,0.42
-73.5348029820993,0.42
-73.37277434768613,0.43
-73.21074571327297,0.44
-73.04871707885981,0.44
-72.88668844444665,0.45
-72.72465981003349,0.48
-72.56263117562033,0.49
-72.40060254120716,0.5
-72.238573906794,0.52
-72.07654527238084,0.53
-71.91451663796768,0.54
-71.75248800355452,0.55
-71.59045936914136,0.55
-71.4284307347282,0.55
-71.26640210031503,0.56
-71.10437346590187,0.57
-70.94234483148871,0.58
-70.78031619707555,0.59
-70.61828756266239,0.59
-70.45625892824923,0.61
-70.29423029383607,0.61
-70.1322016594229,0.61
-69.97017302500974,0.61
-69.80814439059658,0.64
-69.64611575618342,0.64
-69.48408712177026,0.66
-69.3220584873571,0.67
-69.16002985294394,0.67
-68.99800121853077,0.7
-68.83597258411761,0.71
-68.67394394970445,0.71
-68.51191531529129,0.72
-68.34988668087813,0.73
-68.18785804646497,0.75
-68.0258294120518,0.77
-67.86380077763864,0.78
-67.70177214322548,0.79
-67.53974350881232,0.8
-67.37771487439916,0.8
-67.215686239986,0.81
-67.05365760557284,0.82
-66.89162897115968,0.82
-66.72960033674651,0.83
-66.56757170233335,0.83
-66.40554306792019,0.84
-66.24351443350703,0.84
-66.08148579909387,0.84
-65.91945716468071,0.87
-65.75742853026755,0.87
-65.59539989585438,0.88
-65.43337126144122,0.89
-65.27134262702805,0.89
-65.10931399261489,0.89
-64.94728535820173,0.89
-64.78525672378856,0.89
-64.6232280893754,0.89
-64.46119945496224,0.89
-64.29917082054908,0.89
-64.13714218613592,0.89
-63.975113551722764,0.89
-63.8130849173096,0.9
-63.65105628289644,0.9
-63.48902764848328,0.9
-63.32699901407012,0.9
-63.16497037965696,0.9
-63.002941745243795,0.91
-62.840913110830634,0.91
-62.67888447641747,0.91
-62.51685584200431,0.92
-62.35482720759115,0.92
-62.19279857317799,0.92
-62.03076993876483,0.92
-61.868741304351666,0.94
-61.706712669938504,0.94
-61.54468403552534,0.96
-61.38265540111218,0.96
-61.22062676669902,0.96
-61.05859813228585,0.96
-60.89656949787269,0.96
-60.73454086345953,0.96
-60.57251222904637,0.96
-60.410483594633206,0.96
-60.248454960220045,0.96
-60.08642632580688,0.96
-59.92439769139372,0.97
-59.76236905698056,0.97
-59.6003404225674,0.97
-59.43831178815424,0.97
-59.276283153741076,0.97
-59.114254519327915,0.98
-58.95222588491475,0.98
-58.79019725050159,0.98
-58.62816861608843,0.98
-58.46613998167527,0.98
-58.30411134726211,0.98
-58.142082712848946,0.99
-57.980054078435785,0.99
-57.818025444022624,0.99
-57.65599680960946,0.99
-57.4939681751963,0.99
-57.33193954078314,0.99
-57.16991090636998,0.99
-57.00788227195682,0.99
-56.845853637543655,0.99
-56.683825003130494,0.99
-56.52179636871733,0.99
-56.35976773430417,0.99
-56.19773909989101,0.99
-56.03571046547785,0.99
-55.87368183106469,1.0
