# Results collected after 100 snapshots.
x,y
-151.28964521700158,0.01
-151.12761658258842,0.01
-150.96558794817525,0.01
-150.8035593137621,0.01
-150.64153067934893,0.02
-150.47950204493577,0.02
-150.3174734105226,0.02
-150.15544477610945,0.02
-149.9934161416963,0.02
-149.83138750728313,0.02
-149.66935887286996,0.02
-149.5073302384568,0.03
-149.34530160404364,0.03
-149.18327296963048,0.03
-149.02124433521732,0.03
-148.85921570080416,0.03
-148.697187066391,0.03
-148.53515843197783,0.03
-148.37312979756467,0.03
-148.2111011631515,0.03
-148.04907252873835,0.03
-147.8870438943252,0.03
-147.72501525991203,0.03
-147.56298662549887,0.03
-147.4009579910857,0.03
-147.23892935667254,0.03
-147.07690072225938,0.03
-146.91487208784622,0.04
-146.75284345343306,0.04
-146.5908148190199,0.05
-146.42878618460674,0.06
-146.26675755019357,0.06
-146.1047289157804,0.06
-145.94270028136725,0.06
-145.7806716469541,0.07
-145.61864301254093,0.07
-145.45661437812777,0.08
-145.2945857437146,0.08
-145.13255710930144,0.08
-144.97052847488828,0.08
-144.80849984047512,0.09
-144.64647120606196,0.1
-144.4844425716488,0.12
-144.32241393723564,0.12
-144.16038530282248,0.12
-143.99835666840931,0.12
-143.83632803399615,0.13
-143.674299399583,0.13
-143.51227076516983,0.14
-143.35024213075667,0.15
-143.1882134963435,0.15
-143.02618486193035,0.15
-142.86415622751719,0.15
-142.70212759310402,0.16
-142.54009895869086,0.16
-142.3780703242777,0.16
-142.21604168986454,0.17
-142.05401305545138,0.17
-141.89198442103822,0.17
-141.72995578662506,0.17
-141.5679271522119,0.17
-141.40589851779873,0.17
-141.24386988338557,0.18
-141.0818412489724,0.18
-140.91981261455925,0.2
-140.7577839801461,0.21
-140.59575534573293,0.21
-140.43372671131976,0.22
-140.2716980769066,0.23
-140.10966944249344,0.24
-139.94764080808028,0.25
-139.78561217366712,0.27
-139.62358353925396,0.28
-139.4615549048408,0.3
-139.29952627042763,0.3
-139.13749763601447,0.32
-138.9754690016013,0.35
-138.81344036718815,0.35
-138.651411732775,0.36
-138.48938309836183,0.38
-138.32735446394867,0.39
-138.1653258295355,0.4
-138.00329719512234,0.4
-137.84126856070918,0.41
-137.67923992629602,0.41
-137.51721129188286,0.41
-137.3551826574697,0.41
-137.19315402305654,0.42
-137.03112538864337,0.42
-136.8690967542302,0.42
-136.70706811981705,0.42
-136.5450394854039,0.43
-136.38301085099073,0.44
-136.22098221657757,0.44
-136.0589535821644,0.45
-135.89692494775124,0.48
-135.73489631333808,0.49
-135.57286767892492,0.5
-135.41083904451176,0.52
-135.2488104100986,0.53
-135.08678177568544,0.54
-134.92475314127228,0.55
-134.76272450685912,0.55
-134.60069587244595,0.55
-134.4386672380328,0.56
-134.27663860361963,0.57
-134.11460996920647,0.58
-133.9525813347933,0.59
-133.79055270038015,0.59
-133.62852406596699,0.61
-133.46649543155382,0.61
-133.30446679714066,0.61
-133.1424381627275,0.61
-132.98040952831434,0.64
-132.81838089390118,0.64
-132.65635225948802,0.66
-132.49432362507483,0.67
-132.33229499066167,0.67
-132.1702663562485,0.7
-132.00823772183534,0.71
-131.84620908742218,0.71
-131.68418045300902,0.72
-131.52215181859586,0.73
-131.3601231841827,0.75
-131.19809454976954,0.77
-131.03606591535637,0.78
-130.8740372809432,0.79
-130.71200864653005,0.8
-130.5499800121169,0.8
-130.38795137770373,0.81
-130.22592274329057,0.82
-130.0638941088774,0.82
-129.90186547446424,0.83
-129.73983684005108,0.83
-129.57780820563792,0.84
-129.41577957122476,0.84
-129.2537509368116,0.84
-129.09172230239844,0.87
-128.92969366798528,0.87
-128.76766503357211,0.88
-128.60563639915895,0.89
-128.4436077647458,0.89
-128.28157913033263,0.89
-128.11955049591947,0.89
-127.95752186150631,0.89
-127.79549322709315,0.89
-127.63346459267999,0.89
-127.47143595826682,0.89
-127.30940732385366,0.89
-127.1473786894405,0.89
-126.98535005502734,0.9
-126.82332142061418,0.9
-126.66129278620102,0.9
-126.49926415178786,0.9
-126.3372355173747,0.9
-126.17520688296153,0.91
-126.01317824854837,0.91
-125.85114961413521,0.91
-125.68912097972205,0.92
-125.52709234530889,0.92
-125.36506371089573,0.92
-125.20303507648256,0.92
-125.0410064420694,0.94
-124.87897780765624,0.94
-124.71694917324308,0.96
-124.55492053882992,0.96
-124.39289190441676,0.96
-124.2308632700036,0.96
-124.06883463559043,0.96
-123.90680600117727,0.96
-123.74477736676411,0.96
-123.58274873235095,0.96
-123.42072009793779,0.96
-123.25869146352463,0.96
-123.09666282911147,0.97
-122.9346341946983,0.97
-122.77260556028514,0.97
-122.61057692587198,0.97
-122.44854829145882,0.97
-122.28651965704566,0.98
-122.1244910226325,0.98
-121.96246238821934,0.98
-121.80043375380617,0.98
-121.63840511939301,0.98
-121.47637648497985,0.98
-121.31434785056669,0.99
-121.15231921615353,0.99
-120.99029058174037,0.99
-120.8282619473272,0.99
-120.66623331291404,0.99
-120.50420467850088,0.99
-120.34217604408772,0.99
-120.18014740967456,0.99
-120.0181187752614,0.99
-119.85609014084824,0.99
-119.69406150643508,0.99
-119.53203287202192,0.99
-119.37000423760875,0.99
-119.20797560319559,0.99
-119.04594696878243,1.0
