# Results collected after 100 snapshots.
x,y
-193.29232195415912,0.01
-193.13029331974596,0.01
-192.9682646853328,0.01
-192.80623605091964,0.01
-192.64420741650648,0.02
-192.4821787820933,0.02
-192.32015014768015,0.02
-192.158121513267,0.02
-191.99609287885383,0.02
-191.83406424444067,0.02
-191.6720356100275,0.02
-191.51000697561435,0.03
-191.34797834120118,0.03
-191.18594970678802,0.03
-191.02392107237486,0.03
-190.8618924379617,0.03
-190.69986380354854,0.03
-190.53783516913538,0.03
-190.37580653472222,0.03
-190.21377790030905,0.03
-190.0517492658959,0.03
-189.88972063148273,0.03
-189.72769199706957,0.03
-189.5656633626564,0.03
-189.40363472824325,0.03
-189.2416060938301,0.03
-189.07957745941692,0.03
-188.91754882500376,0.04
-188.7555201905906,0.04
-188.59349155617744,0.05
-188.43146292176428,0.06
-188.26943428735112,0.06
-188.10740565293796,0.06
-187.9453770185248,0.06
-187.78334838411163,0.07
-187.62131974969847,0.07
-187.4592911152853,0.08
-187.29726248087215,0.08
-187.135233846459,0.08
-186.97320521204583,0.08
-186.81117657763266,0.09
-186.6491479432195,0.1
-186.48711930880634,0.12
-186.32509067439318,0.12
-186.16306203998002,0.12
-186.00103340556686,0.12
-185.8390047711537,0.13
-185.67697613674054,0.13
-185.51494750232737,0.14
-185.3529188679142,0.15
-185.19089023350105,0.15
-185.0288615990879,0.15
-184.86683296467473,0.15
-184.70480433026157,0.16
-184.5427756958484,0.16
-184.38074706143524,0.16
-184.21871842702208,0.17
-184.05668979260892,0.17
-183.89466115819576,0.17
-183.7326325237826,0.17
-183.57060388936944,0.17
-183.40857525495628,0.17
-183.2465466205431,0.18
-183.08451798612995,0.18
-182.9224893517168,0.2
-182.76046071730363,0.21
-182.59843208289047,0.21
-182.4364034484773,0.22
-182.27437481406415,0.23
-182.11234617965098,0.24
-181.95031754523782,0.25
-181.78828891082466,0.27
-181.6262602764115,0.28
-181.46423164199834,0.3
-181.30220300758518,0.3
-181.14017437317202,0.32
-180.97814573875885,0.35
-180.8161171043457,0.35
-180.65408846993253,0.36
-180.49205983551937,0.38
-180.3300312011062,0.39
-180.16800256669305,0.4
-180.0059739322799,0.4
-179.84394529786672,0.41
-179.68191666345356,0.41
-179.5198880290404,0.41
-179.35785939462724,0.41
-179.19583076021408,0.42
-179.03380212580092,0.42
-178.87177349138776,0.42
-178.7097448569746,0.42
-178.54771622256143,0.43
-178.38568758814827,0.44
-178.2236589537351,0.44
-178.06163031932195,0.45
-177.8996016849088,0.48
-177.7375730504956,0.49
-177.57554441608244,0.5
-177.41351578166928,0.52
-177.2514871472561,0.53
-177.08945851284295,0.54
-176.9274298784298,0.55
-176.76540124401663,0.55
-176.60337260960347,0.55
-176.4413439751903,0.56
-176.27931534077715,0.57
-176.11728670636398,0.58
-175.95525807195082,0.59
-175.79322943753766,0.59
-175.6312008031245,0.61
-175.46917216871134,0.61
-175.30714353429818,0.61
-175.14511489988502,0.61
-174.98308626547185,0.64
-174.8210576310587,0.64
-174.65902899664553,0.66
-174.49700036223237,0.67
-174.3349717278192,0.67
-174.17294309340605,0.7
-174.0109144589929,0.71
-173.84888582457972,0.71
-173.68685719016656,0.72
-173.5248285557534,0.73
-173.36279992134024,0.75
-173.20077128692708,0.77
-173.03874265251392,0.78
-172.87671401810076,0.79
-172.7146853836876,0.8
-172.55265674927443,0.8
-172.39062811486127,0.81
-172.2285994804481,0.82
-172.06657084603495,0.82
-171.9045422116218,0.83
-171.74251357720863,0.83
-171.58048494279547,0.84
-171.4184563083823,0.84
-171.25642767396914,0.84
-171.09439903955598,0.87
-170.93237040514282,0.87
-170.77034177072966,0.88
-170.6083131363165,0.89
-170.44628450190334,0.89
-170.28425586749017,0.89
-170.122227233077,0.89
-169.96019859866385,0.89
-169.7981699642507,0.89
-169.63614132983753,0.89
-169.47411269542437,0.89
-169.3120840610112,0.89
-169.15005542659804,0.89
-168.98802679218488,0.9
-168.82599815777172,0.9
-168.66396952335856,0.9
-168.5019408889454,0.9
-168.33991225453224,0.9
-168.17788362011908,0.91
-168.01585498570591,0.91
-167.85382635129275,0.91
-167.6917977168796,0.92
-167.52976908246643,0.92
-167.36774044805327,0.92
-167.2057118136401,0.92
-167.04368317922695,0.94
-166.88165454481378,0.94
-166.71962591040062,0.96
-166.55759727598746,0.96
-166.3955686415743,0.96
-166.23354000716114,0.96
-166.07151137274798,0.96
-165.90948273833482,0.96
-165.74745410392165,0.96
-165.5854254695085,0.96
-165.42339683509533,0.96
-165.26136820068217,0.96
-165.099339566269,0.97
-164.93731093185585,0.97
-164.7752822974427,0.97
-164.61325366302952,0.97
-164.45122502861636,0.97
-164.2891963942032,0.98
-164.12716775979004,0.98
-163.96513912537688,0.98
-163.80311049096372,0.98
-163.64108185655056,0.98
-163.4790532221374,0.98
-163.31702458772423,0.99
-163.15499595331107,0.99
-162.9929673188979,0.99
-162.83093868448475,0.99
-162.6689100500716,0.99
-162.50688141565843,0.99
-162.34485278124527,0.99
-162.1828241468321,0.99
-162.02079551241894,0.99
-161.85876687800578,0.99
-161.69673824359262,0.99
-161.53470960917946,0.99
-161.3726809747663,0.99
-161.21065234035314,0.99
-161.04862370593997,1.0
