# Results collected after 100 snapshots.
x,y
0,-76.90506166334049
1,-79.4109949077062
2,-61.8072648810205
3,-61.384627911972274
4,-67.43016025338167
5,-76.484402105074
6,-73.09362699541626
7,-65.40608982574531
8,-70.30322659677242
9,-68.01019636101981
10,-75.10353216350367
11,-61.71893318877096
12,-65.76670724361495
13,-75.39130037879039
14,-71.13166616849722
15,-72.48787875159408
16,-72.23075181422456
17,-72.3412106078703
18,-76.5175985581343
19,-75.92554478886623
20,-87.43796298384547
21,-78.02891171897511
22,-80.19393040110538
23,-82.49285327090618
24,-69.45170459161548
25,-65.91015153238189
26,-77.0983741847304
27,-71.89095909574434
28,-63.668503225924695
29,-59.8954758949385
30,-66.36915685109716
31,-82.15120904260772
32,-73.2518438689882
33,-77.69943657958845
34,-55.711653196651525
35,-69.69106231508331
36,-67.88517390597892
37,-77.1409743035068
38,-67.06810753673841
39,-59.098250964077295
40,-69.44509378121356
41,-88.11738007928383
42,-70.71754747902469
43,-68.72339916485342
44,-65.47481966504569
45,-69.77267631670787
46,-68.16438851649454
47,-65.834950693738
48,-71.72620447063912
49,-72.8306357013713
50,-76.23602187112033
51,-75.91286590316008
52,-71.96002913507942
53,-67.66203757343646
54,-68.33533112497042
55,-73.90713362091671
56,-80.0933848791723
57,-72.64404019544781
58,-68.12688699069997
59,-83.61272421985706
60,-77.5038845213328
61,-78.99336896415352
62,-75.73318343054638
63,-70.39134459079153
64,-74.87495269031984
65,-75.72708593215003
66,-81.3304623059432
67,-71.0165623207019
68,-72.61293855041043
69,-67.746425781135
70,-76.61434323798804
71,-67.01725104348589
72,-75.20874288666118
73,-69.69605298340582
74,-61.522151566678986
75,-81.16746289884534
76,-75.28770819868302
77,-70.8833000889835
78,-72.23037386542632
79,-83.25758219800667
80,-75.78863232635766
81,-68.48189259665696
82,-58.00597402583509
83,-76.32293284869638
84,-81.5355093586623
85,-69.1741741785736
86,-62.95607989585446
87,-74.58283407159087
88,-62.37197399407245
89,-68.99682690952417
90,-68.89508655524952
91,-68.95589382769873
92,-86.25155308036977
93,-66.57727490884275
94,-77.71203630330334
95,-72.71205419608299
96,-80.63676035472116
97,-83.2210080741799
98,-76.13751040169115
99,-81.17110668025052
