# Results collected after 100 snapshots.
x,y
0,-4.689415317203284
1,-4.210944692348207
2,-4.697631415377856
3,-3.46806964653166
4,-3.8104121861229885
5,-3.994889380421938
6,-3.984111008893052
7,-5.501843842282625
8,-3.934696122921764
9,-4.335298146121673
10,-3.2915866882311775
11,-4.355225698842872
12,-3.2247125381562114
13,-3.522972697157428
14,-3.545187929484868
15,-4.7550894992406825
16,-3.7251700999169373
17,-4.353719459851675
18,-3.235669366211212
19,-4.623312877842906
20,-4.087963827550425
21,-4.0126434355755976
22,-4.058612132777981
23,-3.60495647687236
24,-4.403582870792263
25,-3.720578538147265
26,-4.036715226419162
27,-3.9226924505829572
28,-5.052399158657394
29,-4.6364336989638275
30,-4.61197728963549
31,-3.1764827460530114
32,-3.5574442546844978
33,-3.801092159200806
34,-4.773308068361459
35,-4.5504861029427275
36,-5.0562685350046905
37,-4.845919304506339
38,-4.517160459371212
39,-4.5941685654873226
40,-3.9352224688320376
41,-3.8460524121797732
42,-4.011418529074035
43,-4.032333511646456
44,-4.603360836972513
45,-3.751118307034048
46,-3.862726023347676
47,-5.439127628933619
48,-4.586350562468866
49,-3.6653378876166585
50,-4.4356801566287345
51,-4.986519430913475
52,-4.632046300114496
53,-3.843088831649638
54,-4.6670553376527835
55,-4.015037713727139
56,-3.9188788301868414
57,-4.221078815753586
58,-4.386698560306897
59,-5.154373245284859
60,-4.433734890587175
61,-3.84376001801067
62,-4.317114866792764
63,-4.532644901889739
64,-4.6409570006065906
65,-4.947927474386432
66,-3.4496384852432698
67,-5.040495991923848
68,-3.120550900021044
69,-3.941986638233459
70,-2.893071821596976
71,-4.650664534740571
72,-4.7515039369290974
73,-4.909733257989856
74,-3.7294282396309058
75,-3.139111157620107
76,-4.480967495450486
77,-5.24976923209546
78,-5.0294262002582
79,-4.129353408878757
80,-4.369113125924343
81,-2.8898468323498037
82,-3.536413583632509
83,-4.338529628702091
84,-4.319520965190591
85,-4.843438750100091
86,-3.818147638548723
87,-3.6133691977227187
88,-4.290261813545399
89,-4.42168878789596
90,-4.47449514186782
91,-4.085862459646165
92,-4.0040579487350385
93,-5.440255870021474
94,-4.317278862601
95,-4.987355171489753
96,-5.216591698555476
97,-4.093276123085914
98,-4.640854918375183
99,-3.7152226589736443
