# Results collected after 1000 snapshots.
x,y
-101.89109588108474,0.002
-101.8341558780441,0.003
-101.77721587500348,0.003
-101.72027587196284,0.003
-101.66333586892222,0.005
-101.60639586588158,0.007
-101.54945586284094,0.007
-101.49251585980032,0.007
-101.43557585675968,0.008
-101.37863585371905,0.009
-101.32169585067842,0.011
-101.26475584763779,0.012
-101.20781584459715,0.013
-101.15087584155653,0.013
-101.09393583851589,0.014
-101.03699583547527,0.014
-100.98005583243463,0.015
-100.92311582939399,0.017
-100.86617582635337,0.018
-100.80923582331273,0.019
-100.75229582027211,0.019
-100.69535581723147,0.02
-100.63841581419084,0.022
-100.58147581115021,0.024
-100.52453580810958,0.026
-100.46759580506894,0.028
-100.41065580202832,0.029
-100.35371579898768,0.03
-100.29677579594704,0.031
-100.23983579290642,0.035
-100.18289578986578,0.04
-100.12595578682516,0.042
-100.06901578378452,0.043
-100.01207578074388,0.044
-99.95513577770326,0.046
-99.89819577466263,0.05
-99.841255771622,0.054
-99.78431576858137,0.058
-99.72737576554073,0.06
-99.6704357625001,0.064
-99.61349575945947,0.064
-99.55655575641883,0.067
-99.49961575337821,0.071
-99.44267575033757,0.071
-99.38573574729693,0.077
-99.32879574425631,0.082
-99.27185574121567,0.085
-99.21491573817505,0.089
-99.15797573513441,0.097
-99.10103573209378,0.103
-99.04409572905315,0.106
-98.98715572601252,0.116
-98.9302157229719,0.125
-98.87327571993126,0.132
-98.81633571689062,0.137
-98.75939571385,0.147
-98.70245571080936,0.151
-98.64551570776872,0.155
-98.5885757047281,0.163
-98.53163570168746,0.168
-98.47469569864683,0.175
-98.4177556956062,0.185
-98.36081569256557,0.192
-98.30387568952494,0.196
-98.2469356864843,0.204
-98.18999568344367,0.212
-98.13305568040305,0.216
-98.07611567736241,0.224
-98.01917567432179,0.228
-97.96223567128115,0.236
-97.90529566824051,0.242
-97.84835566519989,0.249
-97.79141566215925,0.262
-97.73447565911862,0.267
-97.67753565607799,0.277
-97.62059565303736,0.284
-97.56365564999672,0.295
-97.5067156469561,0.303
-97.44977564391546,0.31
-97.39283564087484,0.317
-97.3358956378342,0.327
-97.27895563479356,0.336
-97.22201563175294,0.348
-97.1650756287123,0.354
-97.10813562567168,0.361
-97.05119562263104,0.369
-96.9942556195904,0.377
-96.93731561654978,0.39
-96.88037561350914,0.404
-96.82343561046851,0.413
-96.76649560742788,0.418
-96.70955560438725,0.434
-96.65261560134661,0.449
-96.59567559830599,0.453
-96.53873559526535,0.467
-96.48179559222473,0.471
-96.42485558918409,0.484
-96.36791558614345,0.497
-96.31097558310283,0.505
-96.2540355800622,0.516
-96.19709557702157,0.523
-96.14015557398093,0.535
-96.0832155709403,0.548
-96.02627556789967,0.557
-95.96933556485904,0.564
-95.9123955618184,0.574
-95.85545555877778,0.588
-95.79851555573714,0.603
-95.7415755526965,0.612
-95.68463554965588,0.617
-95.62769554661524,0.633
-95.57075554357462,0.64
-95.51381554053398,0.652
-95.45687553749335,0.657
-95.39993553445272,0.669
-95.34299553141209,0.674
-95.28605552837146,0.687
-95.22911552533083,0.696
-95.17217552229019,0.704
-95.11523551924957,0.711
-95.05829551620893,0.721
-95.00135551316829,0.726
-94.94441551012767,0.732
-94.88747550708703,0.747
-94.8305355040464,0.757
-94.77359550100577,0.764
-94.71665549796514,0.769
-94.65971549492451,0.776
-94.60277549188388,0.782
-94.54583548884324,0.788
-94.48889548580262,0.797
-94.43195548276198,0.804
-94.37501547972136,0.811
-94.31807547668072,0.819
-94.26113547364008,0.825
-94.20419547059946,0.831
-94.14725546755882,0.838
-94.09031546451818,0.847
-94.03337546147756,0.851
-93.97643545843692,0.858
-93.91949545539629,0.865
-93.86255545235566,0.872
-93.80561544931503,0.877
-93.7486754462744,0.884
-93.69173544323377,0.887
-93.63479544019313,0.891
-93.57785543715251,0.896
-93.52091543411187,0.899
-93.46397543107125,0.901
-93.40703542803061,0.911
-93.35009542498997,0.912
-93.29315542194935,0.921
-93.23621541890871,0.925
-93.17927541586808,0.927
-93.12233541282745,0.931
-93.06539540978682,0.936
-93.00845540674618,0.939
-92.95151540370556,0.944
-92.89457540066492,0.947
-92.8376353976243,0.951
-92.78069539458366,0.957
-92.72375539154302,0.958
-92.6668153885024,0.96
-92.60987538546176,0.966
-92.55293538242114,0.967
-92.4959953793805,0.97
-92.43905537633987,0.971
-92.38211537329924,0.972
-92.3251753702586,0.974
-92.26823536721797,0.976
-92.21129536417735,0.977
-92.15435536113671,0.98
-92.09741535809607,0.981
-92.04047535505545,0.982
-91.98353535201481,0.983
-91.92659534897419,0.988
-91.86965534593355,0.988
-91.81271534289291,0.99
-91.75577533985229,0.99
-91.69883533681165,0.99
-91.64189533377103,0.99
-91.5849553307304,0.99
-91.52801532768976,0.992
-91.47107532464914,0.993
-91.4141353216085,0.994
-91.35719531856786,0.994
-91.30025531552724,0.994
-91.2433153124866,0.994
-91.18637530944596,0.994
-91.12943530640534,0.994
-91.0724953033647,0.995
-91.01555530032408,0.996
-90.95861529728344,0.997
-90.9016752942428,0.997
-90.84473529120218,0.998
-90.78779528816155,0.998
-90.73085528512092,0.998
-90.67391528208029,0.999
-90.61697527903965,0.999
-90.56003527599903,1.0
