# Results collected after 100 snapshots.
x,y
-131.62882760158354,0.01
-131.57574785791653,0.01
-131.52266811424948,0.01
-131.46958837058247,0.01
-131.41650862691543,0.01
-131.36342888324842,0.01
-131.3103491395814,0.01
-131.25726939591436,0.01
-131.20418965224735,0.01
-131.1511099085803,0.01
-131.0980301649133,0.01
-131.04495042124628,0.01
-130.99187067757924,0.01
-130.93879093391223,0.01
-130.8857111902452,0.01
-130.83263144657818,0.01
-130.77955170291116,0.01
-130.72647195924412,0.01
-130.6733922155771,0.01
-130.62031247191007,0.01
-130.56723272824306,0.01
-130.51415298457604,0.01
-130.461073240909,0.01
-130.407993497242,0.02
-130.35491375357495,0.02
-130.30183400990794,0.03
-130.24875426624092,0.03
-130.19567452257388,0.03
-130.14259477890687,0.03
-130.08951503523983,0.03
-130.03643529157281,0.03
-129.9833555479058,0.03
-129.93027580423876,0.04
-129.87719606057175,0.04
-129.8241163169047,0.04
-129.7710365732377,0.04
-129.71795682957068,0.04
-129.66487708590364,0.04
-129.61179734223663,0.04
-129.55871759856961,0.05
-129.50563785490257,0.05
-129.45255811123556,0.06
-129.39947836756852,0.08
-129.3463986239015,0.08
-129.2933188802345,0.08
-129.24023913656745,0.08
-129.18715939290044,0.08
-129.1340796492334,0.08
-129.0809999055664,0.08
-129.02792016189937,0.09
-128.97484041823233,0.1
-128.92176067456532,0.1
-128.86868093089828,0.1
-128.81560118723127,0.1
-128.76252144356425,0.11
-128.7094416998972,0.11
-128.6563619562302,0.11
-128.60328221256316,0.12
-128.55020246889615,0.13
-128.49712272522913,0.14
-128.4440429815621,0.15
-128.39096323789508,0.15
-128.33788349422804,0.15
-128.28480375056103,0.15
-128.231724006894,0.15
-128.17864426322697,0.15
-128.12556451955996,0.15
-128.07248477589292,0.15
-128.0194050322259,0.16
-127.96632528855888,0.17
-127.91324554489185,0.18
-127.86016580122484,0.2
-127.80708605755781,0.2
-127.75400631389078,0.21
-127.70092657022376,0.22
-127.64784682655673,0.22
-127.59476708288972,0.22
-127.54168733922269,0.22
-127.48860759555566,0.22
-127.43552785188864,0.23
-127.38244810822161,0.24
-127.3293683645546,0.25
-127.27628862088757,0.26
-127.22320887722054,0.26
-127.17012913355352,0.28
-127.11704938988649,0.28
-127.06396964621948,0.29
-127.01088990255245,0.29
-126.95781015888542,0.34
-126.9047304152184,0.34
-126.85165067155137,0.34
-126.79857092788436,0.36
-126.74549118421733,0.37
-126.6924114405503,0.38
-126.63933169688327,0.38
-126.58625195321625,0.41
-126.53317220954924,0.42
-126.48009246588221,0.44
-126.42701272221518,0.44
-126.37393297854815,0.45
-126.32085323488113,0.47
-126.26777349121411,0.47
-126.21469374754709,0.49
-126.16161400388006,0.52
-126.10853426021303,0.53
-126.05545451654602,0.54
-126.002374772879,0.56
-125.94929502921197,0.57
-125.89621528554494,0.59
-125.84313554187791,0.6
-125.7900557982109,0.6
-125.73697605454387,0.6
-125.68389631087685,0.61
-125.63081656720982,0.62
-125.57773682354279,0.64
-125.52465707987578,0.66
-125.47157733620875,0.67
-125.41849759254173,0.67
-125.3654178488747,0.68
-125.31233810520767,0.69
-125.25925836154066,0.69
-125.20617861787363,0.7
-125.1530988742066,0.71
-125.10001913053958,0.71
-125.04693938687255,0.71
-124.99385964320554,0.71
-124.94077989953851,0.71
-124.88770015587149,0.72
-124.83462041220446,0.73
-124.78154066853743,0.73
-124.72846092487042,0.73
-124.67538118120339,0.75
-124.62230143753636,0.76
-124.56922169386934,0.77
-124.51614195020233,0.78
-124.4630622065353,0.78
-124.40998246286827,0.78
-124.35690271920124,0.78
-124.30382297553422,0.79
-124.2507432318672,0.8
-124.19766348820018,0.8
-124.14458374453315,0.83
-124.09150400086612,0.83
-124.0384242571991,0.83
-123.98534451353208,0.84
-123.93226476986506,0.84
-123.87918502619803,0.84
-123.826105282531,0.84
-123.77302553886398,0.84
-123.71994579519696,0.85
-123.66686605152994,0.85
-123.61378630786291,0.86
-123.56070656419588,0.86
-123.50762682052886,0.86
-123.45454707686184,0.89
-123.40146733319482,0.9
-123.34838758952779,0.9
-123.29530784586076,0.9
-123.24222810219374,0.9
-123.18914835852672,0.91
-123.1360686148597,0.91
-123.08298887119267,0.91
-123.02990912752564,0.91
-122.97682938385861,0.91
-122.9237496401916,0.91
-122.87066989652457,0.93
-122.81759015285755,0.93
-122.76451040919052,0.93
-122.7114306655235,0.93
-122.65835092185648,0.94
-122.60527117818945,0.94
-122.55219143452243,0.95
-122.4991116908554,0.95
-122.44603194718837,0.95
-122.39295220352136,0.95
-122.33987245985433,0.95
-122.2867927161873,0.96
-122.23371297252028,0.96
-122.18063322885325,0.97
-122.12755348518624,0.98
-122.07447374151921,0.98
-122.02139399785219,0.98
-121.96831425418516,0.98
-121.91523451051813,0.98
-121.86215476685112,0.98
-121.80907502318409,0.98
-121.75599527951707,0.98
-121.70291553585004,0.98
-121.64983579218301,0.98
-121.596756048516,0.98
-121.54367630484897,0.98
-121.49059656118195,0.98
-121.43751681751492,0.98
-121.3844370738479,0.98
-121.33135733018088,0.98
-121.27827758651385,0.98
-121.22519784284682,0.98
-121.1721180991798,0.99
-121.11903835551279,0.99
-121.06595861184576,1.0
