# Results collected after 1000 snapshots.
x,y
-37.90187347153014,0.001
-37.79748925796051,0.001
-37.69310504439088,0.002
-37.58872083082125,0.002
-37.48433661725163,0.002
-37.379952403682,0.002
-37.275568190112374,0.003
-37.17118397654274,0.003
-37.06679976297312,0.004
-36.96241554940349,0.004
-36.858031335833864,0.006
-36.75364712226423,0.008
-36.64926290869461,0.008
-36.54487869512498,0.008
-36.440494481555355,0.008
-36.336110267985724,0.009
-36.2317260544161,0.009
-36.12734184084647,0.01
-36.022957627276845,0.011
-35.918573413707215,0.012
-35.81418920013759,0.013
-35.70980498656796,0.014
-35.605420772998336,0.014
-35.501036559428705,0.014
-35.39665234585908,0.015
-35.29226813228945,0.016
-35.18788391871983,0.018
-35.083499705150196,0.02
-34.97911549158057,0.023
-34.87473127801094,0.024
-34.77034706444132,0.025
-34.665962850871686,0.03
-34.56157863730206,0.033
-34.45719442373243,0.035
-34.35281021016281,0.037
-34.24842599659318,0.038
-34.14404178302355,0.038
-34.03965756945392,0.041
-33.9352733558843,0.042
-33.83088914231467,0.045
-33.726504928745044,0.048
-33.62212071517541,0.051
-33.51773650160579,0.057
-33.41335228803616,0.06
-33.308968074466534,0.064
-33.2045838608969,0.065
-33.10019964732727,0.067
-32.99581543375765,0.07
-32.891431220188025,0.075
-32.787047006618394,0.077
-32.68266279304876,0.08
-32.57827857947914,0.082
-32.473894365909516,0.083
-32.369510152339885,0.087
-32.265125938770254,0.089
-32.16074172520063,0.091
-32.056357511631006,0.097
-31.951973298061375,0.103
-31.847589084491748,0.11
-31.74320487092212,0.115
-31.638820657352493,0.122
-31.534436443782866,0.126
-31.43005223021324,0.135
-31.32566801664361,0.142
-31.221283803073984,0.147
-31.116899589504357,0.152
-31.01251537593473,0.158
-30.908131162365102,0.165
-30.803746948795474,0.17
-30.699362735225847,0.183
-30.59497852165622,0.187
-30.490594308086592,0.193
-30.38621009451696,0.197
-30.281825880947338,0.2
-30.177441667377707,0.204
-30.073057453808083,0.206
-29.968673240238452,0.213
-29.86428902666883,0.222
-29.759904813099197,0.232
-29.655520599529574,0.239
-29.551136385959943,0.254
-29.44675217239032,0.264
-29.342367958820688,0.269
-29.237983745251064,0.278
-29.133599531681433,0.284
-29.02921531811181,0.291
-28.92483110454218,0.295
-28.820446890972555,0.302
-28.716062677402924,0.307
-28.6116784638333,0.318
-28.50729425026367,0.324
-28.402910036694042,0.334
-28.298525823124415,0.341
-28.194141609554787,0.346
-28.08975739598516,0.353
-27.985373182415533,0.367
-27.880988968845905,0.384
-27.776604755276278,0.389
-27.67222054170665,0.398
-27.567836328137023,0.407
-27.463452114567396,0.415
-27.35906790099777,0.427
-27.25468368742814,0.438
-27.150299473858514,0.445
-27.045915260288886,0.457
-26.94153104671926,0.466
-26.83714683314963,0.477
-26.732762619580004,0.486
-26.628378406010377,0.496
-26.52399419244075,0.501
-26.419609978871122,0.514
-26.315225765301495,0.524
-26.210841551731868,0.528
-26.10645733816224,0.537
-26.002073124592613,0.547
-25.897688911022986,0.558
-25.793304697453358,0.564
-25.688920483883727,0.572
-25.584536270314103,0.579
-25.480152056744473,0.59
-25.37576784317485,0.604
-25.271383629605218,0.612
-25.166999416035594,0.621
-25.062615202465963,0.63
-24.95823098889634,0.64
-24.85384677532671,0.649
-24.749462561757085,0.657
-24.645078348187454,0.671
-24.54069413461783,0.68
-24.4363099210482,0.688
-24.331925707478575,0.704
-24.227541493908944,0.717
-24.12315728033932,0.726
-24.01877306676969,0.73
-23.914388853200066,0.735
-23.810004639630435,0.74
-23.70562042606081,0.747
-23.60123621249118,0.753
-23.496851998921557,0.767
-23.392467785351926,0.777
-23.288083571782302,0.782
-23.18369935821267,0.786
-23.079315144643044,0.795
-22.974930931073416,0.801
-22.87054671750379,0.813
-22.76616250393416,0.817
-22.661778290364534,0.826
-22.557394076794907,0.835
-22.45300986322528,0.843
-22.348625649655652,0.849
-22.244241436086025,0.852
-22.139857222516397,0.857
-22.03547300894677,0.864
-21.931088795377143,0.866
-21.826704581807515,0.874
-21.722320368237888,0.879
-21.61793615466826,0.885
-21.513551941098633,0.889
-21.409167727529006,0.896
-21.30478351395938,0.903
-21.20039930038975,0.907
-21.096015086820124,0.912
-20.991630873250497,0.916
-20.88724665968087,0.921
-20.782862446111242,0.927
-20.678478232541615,0.931
-20.574094018971987,0.939
-20.46970980540236,0.947
-20.365325591832732,0.954
-20.260941378263105,0.956
-20.156557164693478,0.957
-20.05217295112385,0.96
-19.947788737554223,0.965
-19.843404523984596,0.969
-19.73902031041497,0.97
-19.63463609684534,0.971
-19.530251883275714,0.972
-19.425867669706086,0.974
-19.32148345613646,0.976
-19.21709924256683,0.977
-19.1127150289972,0.98
-19.008330815427573,0.982
-18.903946601857946,0.986
-18.79956238828832,0.987
-18.69517817471869,0.988
-18.590793961149064,0.988
-18.486409747579437,0.99
-18.38202553400981,0.993
-18.277641320440182,0.993
-18.173257106870555,0.993
-18.068872893300927,0.994
-17.9644886797313,0.994
-17.860104466161673,0.995
-17.755720252592045,0.995
-17.651336039022418,0.996
-17.54695182545279,0.997
-17.442567611883163,0.998
-17.338183398313536,0.999
-17.23379918474391,0.999
-17.12941497117428,1.0
