# Results collected after 2500 snapshots.
x,y
-113.18355087690034,0.0008
-112.91372519610606,0.0008
-112.64389951531176,0.0008
-112.37407383451747,0.0008
-112.10424815372318,0.0012
-111.83442247292889,0.0016
-111.56459679213461,0.002
-111.29477111134031,0.002
-111.02494543054603,0.0032
-110.75511974975174,0.0036
-110.48529406895744,0.0044
-110.21546838816316,0.0056
-109.94564270736886,0.0076
-109.67581702657458,0.01
-109.4059913457803,0.0148
-109.136165664986,0.0188
-108.86633998419171,0.024
-108.59651430339741,0.0308
-108.32668862260313,0.0368
-108.05686294180884,0.0448
-107.78703726101455,0.0556
-107.51721158022026,0.0668
-107.24738589942596,0.08
-106.97756021863168,0.0944
-106.7077345378374,0.1088
-106.4379088570431,0.1232
-106.16808317624881,0.1376
-105.89825749545452,0.1548
-105.62843181466023,0.1688
-105.35860613386595,0.1868
-105.08878045307165,0.2052
-104.81895477227737,0.2228
-104.54912909148308,0.2492
-104.27930341068878,0.2684
-104.0094777298945,0.29
-103.7396520491002,0.3108
-103.46982636830592,0.33
-103.20000068751162,0.3464
-102.93017500671733,0.36
-102.66034932592305,0.3796
-102.39052364512875,0.396
-102.12069796433447,0.4116
-101.85087228354018,0.4276
-101.58104660274589,0.4404
-101.3112209219516,0.4592
-101.0413952411573,0.4712
-100.77156956036302,0.4812
-100.50174387956874,0.4912
-100.23191819877444,0.506
-99.96209251798015,0.5192
-99.69226683718585,0.5316
-99.42244115639157,0.544
-99.15261547559729,0.5556
-98.88278979480299,0.566
-98.6129641140087,0.5748
-98.34313843321442,0.588
-98.07331275242012,0.5984
-97.80348707162584,0.6072
-97.53366139083154,0.6176
-97.26383571003726,0.6272
-96.99401002924296,0.6348
-96.72418434844867,0.6448
-96.45435866765439,0.6508
-96.18453298686009,0.6576
-95.91470730606581,0.6652
-95.64488162527152,0.6712
-95.37505594447723,0.6756
-95.10523026368294,0.682
-94.83540458288866,0.6916
-94.56557890209436,0.7
-94.29575322130007,0.7088
-94.02592754050578,0.7164
-93.75610185971149,0.7228
-93.4862761789172,0.73
-93.21645049812291,0.7352
-92.94662481732863,0.7416
-92.67679913653433,0.7452
-92.40697345574004,0.7512
-92.13714777494576,0.7608
-91.86732209415146,0.7664
-91.59749641335718,0.7712
-91.32767073256288,0.7784
-91.0578450517686,0.7828
-90.7880193709743,0.7888
-90.51819369018001,0.7912
-90.24836800938573,0.7984
-89.97854232859143,0.804
-89.70871664779715,0.8104
-89.43889096700286,0.8156
-89.16906528620856,0.8196
-88.89923960541428,0.8228
-88.62941392462,0.8292
-88.3595882438257,0.8364
-88.08976256303141,0.84
-87.81993688223712,0.8488
-87.55011120144283,0.8536
-87.28028552064853,0.8568
-87.01045983985425,0.8604
-86.74063415905997,0.8636
-86.47080847826567,0.8672
-86.20098279747138,0.8696
-85.9311571166771,0.872
-85.6613314358828,0.8748
-85.39150575508852,0.8772
-85.12168007429423,0.8816
-84.85185439349993,0.8856
-84.58202871270564,0.8904
-84.31220303191135,0.8932
-84.04237735111707,0.8996
-83.77255167032277,0.904
-83.50272598952849,0.9076
-83.2329003087342,0.91
-82.9630746279399,0.9124
-82.69324894714562,0.9148
-82.42342326635134,0.92
-82.15359758555704,0.9212
-81.88377190476275,0.9244
-81.61394622396845,0.928
-81.34412054317417,0.9308
-81.07429486237987,0.9336
-80.80446918158559,0.936
-80.5346435007913,0.9392
-80.264817819997,0.9412
-79.99499213920272,0.9436
-79.72516645840844,0.946
-79.45534077761414,0.9488
-79.18551509681986,0.9504
-78.91568941602557,0.9524
-78.64586373523127,0.954
-78.37603805443698,0.956
-78.10621237364269,0.958
-77.83638669284841,0.96
-77.56656101205411,0.9632
-77.29673533125982,0.964
-77.02690965046554,0.9648
-76.75708396967124,0.9664
-76.48725828887696,0.9676
-76.21743260808267,0.9692
-75.94760692728838,0.97
-75.67778124649408,0.9712
-75.40795556569981,0.9724
-75.13812988490551,0.9732
-74.86830420411121,0.9744
-74.59847852331693,0.9756
-74.32865284252264,0.976
-74.05882716172835,0.9776
-73.78900148093406,0.9784
-73.51917580013978,0.9808
-73.24935011934548,0.9824
-72.9795244385512,0.9844
-72.70969875775691,0.986
-72.43987307696261,0.9868
-72.17004739616831,0.9872
-71.90022171537403,0.9876
-71.63039603457975,0.988
-71.36057035378545,0.988
-71.09074467299116,0.9892
-70.82091899219688,0.99
-70.55109331140258,0.9904
-70.2812676306083,0.9908
-70.01144194981401,0.9908
-69.74161626901972,0.9916
-69.47179058822542,0.9916
-69.20196490743115,0.992
-68.93213922663685,0.992
-68.66231354584255,0.9924
-68.39248786504827,0.9924
-68.12266218425398,0.9924
-67.85283650345968,0.9928
-67.5830108226654,0.9936
-67.31318514187112,0.9936
-67.04335946107682,0.9936
-66.77353378028253,0.9944
-66.50370809948825,0.9944
-66.23388241869395,0.9948
-65.96405673789965,0.9956
-65.69423105710537,0.9956
-65.42440537631109,0.9968
-65.15457969551679,0.9968
-64.8847540147225,0.9972
-64.61492833392822,0.9972
-64.34510265313392,0.9972
-64.07527697233964,0.9972
-63.805451291545346,0.9972
-63.535625610751055,0.9972
-63.26579992995676,0.9972
-62.99597424916248,0.9976
-62.72614856836819,0.998
-62.4563228875739,0.998
-62.186497206779606,0.998
-61.91667152598532,0.998
-61.64684584519103,0.9984
-61.37702016439674,0.9984
-61.10719448360245,0.9984
-60.83736880280816,0.9984
-60.56754312201387,0.9984
-60.29771744121958,0.9984
-60.02789176042529,0.9984
-59.758066079631,0.9992
-59.488240398836716,1.0
