# Results collected after 2500 snapshots.
x,y
-194.00120705616126,0.0008
-193.73138137536696,0.0008
-193.4615556945727,0.0008
-193.1917300137784,0.0008
-192.9219043329841,0.0012
-192.65207865218983,0.0016
-192.38225297139553,0.002
-192.11242729060123,0.002
-191.84260160980693,0.0032
-191.57277592901266,0.0036
-191.30295024821837,0.0044
-191.03312456742407,0.0056
-190.7632988866298,0.0076
-190.4934732058355,0.01
-190.2236475250412,0.0148
-189.95382184424693,0.0188
-189.68399616345263,0.024
-189.41417048265834,0.0308
-189.14434480186407,0.0368
-188.87451912106977,0.0448
-188.60469344027547,0.0556
-188.33486775948117,0.0668
-188.0650420786869,0.08
-187.7952163978926,0.0944
-187.5253907170983,0.1088
-187.25556503630403,0.1232
-186.98573935550974,0.1376
-186.71591367471544,0.1548
-186.44608799392117,0.1688
-186.17626231312687,0.1868
-185.90643663233257,0.2052
-185.63661095153827,0.2228
-185.366785270744,0.2492
-185.0969595899497,0.2684
-184.8271339091554,0.29
-184.55730822836114,0.3108
-184.28748254756684,0.33
-184.01765686677254,0.3464
-183.74783118597827,0.36
-183.47800550518397,0.3796
-183.20817982438967,0.396
-182.9383541435954,0.4116
-182.6685284628011,0.4276
-182.3987027820068,0.4404
-182.1288771012125,0.4592
-181.85905142041824,0.4712
-181.58922573962394,0.4812
-181.31940005882964,0.4912
-181.04957437803537,0.506
-180.77974869724108,0.5192
-180.50992301644678,0.5316
-180.2400973356525,0.544
-179.9702716548582,0.5556
-179.7004459740639,0.566
-179.4306202932696,0.5748
-179.16079461247534,0.588
-178.89096893168104,0.5984
-178.62114325088675,0.6072
-178.35131757009248,0.6176
-178.08149188929818,0.6272
-177.81166620850388,0.6348
-177.5418405277096,0.6448
-177.2720148469153,0.6508
-177.002189166121,0.6576
-176.73236348532674,0.6652
-176.46253780453245,0.6712
-176.19271212373815,0.6756
-175.92288644294385,0.682
-175.65306076214958,0.6916
-175.38323508135528,0.7
-175.11340940056098,0.7088
-174.8435837197667,0.7164
-174.57375803897241,0.7228
-174.30393235817812,0.73
-174.03410667738382,0.7352
-173.76428099658955,0.7416
-173.49445531579525,0.7452
-173.22462963500095,0.7512
-172.95480395420668,0.7608
-172.68497827341238,0.7664
-172.41515259261809,0.7712
-172.14532691182382,0.7784
-171.87550123102952,0.7828
-171.60567555023522,0.7888
-171.33584986944095,0.7912
-171.06602418864665,0.7984
-170.79619850785235,0.804
-170.52637282705808,0.8104
-170.25654714626378,0.8156
-169.9867214654695,0.8196
-169.7168957846752,0.8228
-169.44707010388092,0.8292
-169.17724442308662,0.8364
-168.90741874229232,0.84
-168.63759306149805,0.8488
-168.36776738070375,0.8536
-168.09794169990946,0.8568
-167.82811601911516,0.8604
-167.5582903383209,0.8636
-167.2884646575266,0.8672
-167.0186389767323,0.8696
-166.74881329593802,0.872
-166.47898761514372,0.8748
-166.20916193434942,0.8772
-165.93933625355515,0.8816
-165.66951057276086,0.8856
-165.39968489196656,0.8904
-165.1298592111723,0.8932
-164.860033530378,0.8996
-164.5902078495837,0.904
-164.32038216878942,0.9076
-164.05055648799512,0.91
-163.78073080720083,0.9124
-163.51090512640653,0.9148
-163.24107944561226,0.92
-162.97125376481796,0.9212
-162.70142808402366,0.9244
-162.4316024032294,0.928
-162.1617767224351,0.9308
-161.8919510416408,0.9336
-161.6221253608465,0.936
-161.35229968005223,0.9392
-161.08247399925793,0.9412
-160.81264831846363,0.9436
-160.54282263766936,0.946
-160.27299695687506,0.9488
-160.00317127608076,0.9504
-159.7333455952865,0.9524
-159.4635199144922,0.954
-159.1936942336979,0.956
-158.92386855290363,0.958
-158.65404287210933,0.96
-158.38421719131503,0.9632
-158.11439151052076,0.964
-157.84456582972646,0.9648
-157.57474014893216,0.9664
-157.3049144681379,0.9676
-157.0350887873436,0.9692
-156.7652631065493,0.97
-156.495437425755,0.9712
-156.22561174496073,0.9724
-155.95578606416643,0.9732
-155.68596038337213,0.9744
-155.41613470257784,0.9756
-155.14630902178357,0.976
-154.87648334098927,0.9776
-154.60665766019497,0.9784
-154.3368319794007,0.9808
-154.0670062986064,0.9824
-153.7971806178121,0.9844
-153.52735493701783,0.986
-153.25752925622353,0.9868
-152.98770357542924,0.9872
-152.71787789463497,0.9876
-152.44805221384067,0.988
-152.17822653304637,0.988
-151.9084008522521,0.9892
-151.6385751714578,0.99
-151.3687494906635,0.9904
-151.09892380986923,0.9908
-150.82909812907494,0.9908
-150.55927244828064,0.9916
-150.28944676748634,0.9916
-150.01962108669207,0.992
-149.74979540589777,0.992
-149.47996972510347,0.9924
-149.21014404430917,0.9924
-148.9403183635149,0.9924
-148.6704926827206,0.9928
-148.4006670019263,0.9936
-148.13084132113204,0.9936
-147.86101564033774,0.9936
-147.59118995954344,0.9944
-147.32136427874917,0.9944
-147.05153859795487,0.9948
-146.78171291716058,0.9956
-146.5118872363663,0.9956
-146.242061555572,0.9968
-145.9722358747777,0.9968
-145.70241019398344,0.9972
-145.43258451318914,0.9972
-145.16275883239484,0.9972
-144.89293315160057,0.9972
-144.62310747080627,0.9972
-144.35328179001198,0.9972
-144.08345610921768,0.9972
-143.8136304284234,0.9976
-143.5438047476291,0.998
-143.2739790668348,0.998
-143.0041533860405,0.998
-142.73432770524624,0.998
-142.46450202445195,0.9984
-142.19467634365765,0.9984
-141.92485066286338,0.9984
-141.65502498206908,0.9984
-141.38519930127478,0.9984
-141.1153736204805,0.9984
-140.8455479396862,0.9984
-140.57572225889191,0.9992
-140.30589657809765,1.0
