# Results collected after 2500 snapshots.
x,y
-10.170911927464587,0.0004
-10.10248866879216,0.0008
-10.034065410119734,0.0008
-9.965642151447307,0.0012
-9.89721889277488,0.0012
-9.828795634102454,0.0016
-9.760372375430027,0.0028
-9.691949116757602,0.0032
-9.623525858085175,0.0036
-9.555102599412749,0.0044
-9.486679340740322,0.0044
-9.418256082067895,0.0044
-9.349832823395468,0.0056
-9.281409564723042,0.0056
-9.212986306050615,0.0064
-9.144563047378188,0.0072
-9.076139788705762,0.0092
-9.007716530033335,0.01
-8.939293271360908,0.0132
-8.870870012688481,0.0148
-8.802446754016056,0.0176
-8.73402349534363,0.018
-8.665600236671203,0.0216
-8.597176977998776,0.0244
-8.52875371932635,0.0268
-8.460330460653923,0.028
-8.391907201981496,0.0304
-8.32348394330907,0.0332
-8.255060684636643,0.0388
-8.186637425964216,0.044
-8.11821416729179,0.0476
-8.049790908619364,0.0532
-7.981367649946937,0.0572
-7.91294439127451,0.0636
-7.844521132602084,0.068
-7.776097873929658,0.0732
-7.707674615257231,0.08
-7.639251356584804,0.0872
-7.570828097912377,0.0948
-7.502404839239951,0.1032
-7.433981580567524,0.1116
-7.365558321895097,0.1224
-7.297135063222671,0.132
-7.228711804550244,0.142
-7.160288545877818,0.152
-7.091865287205391,0.166
-7.023442028532965,0.1804
-6.955018769860539,0.1892
-6.886595511188112,0.2028
-6.818172252515685,0.2152
-6.749748993843259,0.234
-6.681325735170832,0.2496
-6.612902476498405,0.2652
-6.5444792178259785,0.278
-6.476055959153552,0.296
-6.407632700481125,0.3112
-6.339209441808699,0.3336
-6.270786183136273,0.3524
-6.202362924463846,0.3752
-6.133939665791419,0.3948
-6.065516407118992,0.4152
-5.997093148446567,0.4328
-5.92866988977414,0.4532
-5.860246631101713,0.4716
-5.7918233724292865,0.4944
-5.72340011375686,0.5128
-5.654976855084433,0.5268
-5.586553596412006,0.55
-5.5181303377395805,0.574
-5.449707079067154,0.5928
-5.381283820394727,0.614
-5.3128605617223,0.634
-5.244437303049874,0.6528
-5.176014044377447,0.6728
-5.107590785705021,0.6884
-5.039167527032594,0.7064
-4.970744268360168,0.7228
-4.902321009687741,0.7412
-4.833897751015314,0.7612
-4.765474492342888,0.778
-4.697051233670461,0.7908
-4.628627974998035,0.8056
-4.560204716325608,0.8152
