# Results collected after 2500 snapshots.
x,y
-90.98856810672551,0.0004
-90.92014484805308,0.0008
-90.85172158938066,0.0008
-90.78329833070823,0.0012
-90.71487507203581,0.0012
-90.64645181336337,0.0016
-90.57802855469095,0.0028
-90.50960529601852,0.0032
-90.4411820373461,0.0036
-90.37275877867367,0.0044
-90.30433552000125,0.0044
-90.23591226132882,0.0044
-90.1674890026564,0.0056
-90.09906574398397,0.0056
-90.03064248531153,0.0064
-89.9622192266391,0.0072
-89.89379596796668,0.0092
-89.82537270929426,0.01
-89.75694945062183,0.0132
-89.6885261919494,0.0148
-89.62010293327698,0.0176
-89.55167967460456,0.018
-89.48325641593212,0.0216
-89.4148331572597,0.0244
-89.34640989858727,0.0268
-89.27798663991484,0.028
-89.20956338124242,0.0304
-89.14114012257,0.0332
-89.07271686389757,0.0388
-89.00429360522514,0.044
-88.93587034655272,0.0476
-88.86744708788028,0.0532
-88.79902382920785,0.0572
-88.73060057053543,0.0636
-88.662177311863,0.068
-88.59375405319058,0.0732
-88.52533079451815,0.08
-88.45690753584573,0.0872
-88.3884842771733,0.0948
-88.32006101850087,0.1032
-88.25163775982844,0.1116
-88.18321450115602,0.1224
-88.11479124248359,0.132
-88.04636798381117,0.142
-87.97794472513874,0.152
-87.90952146646632,0.166
-87.84109820779389,0.1804
-87.77267494912147,0.1892
-87.70425169044903,0.2028
-87.6358284317766,0.2152
-87.56740517310418,0.234
-87.49898191443175,0.2496
-87.43055865575933,0.2652
-87.3621353970869,0.278
-87.29371213841448,0.296
-87.22528887974205,0.3112
-87.15686562106963,0.3336
-87.08844236239719,0.3524
-87.02001910372476,0.3752
-86.95159584505234,0.3948
-86.88317258637991,0.4152
-86.81474932770749,0.4328
-86.74632606903506,0.4532
-86.67790281036264,0.4716
-86.60947955169021,0.4944
-86.54105629301779,0.5128
-86.47263303434535,0.5268
-86.40420977567292,0.55
-86.3357865170005,0.574
-86.26736325832807,0.5928
-86.19893999965565,0.614
-86.13051674098323,0.634
-86.0620934823108,0.6528
-85.99367022363838,0.6728
-85.92524696496594,0.6884
-85.85682370629351,0.7064
-85.78840044762109,0.7228
-85.71997718894866,0.7412
-85.65155393027624,0.7612
-85.58313067160381,0.778
-85.51470741293139,0.7908
-85.44628415425896,0.8056
-85.37786089558654,0.8152
-85.3094376369141,0.8264
-85.24101437824167,0.8348
-85.17259111956925,0.8432
-85.10416786089682,0.8536
-85.0357446022244,0.8652
-84.96732134355197,0.8732
-84.89889808487955,0.8808
-84.83047482620712,0.8884
-84.76205156753468,0.896
-84.69362830886226,0.902
-84.62520505018983,0.9072
-84.55678179151741,0.9116
-84.48835853284498,0.9164
-84.41993527417256,0.9196
-84.35151201550013,0.9228
-84.28308875682771,0.9264
-84.21466549815528,0.9296
-84.14624223948286,0.932
-84.07781898081042,0.9344
-84.009395722138,0.9368
-83.94097246346557,0.9384
-83.87254920479315,0.9408
-83.80412594612072,0.9416
-83.7357026874483,0.9428
-83.66727942877587,0.9436
-83.59885617010345,0.9452
-83.530432911431,0.9464
-83.46200965275858,0.9476
-83.39358639408616,0.9488
-83.32516313541373,0.9496
-83.2567398767413,0.95
-83.18831661806888,0.9524
-83.11989335939646,0.9532
-83.05147010072403,0.9532
-82.9830468420516,0.9536
-82.91462358337917,0.9544
-82.84620032470674,0.9556
-82.77777706603432,0.9556
-82.7093538073619,0.956
-82.64093054868947,0.956
-82.57250729001704,0.9568
-82.50408403134462,0.9576
-82.4356607726722,0.9584
-82.36723751399975,0.9604
-82.29881425532733,0.9608
-82.2303909966549,0.9608
-82.16196773798248,0.9612
-82.09354447931005,0.9628
-82.02512122063763,0.9636
-81.9566979619652,0.9648
-81.88827470329278,0.9656
-81.81985144462035,0.9668
-81.75142818594793,0.9676
-81.68300492727549,0.968
-81.61458166860307,0.9696
-81.54615840993064,0.9696
-81.47773515125822,0.9696
-81.40931189258579,0.9704
-81.34088863391337,0.9712
-81.27246537524094,0.9724
-81.2040421165685,0.9736
-81.13561885789608,0.9748
-81.06719559922365,0.9756
-80.99877234055123,0.976
-80.9303490818788,0.976
-80.86192582320638,0.9768
-80.79350256453395,0.9772
-80.72507930586153,0.9784
-80.6566560471891,0.9788
-80.58823278851668,0.9792
-80.51980952984424,0.98
-80.45138627117181,0.98
-80.38296301249939,0.9812
-80.31453975382696,0.982
-80.24611649515454,0.9824
-80.17769323648211,0.9828
-80.10926997780969,0.984
-80.04084671913725,0.9844
-79.97242346046482,0.9856
-79.9040002017924,0.9868
-79.83557694311997,0.9872
-79.76715368444755,0.9876
-79.69873042577512,0.9888
-79.6303071671027,0.9892
-79.56188390843027,0.9892
-79.49346064975785,0.9892
-79.42503739108543,0.9896
-79.35661413241299,0.9904
-79.28819087374056,0.9908
-79.21976761506814,0.9916
-79.15134435639571,0.9916
-79.08292109772329,0.992
-79.01449783905086,0.992
-78.94607458037844,0.9924
-78.87765132170601,0.9928
-78.80922806303357,0.9932
-78.74080480436115,0.9936
-78.67238154568872,0.994
-78.6039582870163,0.994
-78.53553502834387,0.994
-78.46711176967145,0.9948
-78.39868851099902,0.9948
-78.3302652523266,0.9948
-78.26184199365417,0.9952
-78.19341873498175,0.9952
-78.12499547630931,0.996
-78.05657221763688,0.9964
-77.98814895896446,0.9964
-77.91972570029203,0.9964
-77.85130244161961,0.9972
-77.78287918294718,0.998
-77.71445592427476,0.9984
-77.64603266560232,0.9984
-77.5776094069299,0.9988
-77.50918614825747,0.9992
-77.44076288958505,0.9996
-77.37233963091262,1.0
