# Results collected after 20 snapshots.
x,y
-105.72678004919894,0.05
-105.49596687105144,0.05
-105.26515369290394,0.1
-105.03434051475644,0.1
-104.80352733660894,0.1
-104.57271415846144,0.1
-104.34190098031394,0.1
-104.11108780216642,0.1
-103.88027462401892,0.15
-103.64946144587142,0.15
-103.41864826772392,0.15
-103.18783508957642,0.15
-102.95702191142892,0.15
-102.72620873328142,0.15
-102.49539555513392,0.2
-102.26458237698643,0.2
-102.03376919883893,0.2
-101.80295602069143,0.2
-101.57214284254393,0.2
-101.34132966439643,0.3
-101.11051648624891,0.3
-100.87970330810141,0.3
-100.64889012995391,0.35
-100.41807695180641,0.4
-100.18726377365891,0.4
-99.95645059551141,0.5
-99.72563741736391,0.5
-99.49482423921641,0.5
-99.26401106106891,0.5
-99.03319788292141,0.5
-98.80238470477391,0.5
-98.5715715266264,0.5
-98.3407583484789,0.5
-98.1099451703314,0.5
-97.8791319921839,0.55
-97.6483188140364,0.55
-97.4175056358889,0.55
-97.1866924577414,0.55
-96.9558792795939,0.55
-96.7250661014464,0.55
-96.4942529232989,0.55
-96.2634397451514,0.55
-96.0326265670039,0.55
-95.8018133888564,0.6
-95.57100021070889,0.6
-95.34018703256139,0.6
-95.10937385441389,0.6
-94.87856067626639,0.6
-94.64774749811889,0.6
-94.41693431997139,0.6
-94.18612114182389,0.65
-93.95530796367639,0.65
-93.72449478552889,0.7
-93.49368160738139,0.75
-93.26286842923389,0.75
-93.03205525108639,0.75
-92.80124207293889,0.75
-92.57042889479138,0.75
-92.33961571664388,0.75
-92.10880253849638,0.75
-91.87798936034888,0.75
-91.64717618220138,0.75
-91.41636300405388,0.75
-91.18554982590638,0.75
-90.95473664775888,0.75
-90.72392346961138,0.75
-90.49311029146388,0.75
-90.26229711331638,0.75
-90.03148393516886,0.8
-89.80067075702138,0.8
-89.56985757887387,0.9
-89.33904440072637,0.9
-89.10823122257887,0.9
-88.87741804443137,0.9
-88.64660486628387,0.9
-88.41579168813637,0.9
-88.18497850998887,0.9
-87.95416533184137,0.9
-87.72335215369387,0.9
-87.49253897554637,0.9
-87.26172579739887,0.9
-87.03091261925135,0.9
-86.80009944110387,0.9
-86.56928626295635,0.9
-86.33847308480885,0.9
-86.10765990666135,0.9
-85.87684672851385,0.9
-85.64603355036635,0.9
-85.41522037221885,0.9
-85.18440719407135,0.9
-84.95359401592385,0.9
-84.72278083777636,0.9
-84.49196765962886,0.9
-84.26115448148136,0.9
-84.03034130333384,0.9
-83.79952812518636,0.95
-83.56871494703884,0.95
-83.33790176889134,0.95
-83.10708859074384,0.95
-82.87627541259634,0.95
-82.64546223444884,0.95
-82.41464905630134,0.95
-82.18383587815384,0.95
-81.95302270000634,0.95
-81.72220952185884,0.95
-81.49139634371133,0.95
-81.26058316556384,0.95
-81.02976998741633,0.95
-80.79895680926883,0.95
-80.56814363112133,0.95
-80.33733045297383,0.95
-80.10651727482633,0.95
-79.87570409667883,0.95
-79.64489091853133,0.95
-79.41407774038383,0.95
-79.18326456223633,0.95
-78.95245138408883,0.95
-78.72163820594133,0.95
-78.49082502779382,0.95
-78.26001184964633,0.95
-78.02919867149882,0.95
-77.79838549335132,0.95
-77.56757231520382,0.95
-77.33675913705632,0.95
-77.10594595890882,0.95
-76.87513278076132,0.95
-76.64431960261382,0.95
-76.41350642446632,0.95
-76.18269324631882,0.95
-75.95188006817132,0.95
-75.72106689002382,0.95
-75.4902537118763,0.95
-75.25944053372882,0.95
-75.0286273555813,0.95
-74.7978141774338,0.95
-74.56700099928631,0.95
-74.33618782113881,0.95
-74.10537464299131,0.95
-73.87456146484381,0.95
-73.64374828669631,0.95
-73.41293510854881,0.95
-73.18212193040131,0.95
-72.9513087522538,0.95
-72.72049557410631,0.95
-72.4896823959588,0.95
-72.25886921781131,0.95
-72.0280560396638,0.95
-71.7972428615163,0.95
-71.5664296833688,0.95
-71.3356165052213,0.95
-71.1048033270738,0.95
-70.8739901489263,0.95
-70.6431769707788,0.95
-70.41236379263128,0.95
-70.1815506144838,0.95
-69.95073743633628,0.95
-69.7199242581888,0.95
-69.48911108004128,0.95
-69.2582979018938,0.95
-69.02748472374628,0.95
-68.79667154559878,0.95
-68.56585836745128,0.95
-68.33504518930378,0.95
-68.10423201115628,0.95
-67.87341883300878,0.95
-67.64260565486128,0.95
-67.41179247671377,0.95
-67.18097929856629,0.95
-66.95016612041877,0.95
-66.71935294227129,0.95
-66.48853976412377,0.95
-66.25772658597629,0.95
-66.02691340782877,0.95
-65.79610022968127,0.95
-65.56528705153377,0.95
-65.33447387338627,0.95
-65.10366069523877,0.95
-64.87284751709127,0.95
-64.64203433894377,0.95
-64.41122116079626,0.95
-64.18040798264877,0.95
-63.94959480450127,0.95
-63.71878162635377,0.95
-63.48796844820627,0.95
-63.25715527005877,0.95
-63.02634209191126,0.95
-62.79552891376376,0.95
-62.56471573561626,0.95
-62.33390255746876,0.95
-62.10308937932126,0.95
-61.87227620117376,0.95
-61.641463023026255,0.95
-61.410649844878755,0.95
-61.179836666731255,0.95
-60.949023488583755,0.95
-60.718210310436255,0.95
-60.487397132288756,0.95
-60.25658395414125,0.95
-60.02577077599375,0.95
-59.79495759784625,1.0
