# Results collected after 20 snapshots.
x,y
-186.54443622845986,0.05
-186.31362305031234,0.05
-186.08280987216486,0.1
-185.85199669401734,0.1
-185.62118351586986,0.1
-185.39037033772235,0.1
-185.15955715957486,0.1
-184.92874398142735,0.1
-184.69793080327986,0.15
-184.46711762513235,0.15
-184.23630444698486,0.15
-184.00549126883735,0.15
-183.77467809068986,0.15
-183.54386491254235,0.15
-183.31305173439483,0.2
-183.08223855624735,0.2
-182.85142537809983,0.2
-182.62061219995235,0.2
-182.38979902180483,0.2
-182.15898584365735,0.3
-181.92817266550983,0.3
-181.69735948736235,0.3
-181.46654630921483,0.35
-181.23573313106735,0.4
-181.00491995291983,0.4
-180.77410677477235,0.5
-180.54329359662484,0.5
-180.31248041847732,0.5
-180.08166724032984,0.5
-179.85085406218232,0.5
-179.62004088403484,0.5
-179.38922770588732,0.5
-179.15841452773984,0.5
-178.92760134959232,0.5
-178.69678817144484,0.55
-178.46597499329732,0.55
-178.23516181514984,0.55
-178.00434863700232,0.55
-177.77353545885484,0.55
-177.54272228070732,0.55
-177.3119091025598,0.55
-177.08109592441232,0.55
-176.8502827462648,0.55
-176.61946956811732,0.6
-176.3886563899698,0.6
-176.15784321182232,0.6
-175.9270300336748,0.6
-175.69621685552733,0.6
-175.4654036773798,0.6
-175.23459049923233,0.6
-175.0037773210848,0.65
-174.7729641429373,0.65
-174.5421509647898,0.7
-174.3113377866423,0.75
-174.0805246084948,0.75
-173.8497114303473,0.75
-173.6188982521998,0.75
-173.3880850740523,0.75
-173.1572718959048,0.75
-172.9264587177573,0.75
-172.6956455396098,0.75
-172.4648323614623,0.75
-172.23401918331479,0.75
-172.0032060051673,0.75
-171.7723928270198,0.75
-171.5415796488723,0.75
-171.3107664707248,0.75
-171.0799532925773,0.75
-170.8491401144298,0.8
-170.6183269362823,0.8
-170.3875137581348,0.9
-170.1567005799873,0.9
-169.9258874018398,0.9
-169.6950742236923,0.9
-169.4642610455448,0.9
-169.23344786739727,0.9
-169.0026346892498,0.9
-168.77182151110227,0.9
-168.5410083329548,0.9
-168.31019515480727,0.9
-168.0793819766598,0.9
-167.84856879851228,0.9
-167.6177556203648,0.9
-167.38694244221728,0.9
-167.1561292640698,0.9
-166.92531608592228,0.9
-166.6945029077748,0.9
-166.46368972962728,0.9
-166.23287655147976,0.9
-166.00206337333228,0.9
-165.77125019518476,0.9
-165.54043701703728,0.9
-165.30962383888976,0.9
-165.07881066074228,0.9
-164.84799748259476,0.9
-164.61718430444728,0.95
-164.38637112629976,0.95
-164.15555794815228,0.95
-163.92474477000476,0.95
-163.69393159185728,0.95
-163.46311841370976,0.95
-163.23230523556225,0.95
-163.00149205741477,0.95
-162.77067887926725,0.95
-162.53986570111977,0.95
-162.30905252297225,0.95
-162.07823934482477,0.95
-161.84742616667725,0.95
-161.61661298852977,0.95
-161.38579981038225,0.95
-161.15498663223477,0.95
-160.92417345408725,0.95
-160.69336027593977,0.95
-160.46254709779225,0.95
-160.23173391964474,0.95
-160.00092074149725,0.95
-159.77010756334974,0.95
-159.53929438520225,0.95
-159.30848120705474,0.95
-159.07766802890725,0.95
-158.84685485075974,0.95
-158.61604167261225,0.95
-158.38522849446474,0.95
-158.15441531631726,0.95
-157.92360213816974,0.95
-157.69278896002226,0.95
-157.46197578187474,0.95
-157.23116260372723,0.95
-157.00034942557974,0.95
-156.76953624743223,0.95
-156.53872306928474,0.95
-156.30790989113723,0.95
-156.07709671298974,0.95
-155.84628353484223,0.95
-155.61547035669474,0.95
-155.38465717854723,0.95
-155.15384400039972,0.95
-154.92303082225223,0.95
-154.69221764410474,0.95
-154.46140446595723,0.95
-154.23059128780972,0.95
-153.99977810966223,0.95
-153.76896493151472,0.95
-153.53815175336723,0.95
-153.30733857521972,0.95
-153.07652539707223,0.95
-152.84571221892472,0.95
-152.61489904077723,0.95
-152.38408586262972,0.95
-152.1532726844822,0.95
-151.92245950633472,0.95
-151.69164632818723,0.95
-151.46083315003972,0.95
-151.2300199718922,0.95
-150.99920679374472,0.95
-150.7683936155972,0.95
-150.53758043744972,0.95
-150.3067672593022,0.95
-150.07595408115472,0.95
-149.8451409030072,0.95
-149.61432772485972,0.95
-149.3835145467122,0.95
-149.1527013685647,0.95
-148.9218881904172,0.95
-148.69107501226972,0.95
-148.4602618341222,0.95
-148.2294486559747,0.95
-147.9986354778272,0.95
-147.7678222996797,0.95
-147.5370091215322,0.95
-147.3061959433847,0.95
-147.0753827652372,0.95
-146.8445695870897,0.95
-146.6137564089422,0.95
-146.3829432307947,0.95
-146.15213005264718,0.95
-145.9213168744997,0.95
-145.6905036963522,0.95
-145.4596905182047,0.95
-145.22887734005718,0.95
-144.9980641619097,0.95
-144.76725098376218,0.95
-144.5364378056147,0.95
-144.30562462746718,0.95
-144.0748114493197,0.95
-143.84399827117218,0.95
-143.6131850930247,0.95
-143.38237191487718,0.95
-143.15155873672967,0.95
-142.92074555858218,0.95
-142.6899323804347,0.95
-142.45911920228718,0.95
-142.22830602413967,0.95
-141.99749284599218,0.95
-141.76667966784467,0.95
-141.53586648969718,0.95
-141.30505331154967,0.95
-141.07424013340216,0.95
-140.84342695525467,0.95
-140.61261377710719,1.0
