# Results collected after 25 snapshots.
x,y
-199.44777670056158,0.04
-199.26732905161674,0.04
-199.0868814026719,0.04
-198.90643375372707,0.04
-198.72598610478224,0.04
-198.54553845583743,0.04
-198.3650908068926,0.04
-198.18464315794776,0.04
-198.00419550900293,0.04
-197.8237478600581,0.04
-197.64330021111326,0.04
-197.46285256216842,0.08
-197.2824049132236,0.08
-197.10195726427878,0.08
-196.92150961533395,0.08
-196.7410619663891,0.12
-196.56061431744428,0.12
-196.38016666849944,0.12
-196.1997190195546,0.12
-196.01927137060977,0.12
-195.83882372166494,0.12
-195.6583760727201,0.12
-195.4779284237753,0.12
-195.29748077483046,0.12
-195.11703312588563,0.12
-194.9365854769408,0.12
-194.75613782799596,0.12
-194.57569017905112,0.12
-194.3952425301063,0.12
-194.21479488116145,0.12
-194.03434723221662,0.12
-193.8538995832718,0.12
-193.67345193432698,0.12
-193.49300428538214,0.16
-193.3125566364373,0.16
-193.13210898749247,0.2
-192.95166133854764,0.24
-192.7712136896028,0.24
-192.59076604065797,0.24
-192.41031839171313,0.24
-192.22987074276833,0.24
-192.0494230938235,0.24
-191.86897544487866,0.24
-191.68852779593382,0.32
-191.508080146989,0.32
-191.32763249804415,0.36
-191.14718484909932,0.4
-190.96673720015448,0.44
-190.78628955120968,0.44
-190.60584190226484,0.44
-190.42539425332,0.44
-190.24494660437517,0.44
-190.06449895543034,0.44
-189.8840513064855,0.44
-189.70360365754067,0.44
-189.52315600859583,0.44
-189.342708359651,0.44
-189.1622607107062,0.44
-188.98181306176136,0.44
-188.80136541281652,0.48
-188.6209177638717,0.48
-188.44047011492685,0.48
-188.26002246598202,0.48
-188.07957481703718,0.48
-187.89912716809235,0.48
-187.71867951914754,0.48
-187.5382318702027,0.48
-187.35778422125787,0.48
-187.17733657231304,0.48
-186.9968889233682,0.48
-186.81644127442337,0.48
-186.63599362547853,0.48
-186.4555459765337,0.48
-186.27509832758886,0.48
-186.09465067864403,0.48
-185.91420302969922,0.48
-185.7337553807544,0.48
-185.55330773180955,0.48
-185.37286008286472,0.48
-185.19241243391988,0.48
-185.01196478497505,0.48
-184.83151713603021,0.52
-184.65106948708538,0.52
-184.47062183814057,0.52
-184.29017418919574,0.52
-184.1097265402509,0.52
-183.92927889130607,0.52
-183.74883124236123,0.52
-183.5683835934164,0.52
-183.38793594447156,0.52
-183.20748829552673,0.52
-183.0270406465819,0.52
-182.8465929976371,0.52
-182.66614534869225,0.52
-182.48569769974742,0.52
-182.30525005080258,0.52
-182.12480240185775,0.52
-181.94435475291291,0.52
-181.76390710396808,0.52
-181.58345945502325,0.56
-181.40301180607844,0.56
-181.2225641571336,0.56
-181.04211650818877,0.56
-180.86166885924393,0.56
-180.6812212102991,0.6
-180.50077356135426,0.6
-180.32032591240943,0.6
-180.1398782634646,0.6
-179.95943061451976,0.6
-179.77898296557493,0.6
-179.59853531663012,0.6
-179.41808766768528,0.6
-179.23764001874045,0.6
-179.05719236979562,0.6
-178.87674472085078,0.6
-178.69629707190595,0.6
-178.5158494229611,0.6
-178.3354017740163,0.6
-178.15495412507147,0.6
-177.97450647612663,0.6
-177.7940588271818,0.64
-177.61361117823697,0.64
-177.43316352929213,0.64
-177.2527158803473,0.64
-177.07226823140246,0.64
-176.89182058245763,0.68
-176.7113729335128,0.68
-176.53092528456799,0.68
-176.35047763562315,0.68
-176.17002998667832,0.68
-175.98958233773348,0.68
-175.80913468878865,0.68
-175.6286870398438,0.68
-175.44823939089898,0.68
-175.26779174195417,0.68
-175.08734409300934,0.68
-174.9068964440645,0.68
-174.72644879511967,0.68
-174.54600114617483,0.68
-174.36555349723,0.68
-174.18510584828516,0.68
-174.00465819934033,0.68
-173.8242105503955,0.72
-173.64376290145066,0.72
-173.46331525250585,0.72
-173.28286760356102,0.76
-173.10241995461618,0.76
-172.92197230567135,0.76
-172.7415246567265,0.76
-172.56107700778168,0.76
-172.38062935883684,0.76
-172.200181709892,0.84
-172.0197340609472,0.84
-171.83928641200237,0.84
-171.65883876305753,0.84
-171.4783911141127,0.88
-171.29794346516786,0.88
-171.11749581622303,0.88
-170.9370481672782,0.88
-170.75660051833336,0.88
-170.57615286938852,0.88
-170.3957052204437,0.88
-170.21525757149888,0.88
-170.03480992255405,0.88
-169.8543622736092,0.88
-169.67391462466438,0.92
-169.49346697571954,0.92
-169.3130193267747,0.92
-169.13257167782987,0.92
-168.95212402888507,0.96
-168.77167637994023,0.96
-168.5912287309954,0.96
-168.41078108205056,0.96
-168.23033343310573,0.96
-168.0498857841609,0.96
-167.86943813521606,0.96
-167.68899048627122,0.96
-167.5085428373264,0.96
-167.32809518838155,0.96
-167.14764753943675,0.96
-166.9671998904919,0.96
-166.78675224154708,0.96
-166.60630459260224,0.96
-166.4258569436574,0.96
-166.24540929471257,0.96
-166.06496164576774,0.96
-165.88451399682293,0.96
-165.7040663478781,0.96
-165.52361869893326,0.96
-165.34317104998843,0.96
-165.1627234010436,0.96
-164.98227575209876,0.96
-164.80182810315392,0.96
-164.6213804542091,0.96
-164.44093280526425,0.96
-164.26048515631942,0.96
-164.08003750737458,0.96
-163.89958985842978,0.96
-163.71914220948494,0.96
-163.5386945605401,1.0
