# Results collected after 25 snapshots.
x,y
0,-116.53698678506098
1,-100.71530109825298
2,-104.00234583276642
3,-118.63012052130065
4,-91.36080947683107
5,-115.83999827978221
6,-92.96974877161591
7,-90.60856967147885
8,-88.73650015080923
9,-112.13692946842372
10,-82.54059073233435
11,-95.94991255311601
12,-99.80217706911122
13,-92.35295687026911
14,-110.32676235524991
15,-107.84463493321013
16,-110.0909570947014
17,-112.647711813477
18,-110.692731829965
19,-112.07265617862842
20,-110.36075506879291
21,-96.90875902667992
22,-91.29324430399834
23,-110.86104360488994
24,-87.9860017687802
