# Results collected after 25 snapshots.
x,y
-15.315237681036209,0.04
-15.299537146762253,0.04
-15.283836612488297,0.04
-15.268136078214342,0.04
-15.252435543940384,0.04
-15.236735009666429,0.04
-15.221034475392473,0.04
-15.205333941118518,0.04
-15.189633406844562,0.04
-15.173932872570607,0.04
-15.15823233829665,0.04
-15.142531804022694,0.04
-15.126831269748738,0.04
-15.111130735474783,0.04
-15.095430201200827,0.04
-15.079729666926871,0.04
-15.064029132652914,0.04
-15.048328598378959,0.04
-15.032628064105003,0.04
-15.016927529831047,0.04
-15.001226995557092,0.04
-14.985526461283136,0.04
-14.969825927009179,0.04
-14.954125392735223,0.04
-14.938424858461268,0.04
-14.922724324187312,0.04
-14.907023789913357,0.04
-14.891323255639401,0.04
-14.875622721365445,0.04
-14.859922187091488,0.04
-14.844221652817533,0.04
-14.828521118543577,0.04
-14.812820584269621,0.04
-14.797120049995666,0.04
-14.78141951572171,0.04
-14.765718981447753,0.04
-14.750018447173797,0.04
-14.734317912899842,0.04
-14.718617378625886,0.04
-14.70291684435193,0.04
-14.687216310077975,0.04
-14.671515775804018,0.04
-14.655815241530062,0.04
-14.640114707256107,0.04
-14.624414172982151,0.04
-14.608713638708196,0.04
-14.59301310443424,0.04
-14.577312570160284,0.04
-14.561612035886327,0.04
-14.545911501612371,0.04
-14.530210967338416,0.04
-14.51451043306446,0.04
-14.498809898790505,0.04
-14.483109364516547,0.04
-14.467408830242592,0.04
-14.451708295968636,0.04
-14.43600776169468,0.04
-14.420307227420725,0.04
-14.40460669314677,0.04
-14.388906158872814,0.04
-14.373205624598857,0.04
-14.357505090324901,0.04
-14.341804556050946,0.04
-14.32610402177699,0.04
-14.310403487503034,0.04
-14.294702953229079,0.04
-14.279002418955121,0.04
-14.263301884681166,0.04
-14.24760135040721,0.04
-14.231900816133255,0.04
-14.2162002818593,0.08
-14.200499747585344,0.08
-14.184799213311386,0.08
-14.16909867903743,0.08
-14.153398144763475,0.08
-14.13769761048952,0.08
-14.121997076215564,0.08
-14.106296541941608,0.12
-14.090596007667653,0.12
-14.074895473393696,0.12
-14.05919493911974,0.12
-14.043494404845784,0.12
-14.027793870571829,0.12
-14.012093336297873,0.12
-13.996392802023916,0.12
-13.98069226774996,0.12
-13.964991733476005,0.12
-13.94929119920205,0.12
-13.933590664928094,0.12
-13.917890130654138,0.12
-13.902189596380182,0.12
-13.886489062106225,0.12
-13.87078852783227,0.12
-13.855087993558314,0.12
-13.839387459284358,0.12
-13.823686925010403,0.12
-13.807986390736447,0.16
-13.792285856462492,0.16
-13.776585322188534,0.16
-13.760884787914579,0.16
-13.745184253640623,0.24
-13.729483719366668,0.24
-13.713783185092712,0.24
-13.698082650818755,0.32
-13.6823821165448,0.32
-13.666681582270844,0.36
-13.650981047996888,0.36
-13.635280513722932,0.36
-13.619579979448977,0.4
-13.603879445175021,0.44
-13.588178910901064,0.48
-13.572478376627108,0.48
-13.556777842353153,0.48
-13.541077308079197,0.48
-13.525376773805242,0.52
-13.509676239531286,0.52
-13.493975705257329,0.52
-13.478275170983373,0.52
-13.462574636709418,0.56
-13.446874102435462,0.56
-13.431173568161507,0.56
-13.415473033887551,0.56
-13.399772499613594,0.56
-13.384071965339638,0.56
-13.368371431065682,0.56
-13.352670896791727,0.56
-13.336970362517771,0.56
-13.321269828243816,0.56
-13.30556929396986,0.56
-13.289868759695903,0.6
-13.274168225421947,0.6
-13.258467691147992,0.6
-13.242767156874036,0.6
-13.22706662260008,0.6
-13.211366088326123,0.6
-13.19566555405217,0.6
-13.179965019778212,0.6
-13.164264485504257,0.6
-13.148563951230301,0.6
-13.132863416956345,0.6
-13.11716288268239,0.6
-13.101462348408432,0.6
-13.085761814134477,0.6
-13.070061279860521,0.6
-13.054360745586566,0.64
-13.03866021131261,0.64
-13.022959677038653,0.68
-13.007259142764699,0.68
-12.991558608490742,0.68
-12.975858074216786,0.68
-12.96015753994283,0.68
-12.944457005668875,0.68
-12.92875647139492,0.68
-12.913055937120962,0.72
-12.897355402847007,0.72
-12.881654868573051,0.72
-12.865954334299095,0.72
-12.85025380002514,0.76
-12.834553265751184,0.76
-12.818852731477229,0.76
-12.803152197203271,0.76
-12.787451662929316,0.76
-12.77175112865536,0.76
-12.756050594381405,0.76
-12.740350060107449,0.8
-12.724649525833492,0.8
-12.708948991559538,0.84
-12.69324845728558,0.84
-12.677547923011625,0.84
-12.66184738873767,0.84
-12.646146854463714,0.84
-12.630446320189758,0.84
-12.614745785915801,0.84
-12.599045251641845,0.84
-12.58334471736789,0.84
-12.567644183093934,0.84
-12.551943648819979,0.84
-12.536243114546023,0.84
-12.520542580272068,0.84
-12.50484204599811,0.84
-12.489141511724155,0.84
-12.473440977450199,0.84
-12.457740443176244,0.84
-12.442039908902288,0.88
-12.42633937462833,0.88
-12.410638840354375,0.88
-12.39493830608042,0.88
-12.379237771806464,0.88
-12.363537237532508,0.88
-12.347836703258553,0.88
-12.332136168984597,0.92
-12.31643563471064,0.96
-12.300735100436684,0.96
-12.285034566162729,0.96
-12.269334031888773,0.96
-12.253633497614818,0.96
-12.23793296334086,0.96
-12.222232429066906,0.96
-12.206531894792949,0.96
-12.190831360518994,1.0
