# Results collected after 25 snapshots.
x,y
-96.13289386029713,0.04
-96.11719332602317,0.04
-96.10149279174922,0.04
-96.08579225747526,0.04
-96.0700917232013,0.04
-96.05439118892735,0.04
-96.0386906546534,0.04
-96.02299012037943,0.04
-96.00728958610549,0.04
-95.99158905183153,0.04
-95.97588851755758,0.04
-95.96018798328362,0.04
-95.94448744900966,0.04
-95.92878691473571,0.04
-95.91308638046175,0.04
-95.89738584618779,0.04
-95.88168531191384,0.04
-95.86598477763988,0.04
-95.85028424336592,0.04
-95.83458370909197,0.04
-95.81888317481801,0.04
-95.80318264054405,0.04
-95.7874821062701,0.04
-95.77178157199614,0.04
-95.7560810377222,0.04
-95.74038050344824,0.04
-95.72467996917428,0.04
-95.70897943490033,0.04
-95.69327890062637,0.04
-95.6775783663524,0.04
-95.66187783207846,0.04
-95.6461772978045,0.04
-95.63047676353054,0.04
-95.61477622925659,0.04
-95.59907569498263,0.04
-95.58337516070867,0.04
-95.56767462643472,0.04
-95.55197409216076,0.04
-95.5362735578868,0.04
-95.52057302361285,0.04
-95.5048724893389,0.04
-95.48917195506495,0.04
-95.47347142079099,0.04
-95.45777088651703,0.04
-95.44207035224308,0.04
-95.42636981796912,0.04
-95.41066928369516,0.04
-95.39496874942121,0.04
-95.37926821514725,0.04
-95.36356768087329,0.04
-95.34786714659934,0.04
-95.33216661232538,0.04
-95.31646607805142,0.04
-95.30076554377747,0.04
-95.28506500950351,0.04
-95.26936447522957,0.04
-95.2536639409556,0.04
-95.23796340668164,0.04
-95.2222628724077,0.04
-95.20656233813374,0.04
-95.19086180385978,0.04
-95.17516126958583,0.04
-95.15946073531187,0.04
-95.1437602010379,0.04
-95.12805966676396,0.04
-95.11235913249,0.04
-95.09665859821604,0.04
-95.08095806394209,0.04
-95.06525752966813,0.04
-95.04955699539417,0.04
-95.03385646112022,0.08
-95.01815592684626,0.08
-95.00245539257232,0.08
-94.98675485829835,0.08
-94.9710543240244,0.08
-94.95535378975045,0.08
-94.93965325547649,0.08
-94.92395272120253,0.12
-94.90825218692858,0.12
-94.89255165265462,0.12
-94.87685111838066,0.12
-94.86115058410671,0.12
-94.84545004983275,0.12
-94.82974951555879,0.12
-94.81404898128484,0.12
-94.79834844701088,0.12
-94.78264791273693,0.12
-94.76694737846297,0.12
-94.75124684418901,0.12
-94.73554630991507,0.12
-94.7198457756411,0.12
-94.70414524136714,0.12
-94.6884447070932,0.12
-94.67274417281924,0.12
-94.65704363854528,0.12
-94.64134310427133,0.12
-94.62564256999737,0.16
-94.6099420357234,0.16
-94.59424150144946,0.16
-94.5785409671755,0.16
-94.56284043290154,0.24
-94.54713989862759,0.24
-94.53143936435363,0.24
-94.51573883007968,0.32
-94.50003829580572,0.32
-94.48433776153176,0.36
-94.46863722725782,0.36
-94.45293669298385,0.36
-94.4372361587099,0.4
-94.42153562443595,0.44
-94.40583509016199,0.48
-94.39013455588803,0.48
-94.37443402161408,0.48
-94.35873348734012,0.48
-94.34303295306616,0.52
-94.32733241879221,0.52
-94.31163188451825,0.52
-94.2959313502443,0.52
-94.28023081597034,0.56
-94.26453028169638,0.56
-94.24882974742243,0.56
-94.23312921314847,0.56
-94.21742867887451,0.56
-94.20172814460057,0.56
-94.1860276103266,0.56
-94.17032707605264,0.56
-94.1546265417787,0.56
-94.13892600750474,0.56
-94.12322547323078,0.56
-94.10752493895683,0.6
-94.09182440468287,0.6
-94.0761238704089,0.6
-94.06042333613496,0.6
-94.044722801861,0.6
-94.02902226758705,0.6
-94.01332173331309,0.6
-93.99762119903913,0.6
-93.98192066476518,0.6
-93.96622013049122,0.6
-93.95051959621726,0.6
-93.93481906194332,0.6
-93.91911852766935,0.6
-93.9034179933954,0.6
-93.88771745912145,0.6
-93.87201692484749,0.64
-93.85631639057353,0.64
-93.84061585629958,0.68
-93.82491532202562,0.68
-93.80921478775167,0.68
-93.79351425347771,0.68
-93.77781371920375,0.68
-93.7621131849298,0.68
-93.74641265065584,0.68
-93.73071211638188,0.72
-93.71501158210793,0.72
-93.69931104783397,0.72
-93.68361051356001,0.72
-93.66790997928607,0.76
-93.6522094450121,0.76
-93.63650891073814,0.76
-93.6208083764642,0.76
-93.60510784219024,0.76
-93.58940730791628,0.76
-93.57370677364233,0.76
-93.55800623936837,0.8
-93.54230570509442,0.8
-93.52660517082046,0.84
-93.5109046365465,0.84
-93.49520410227255,0.84
-93.47950356799859,0.84
-93.46380303372463,0.84
-93.44810249945068,0.84
-93.43240196517672,0.84
-93.41670143090276,0.84
-93.40100089662882,0.84
-93.38530036235485,0.84
-93.3695998280809,0.84
-93.35389929380695,0.84
-93.33819875953299,0.84
-93.32249822525904,0.84
-93.30679769098508,0.84
-93.29109715671112,0.84
-93.27539662243717,0.84
-93.25969608816321,0.88
-93.24399555388925,0.88
-93.2282950196153,0.88
-93.21259448534134,0.88
-93.19689395106738,0.88
-93.18119341679343,0.88
-93.16549288251947,0.88
-93.14979234824551,0.92
-93.13409181397157,0.96
-93.1183912796976,0.96
-93.10269074542364,0.96
-93.0869902111497,0.96
-93.07128967687574,0.96
-93.05558914260179,0.96
-93.03988860832783,0.96
-93.02418807405387,0.96
-93.00848753977992,1.0
