# Results collected after 25 snapshots.
x,y
0,-12.175130826245038
1,-12.911748631238368
2,-13.800554193879918
3,-13.60907917125985
4,-14.101411453370588
5,-13.736960482744337
6,-12.318181007990148
7,-12.44095858173472
8,-13.523352988770526
9,-12.839669593134275
10,-13.69680053639921
11,-13.048732720847298
12,-15.315237681036209
13,-13.277608164986773
14,-12.725659007542276
15,-13.651895678798525
16,-13.017508847302338
17,-14.20823732268262
18,-12.699843315962482
19,-13.730023937230385
20,-12.30447755748662
21,-13.452507775952995
22,-13.697311461838183
23,-13.580962344477086
24,-13.59439190176036
