# Results collected after 2500 snapshots.
x,y
-206.3616923248297,0.0004
-206.0044430481322,0.0008
-205.64719377143467,0.0008
-205.28994449473717,0.0012
-204.93269521803964,0.002
-204.57544594134214,0.004
-204.2181966646446,0.006
-203.8609473879471,0.0076
-203.5036981112496,0.0104
-203.14644883455207,0.0132
-202.78919955785457,0.0176
-202.43195028115704,0.0228
-202.07470100445954,0.024
-201.717451727762,0.028
-201.3602024510645,0.0332
-201.002953174367,0.0404
-200.64570389766948,0.0472
-200.28845462097198,0.0548
-199.93120534427445,0.0632
-199.57395606757694,0.0724
-199.2167067908794,0.0816
-198.8594575141819,0.092
-198.5022082374844,0.1024
-198.14495896078688,0.1152
-197.78770968408938,0.126
-197.43046040739185,0.1344
-197.07321113069435,0.15
-196.71596185399682,0.1576
-196.35871257729931,0.1692
-196.0014633006018,0.176
-195.64421402390428,0.1916
-195.28696474720678,0.2056
-194.92971547050925,0.2148
-194.57246619381175,0.2284
-194.21521691711422,0.2412
-193.85796764041672,0.2532
-193.50071836371922,0.2676
-193.14346908702169,0.28
-192.78621981032418,0.294
-192.42897053362665,0.306
-192.07172125692915,0.316
-191.71447198023162,0.3312
-191.35722270353412,0.3416
-190.99997342683662,0.3576
-190.6427241501391,0.374
-190.2854748734416,0.3864
-189.92822559674406,0.4
-189.57097632004655,0.4168
-189.21372704334902,0.432
-188.85647776665152,0.4468
-188.49922848995402,0.4576
-188.1419792132565,0.468
-187.784729936559,0.4836
-187.42748065986146,0.4948
-187.07023138316396,0.5024
-186.71298210646643,0.5148
-186.35573282976893,0.5284
-185.99848355307142,0.5368
-185.6412342763739,0.5492
-185.2839849996764,0.5616
-184.92673572297886,0.5696
-184.56948644628136,0.578
-184.21223716958383,0.5908
-183.85498789288633,0.5996
-183.49773861618883,0.6088
-183.1404893394913,0.6196
-182.7832400627938,0.6276
-182.42599078609626,0.634
-182.06874150939876,0.644
-181.71149223270123,0.6532
-181.35424295600373,0.6596
-180.99699367930623,0.6684
-180.6397444026087,0.676
-180.2824951259112,0.6868
-179.92524584921367,0.6928
-179.56799657251617,0.7012
-179.21074729581863,0.7088
-178.85349801912113,0.7172
-178.49624874242363,0.726
-178.1389994657261,0.732
-177.7817501890286,0.7432
-177.42450091233107,0.748
-177.06725163563357,0.7576
-176.71000235893604,0.7636
-176.35275308223854,0.7684
-175.99550380554103,0.776
-175.6382545288435,0.7836
-175.281005252146,0.7884
-174.92375597544847,0.798
-174.56650669875097,0.8068
-174.20925742205344,0.812
-173.85200814535594,0.8196
-173.49475886865844,0.8276
-173.1375095919609,0.8324
-172.78026031526338,0.8372
-172.42301103856587,0.8452
-172.06576176186837,0.852
-171.70851248517084,0.858
-171.35126320847334,0.8656
-170.99401393177584,0.8716
-170.6367646550783,0.8756
-170.27951537838078,0.882
-169.92226610168328,0.8848
-169.56501682498578,0.8896
-169.20776754828825,0.8948
-168.85051827159074,0.8996
-168.49326899489324,0.9028
-168.1360197181957,0.9076
-167.77877044149818,0.9112
-167.42152116480068,0.9156
-167.06427188810318,0.9196
-166.70702261140565,0.9248
-166.34977333470815,0.9276
-165.99252405801064,0.93
-165.63527478131311,0.9332
-165.27802550461558,0.9352
-164.92077622791808,0.938
-164.56352695122058,0.9416
-164.20627767452305,0.9436
-163.84902839782555,0.9456
-163.49177912112805,0.9496
-163.13452984443052,0.9516
-162.777280567733,0.954
-162.42003129103549,0.956
-162.06278201433798,0.958
-161.70553273764045,0.96
-161.34828346094295,0.9624
-160.99103418424545,0.9636
-160.63378490754792,0.9652
-160.2765356308504,0.966
-159.9192863541529,0.9676
-159.5620370774554,0.9696
-159.20478780075786,0.9712
-158.84753852406035,0.9732
-158.49028924736285,0.9756
-158.13303997066532,0.9756
-157.7757906939678,0.9772
-157.4185414172703,0.9792
-157.0612921405728,0.9808
-156.70404286387526,0.9816
-156.34679358717776,0.9824
-155.98954431048026,0.9844
-155.63229503378273,0.9844
-155.2750457570852,0.9852
-154.9177964803877,0.986
-154.5605472036902,0.9876
-154.20329792699266,0.9892
-153.84604865029516,0.9896
-153.48879937359766,0.9908
-153.13155009690013,0.9916
-152.7743008202026,0.9936
-152.4170515435051,0.994
-152.0598022668076,0.994
-151.70255299011006,0.994
-151.34530371341256,0.994
-150.98805443671506,0.994
-150.63080516001753,0.9956
-150.27355588332,0.9956
-149.9163066066225,0.996
-149.559057329925,0.9968
-149.20180805322747,0.9976
-148.84455877652996,0.9976
-148.48730949983246,0.998
-148.13006022313493,0.998
-147.7728109464374,0.9984
-147.4155616697399,0.9988
-147.0583123930424,0.9988
-146.70106311634487,0.9988
-146.34381383964737,0.9988
-145.98656456294987,0.9988
-145.62931528625234,0.9988
-145.2720660095548,0.9988
-144.9148167328573,0.9988
-144.5575674561598,0.9988
-144.20031817946227,0.9988
-143.84306890276477,0.9988
-143.48581962606727,0.9988
-143.12857034936974,0.9992
-142.7713210726722,0.9992
-142.4140717959747,0.9992
-142.0568225192772,0.9992
-141.69957324257967,0.9992
-141.34232396588217,0.9992
-140.98507468918467,0.9992
-140.62782541248714,0.9992
-140.2705761357896,0.9996
-139.9133268590921,0.9996
-139.5560775823946,0.9996
-139.19882830569708,0.9996
-138.84157902899958,0.9996
-138.48432975230207,0.9996
-138.12708047560454,0.9996
-137.769831198907,0.9996
-137.4125819222095,0.9996
-137.055332645512,0.9996
-136.69808336881448,0.9996
-136.34083409211698,0.9996
-135.98358481541948,0.9996
-135.62633553872195,0.9996
-135.26908626202442,1.0
