# Results collected after 2500 snapshots.
x,y
-125.53588137486193,0.0004
-125.17867283338265,0.0008
-124.82146429190337,0.0008
-124.46425575042409,0.0012
-124.1070472089448,0.002
-123.74983866746553,0.004
-123.39263012598624,0.006
-123.03542158450696,0.0076
-122.67821304302767,0.0104
-122.32100450154839,0.0132
-121.9637959600691,0.0176
-121.60658741858983,0.0228
-121.24937887711054,0.024
-120.89217033563126,0.028
-120.53496179415198,0.0332
-120.1777532526727,0.0404
-119.82054471119342,0.0476
-119.46333616971414,0.0548
-119.10612762823486,0.0632
-118.74891908675558,0.0724
-118.3917105452763,0.0816
-118.034502003797,0.0928
-117.67729346231772,0.102
-117.32008492083844,0.1152
-116.96287637935916,0.1256
-116.60566783787988,0.1344
-116.2484592964006,0.15
-115.89125075492132,0.1576
-115.53404221344204,0.1696
-115.17683367196275,0.1756
-114.81962513048347,0.1912
-114.46241658900419,0.2056
-114.10520804752491,0.2144
-113.74799950604563,0.2284
-113.39079096456635,0.2412
-113.03358242308707,0.2532
-112.67637388160779,0.2676
-112.31916534012849,0.2796
-111.96195679864921,0.294
-111.60474825716993,0.306
-111.24753971569065,0.316
-110.89033117421137,0.3312
-110.53312263273209,0.3416
-110.1759140912528,0.3572
-109.81870554977353,0.3736
-109.46149700829424,0.3864
-109.10428846681496,0.3996
-108.74707992533568,0.4168
-108.38987138385639,0.432
-108.0326628423771,0.4464
-107.67545430089783,0.4576
-107.31824575941855,0.468
-106.96103721793926,0.4832
-106.60382867645998,0.4948
-106.2466201349807,0.5024
-105.88941159350142,0.5148
-105.53220305202214,0.528
-105.17499451054286,0.5368
-104.81778596906358,0.5492
-104.4605774275843,0.5612
-104.10336888610502,0.5696
-103.74616034462574,0.578
-103.38895180314645,0.5912
-103.03174326166717,0.5992
-102.67453472018789,0.6088
-102.31732617870861,0.6192
-101.96011763722932,0.628
-101.60290909575004,0.634
-101.24570055427075,0.644
-100.88849201279147,0.6532
-100.5312834713122,0.6596
-100.17407492983291,0.668
-99.81686638835363,0.6756
-99.45965784687435,0.6868
-99.10244930539507,0.6928
-98.74524076391579,0.7012
-98.38803222243651,0.7088
-98.03082368095721,0.7172
-97.67361513947793,0.726
-97.31640659799865,0.7324
-96.95919805651937,0.7432
-96.60198951504009,0.7476
-96.24478097356081,0.7576
-95.88757243208153,0.7636
-95.53036389060225,0.768
-95.17315534912296,0.7756
-94.81594680764368,0.7836
-94.4587382661644,0.7892
-94.10152972468512,0.798
-93.74432118320584,0.8068
-93.38711264172656,0.812
-93.02990410024728,0.8192
-92.672695558768,0.828
-92.31548701728872,0.8324
-91.95827847580944,0.8372
-91.60106993433016,0.8452
-91.24386139285086,0.8524
-90.88665285137158,0.8576
-90.5294443098923,0.8652
-90.17223576841302,0.8716
-89.81502722693374,0.8756
-89.45781868545446,0.882
-89.10061014397517,0.8844
-88.7434016024959,0.8896
-88.3861930610166,0.8948
-88.02898451953732,0.8996
-87.67177597805804,0.9028
-87.31456743657876,0.9076
-86.95735889509947,0.9112
-86.6001503536202,0.9156
-86.24294181214091,0.9196
-85.88573327066163,0.9244
-85.52852472918235,0.9272
-85.17131618770307,0.93
-84.81410764622379,0.9332
-84.45689910474451,0.9352
-84.09969056326523,0.938
-83.74248202178595,0.9416
-83.38527348030667,0.9436
-83.02806493882738,0.9456
-82.6708563973481,0.9496
-82.31364785586882,0.9516
-81.95643931438954,0.954
-81.59923077291026,0.956
-81.24202223143098,0.958
-80.88481368995168,0.96
-80.5276051484724,0.9624
-80.17039660699312,0.9636
-79.81318806551384,0.9652
-79.45597952403456,0.966
-79.09877098255528,0.9676
-78.741562441076,0.9696
-78.3843538995967,0.9712
-78.02714535811742,0.9732
-77.66993681663814,0.9756
-77.31272827515886,0.9756
-76.95551973367958,0.9772
-76.5983111922003,0.9792
-76.24110265072102,0.9808
-75.88389410924174,0.9816
-75.52668556776246,0.9824
-75.16947702628318,0.9844
-74.8122684848039,0.9844
-74.45505994332461,0.9852
-74.09785140184533,0.986
-73.74064286036605,0.9876
-73.38343431888677,0.9892
-73.02622577740749,0.9896
-72.66901723592821,0.9908
-72.31180869444893,0.9916
-71.95460015296965,0.9936
-71.59739161149037,0.994
-71.24018307001108,0.994
-70.88297452853179,0.994
-70.52576598705251,0.994
-70.16855744557323,0.994
-69.81134890409395,0.9956
-69.45414036261467,0.9956
-69.09693182113539,0.996
-68.7397232796561,0.9968
-68.38251473817682,0.9976
-68.02530619669753,0.9976
-67.66809765521825,0.998
-67.31088911373897,0.998
-66.95368057225969,0.9984
-66.5964720307804,0.9988
-66.23926348930112,0.9988
-65.88205494782184,0.9988
-65.52484640634256,0.9988
-65.16763786486328,0.9988
-64.810429323384,0.9988
-64.45322078190472,0.9988
-64.09601224042544,0.9988
-63.73880369894616,0.9988
-63.381595157466876,0.9988
-63.02438661598759,0.9988
-62.66717807450831,0.9988
-62.309969533029026,0.9992
-61.952760991549745,0.9992
-61.595552450070464,0.9992
-61.238343908591176,0.9992
-60.881135367111895,0.9992
-60.523926825632614,0.9992
-60.16671828415333,0.9992
-59.80950974267405,0.9992
-59.45230120119477,0.9996
-59.09509265971549,0.9996
-58.73788411823621,0.9996
-58.38067557675693,0.9996
-58.02346703527765,0.9996
-57.66625849379837,0.9996
-57.309049952319086,0.9996
-56.95184141083979,0.9996
-56.59463286936051,0.9996
-56.23742432788123,0.9996
-55.88021578640195,0.9996
-55.52300724492267,0.9996
-55.165798703443386,0.9996
-54.808590161964105,0.9996
-54.451381620484824,1.0
