# Results collected after 2500 snapshots.
x,y
0,-116.53698678506098
1,-100.71530109825298
2,-104.00234583276642
3,-118.63012052130065
4,-91.36080947683107
5,-115.83999827978221
6,-92.96974877161591
7,-90.60856967147885
8,-88.73650015080923
9,-112.13692946842372
10,-82.54059073233435
11,-95.94991255311601
12,-99.80217706911122
13,-92.35295687026911
14,-110.32676235524991
15,-107.84463493321013
16,-110.0909570947014
17,-112.647711813477
18,-110.692731829965
19,-112.07265617862842
20,-110.36075506879291
21,-96.90875902667992
22,-91.29324430399834
23,-110.86104360488994
24,-87.9860017687802
25,-94.03608919206059
26,-114.29702925500155
27,-101.06366421909868
28,-99.887282546345
29,-91.14351490467146
30,-116.71896412056753
31,-110.37374014653415
32,-98.98536080566535
33,-94.23452832596985
34,-118.28602853666834
35,-97.35124685110364
36,-120.0332329082278
37,-108.00778495427343
38,-114.33447415222415
39,-112.698158281026
40,-105.21600900253955
41,-90.79559841226708
42,-115.82535327988191
43,-114.36220362278027
44,-94.75616595037539
45,-73.88451118925968
46,-102.69231363380354
47,-119.78010913805053
48,-81.88184294142206
49,-109.46858695099112
50,-114.69565493040636
51,-101.51855982780611
52,-82.44024085946157
53,-99.33683982940184
54,-106.21646392028518
55,-111.02334570782762
56,-109.33788979645593
57,-109.66157198469264
58,-114.44646880303029
59,-111.16535908718973
60,-84.0171462987017
61,-118.33482043360883
62,-99.2775564676603
63,-93.6919484027475
64,-104.16087413889946
65,-108.85945217970246
66,-93.97943599332618
67,-108.32591003558196
68,-72.48981826052687
69,-84.3093946779453
70,-98.54970406445196
71,-93.0462142837165
72,-111.71642398963778
73,-92.00584426339452
74,-97.5587888648663
75,-120.06607591251137
76,-107.33373855177697
77,-112.40324258608703
78,-114.6582189900295
79,-109.3614498337941
80,-92.31871921011674
81,-107.04880754123622
82,-104.5675452933481
83,-109.79106659184978
84,-109.87543954917706
85,-97.95487665930983
86,-96.12400363541298
87,-121.35545512508912
88,-103.37137291786973
89,-124.84826271653642
90,-97.1513096734038
91,-93.36959348852574
92,-111.19958845306999
93,-117.49727864650887
94,-95.41519674013915
95,-114.69648532805712
96,-87.75654605135585
97,-117.12962309237503
98,-115.49836482635072
99,-116.29218711304588
100,-116.13702581497355
101,-118.86280149650523
102,-118.83991282202166
103,-119.6806841512898
104,-95.61605899145289
105,-105.53615852764699
106,-104.28083702414742
107,-81.94046897152788
108,-84.31870960063193
109,-104.53473741082706
110,-89.06436726264036
111,-116.55864592609748
112,-94.35111851626007
113,-108.44146585162699
114,-120.08186382143666
115,-118.33683728603518
116,-114.23683484395477
117,-72.48926326204659
118,-98.7526794055457
119,-110.9987626767277
120,-100.2008949971711
121,-99.35422821686805
122,-99.94901976334765
123,-102.89538968622458
124,-108.98701886501004
125,-95.95090482573315
126,-113.26732208524996
127,-99.9911089687541
128,-110.69189729648039
129,-110.70615291134894
130,-96.18094401107143
131,-101.06915234926589
132,-112.33734564769563
133,-110.80008081404665
134,-122.84661916995591
135,-115.78442130389647
136,-105.01560429346236
137,-85.90588305818093
138,-118.65685982137512
139,-114.12239646246442
140,-105.79214404459358
141,-94.76729064689982
142,-76.67696197844398
143,-113.54558485584408
144,-113.29586595127913
145,-114.07879253629423
146,-87.42923909007666
147,-99.47208354023101
148,-88.62823605311212
149,-116.74707712533893
150,-111.98015623606662
151,-117.27036065749039
152,-103.46300596170542
153,-100.93693736804059
154,-116.98854880545682
155,-108.20317435014184
156,-102.52337765356847
157,-106.22914479511553
158,-112.01676209427637
159,-95.80597944317691
160,-89.27762618843644
161,-99.34066124676397
162,-93.4302719386474
163,-100.25396842057282
164,-116.07214367373871
165,-91.5914759866923
166,-102.79827631285704
167,-108.16183197467245
168,-118.28501385723484
169,-100.97584434639742
170,-90.07002563837833
171,-111.90498291439175
172,-110.82889529325178
173,-73.04659287730087
174,-105.2554526145
175,-120.45555110855994
176,-112.1159652951657
177,-108.29323570860518
178,-117.72863083268496
179,-112.2071748228091
180,-109.09680006735672
181,-75.0481923696799
182,-113.58089703666127
183,-99.85876152113639
184,-103.03584036876052
185,-93.33034264029101
186,-109.29892781173896
187,-100.55935252762507
188,-114.66143924932155
189,-111.57797806597281
190,-103.61507367860838
