# Results collected after 2500 snapshots.
x,y
-4.5,0.0
-4.495,0.0
-4.49,0.0
-4.485,0.0
-4.48,0.0
-4.475,0.0
-4.47,0.0
-4.465,0.0
-4.46,0.0
-4.455,0.0
-4.45,0.0
-4.445,0.0
-4.44,0.0
-4.435,0.0
-4.43,0.0
-4.425,0.0
-4.42,0.0
-4.415,0.0
-4.41,0.0
-4.405,0.0
-4.4,0.0
-4.395,0.0
-4.39,0.0
-4.385,0.0
-4.38,0.0
-4.375,0.0
-4.37,0.0
-4.365,0.0
-4.36,0.0
-4.355,0.0
-4.35,0.0
-4.345,0.0
-4.34,0.0
-4.335,0.0
-4.33,0.0
-4.325,0.0
-4.32,0.0
-4.315,0.0
-4.31,0.0
-4.305,0.0
-4.3,0.0
-4.295,0.0
-4.29,0.0
-4.285,0.0
-4.28,0.0
-4.275,0.0
-4.27,0.0
-4.265,0.0
-4.26,0.0
-4.255,0.0
-4.25,0.0
-4.245,0.0
-4.24,0.0
-4.235,0.0
-4.23,0.0
-4.225,0.0
-4.22,0.0
-4.215,0.0
-4.21,0.0
-4.205,0.0
-4.2,0.0
-4.195,0.0
-4.19,0.0
-4.185,0.0
-4.18,0.0
-4.175,0.0
-4.17,0.0
-4.165,0.0
-4.16,0.0
-4.155,0.0
-4.15,0.0
-4.145,0.0
-4.14,0.0
-4.135,0.0
-4.13,0.0
-4.125,0.0
-4.12,0.0
-4.115,0.0
-4.11,0.0
-4.105,0.0
-4.1,0.0
-4.095,0.0
-4.09,0.0
-4.085,0.0
-4.08,0.0
-4.075,0.0
-4.07,0.0
-4.065,0.0
-4.06,0.0
-4.055,0.0
-4.05,0.0
-4.045,0.0
-4.04,0.0
-4.035,0.0
-4.03,0.0
-4.025,0.0
-4.02,0.0
-4.015,0.0
-4.01,0.0
-4.005,0.0
-4.0,1.0
-3.995,1.0
-3.99,1.0
-3.985,1.0
-3.98,1.0
-3.975,1.0
-3.9699999999999998,1.0
-3.965,1.0
-3.96,1.0
-3.955,1.0
-3.95,1.0
-3.945,1.0
-3.94,1.0
-3.935,1.0
-3.9299999999999997,1.0
-3.925,1.0
-3.92,1.0
-3.915,1.0
-3.91,1.0
-3.9050000000000002,1.0
-3.9,1.0
-3.895,1.0
-3.89,1.0
-3.885,1.0
-3.88,1.0
-3.875,1.0
-3.87,1.0
-3.865,1.0
-3.86,1.0
-3.855,1.0
-3.85,1.0
-3.8449999999999998,1.0
-3.84,1.0
-3.835,1.0
-3.83,1.0
-3.825,1.0
-3.82,1.0
-3.815,1.0
-3.81,1.0
-3.8049999999999997,1.0
-3.8,1.0
-3.795,1.0
-3.79,1.0
-3.785,1.0
-3.7800000000000002,1.0
-3.775,1.0
-3.77,1.0
-3.765,1.0
-3.76,1.0
-3.755,1.0
-3.75,1.0
-3.745,1.0
-3.74,1.0
-3.735,1.0
-3.73,1.0
-3.725,1.0
-3.7199999999999998,1.0
-3.715,1.0
-3.71,1.0
-3.705,1.0
-3.7,1.0
-3.695,1.0
-3.69,1.0
-3.685,1.0
-3.6799999999999997,1.0
-3.675,1.0
-3.67,1.0
-3.665,1.0
-3.66,1.0
-3.6550000000000002,1.0
-3.65,1.0
-3.645,1.0
-3.64,1.0
-3.635,1.0
-3.63,1.0
-3.625,1.0
-3.62,1.0
-3.615,1.0
-3.61,1.0
-3.605,1.0
-3.6,1.0
-3.5949999999999998,1.0
-3.59,1.0
-3.585,1.0
-3.58,1.0
-3.575,1.0
-3.57,1.0
-3.565,1.0
-3.56,1.0
-3.5549999999999997,1.0
-3.55,1.0
-3.545,1.0
-3.54,1.0
-3.535,1.0
-3.5300000000000002,1.0
-3.525,1.0
-3.52,1.0
-3.515,1.0
-3.51,1.0
-3.505,1.0
