# Results collected after 2500 snapshots.
x,y
0,-12.175130826245038
1,-12.911748631238368
2,-13.800554193879918
3,-13.60907917125985
4,-14.101411453370588
5,-13.736960482744337
6,-12.318181007990148
7,-12.44095858173472
8,-13.523352988770526
9,-12.839669593134275
10,-13.69680053639921
11,-13.048732720847298
12,-15.315237681036209
13,-13.277608164986773
14,-12.725659007542276
15,-13.651895678798525
16,-13.017508847302338
17,-14.20823732268262
18,-12.699843315962482
19,-13.730023937230385
20,-12.30447755748662
21,-13.452507775952995
22,-13.697311461838183
23,-13.580962344477086
24,-13.59439190176036
25,-13.446250755377463
26,-14.131025945730798
27,-13.513899583757095
28,-12.97593556006936
29,-12.960440929298983
30,-15.389674149840303
31,-13.049175202516096
32,-13.47357903188086
33,-14.240899180027867
34,-14.718611330426697
35,-13.724904550077028
36,-13.613324220847474
37,-13.907246899126264
38,-13.250754107685253
39,-13.339968739759357
40,-14.201034107283121
41,-13.303999151622989
42,-13.574317316797334
43,-13.881704643682554
44,-13.42882914293682
45,-13.64984027226032
46,-13.065963925447662
47,-14.004300683513009
48,-12.671536504342967
49,-13.349129056741589
50,-13.166499309298644
51,-12.552531309601278
52,-12.960575150030621
53,-13.246035519629572
54,-12.802221267445148
55,-12.57788695232776
56,-13.932549634966122
57,-15.299132049077386
58,-13.723720176314288
59,-14.00211457509468
60,-13.97157663779383
61,-12.024261165323338
62,-13.691651207018822
63,-13.090333745560969
64,-13.365662775064877
65,-13.764533390073026
66,-12.502515051927887
67,-13.184404553184407
68,-12.873606085873888
69,-13.224304436120306
70,-12.710790387483286
71,-13.741738477785077
72,-12.362139706814759
73,-12.820054589236321
74,-13.492272318046304
75,-12.730504015650581
76,-12.880539772357281
77,-12.498084062930431
78,-13.745989702381294
79,-14.311161292897381
80,-13.515357325097227
81,-13.599295588520846
82,-13.36063975813849
83,-12.685457393469022
84,-11.39771254976172
85,-14.520069241364581
86,-13.706258427039742
87,-14.071748162131442
88,-13.994201698821598
89,-14.508702090433403
90,-12.027717721596801
91,-13.989665262282898
92,-13.237566264013878
93,-15.521097548617277
94,-12.174614304875007
95,-13.523934077611955
96,-12.08010700066987
97,-13.482699582237416
98,-12.552845948547485
99,-13.605012106579537
100,-13.302790859218774
101,-14.955691449819142
102,-13.798903701254275
103,-13.507747729012763
104,-12.7182969940433
105,-12.175320417213726
106,-12.692166206669498
107,-13.540758812772069
108,-13.516819813307293
109,-14.235592542046717
110,-12.270959686104305
111,-13.698179713210664
112,-14.36234770458617
113,-12.4406806501716
114,-13.563497354636553
115,-13.386651001361273
116,-13.23045152687584
117,-13.452068949768844
118,-12.859827043114677
119,-12.268736465050281
120,-14.155841596227077
121,-12.965113798339615
122,-12.557979252307092
123,-13.352707027275443
124,-13.97785304445884
125,-14.33195337177618
126,-13.252820495322865
127,-13.263629950620853
128,-13.23623900535003
129,-13.22728716428091
130,-14.522958231076473
131,-13.609624133103708
132,-13.375267374993783
133,-13.045841819500623
134,-14.039710999906902
135,-13.190403989519027
136,-12.403220298585197
137,-15.376482639839082
138,-13.149194435556893
139,-13.037713264404417
140,-12.930043103179628
141,-13.292992355487286
142,-12.74890648380935
143,-12.94701082953435
144,-12.657771676355921
145,-13.420238065055514
146,-12.452022552148364
147,-12.39013647564775
148,-13.347834597637899
149,-12.844413049257184
150,-12.848611824860356
151,-13.487920626724872
152,-13.166057823056875
153,-12.141495774784985
154,-13.238453657919266
155,-12.251407659401053
156,-13.319771111633685
157,-13.397149108910938
158,-12.967318957401687
159,-12.102022878208913
160,-12.578279589640857
161,-14.739138075115264
162,-13.877469596165554
163,-11.816365578235477
164,-12.889498760612412
165,-12.080583796322998
166,-13.876204042615129
167,-14.373489263829867
168,-13.194638998100345
169,-13.159449361556142
170,-12.714825521338355
171,-12.585001440304382
172,-12.917178370622054
173,-13.634327084214135
174,-12.67778727577523
175,-13.925231214565102
176,-12.656195304558764
177,-13.428606780147646
178,-13.0623517860612
179,-13.818455620994058
180,-13.778759760060055
181,-12.633684879949215
182,-13.00035483233873
183,-13.785790635370688
184,-13.321842201343415
185,-13.034936013712837
186,-12.811755280135827
187,-13.025256305916628
188,-12.60208674623594
189,-14.090962240238454
190,-13.34576897614167
191,-13.621768122801512
192,-13.902223120932533
193,-13.327807219560043
194,-12.446737365456329
195,-14.162314400763634
196,-14.922259945018098
197,-12.51555062101923
198,-13.918255235864791
199,-14.031366202098354
200,-13.432398492606282
201,-13.769749089663861
202,-12.787283292238115
203,-12.703326509865278
204,-13.448300909767568
205,-13.603820966990355
206,-14.670620483404193
207,-13.115476570714037
208,-13.726785291835483
209,-12.307990979674585
210,-13.82970008706289
211,-12.401753372341389
212,-12.41245228627281
213,-13.137177830437665
214,-13.555927849102517
215,-14.293154041938294
216,-12.368630924431258
217,-14.175978417768633
218,-13.392646897367314
219,-14.477720015036752
220,-13.411339846961582
221,-14.599706013596148
222,-13.30455621779511
223,-12.720693984907811
224,-13.45938669715025
225,-14.20085935981922
226,-13.036001170617965
227,-13.259888016929295
228,-12.44795826219476
229,-14.459750063470068
230,-13.101219584784715
231,-13.431733940313563
232,-13.554447705791233
233,-13.571791632068198
234,-13.975124790754535
235,-14.189644600525213
236,-14.113069987886377
237,-13.784083256255258
238,-15.303473554664237
239,-13.485449255692188
240,-15.72645876494613
241,-13.185378371741876
242,-12.700765169071076
243,-12.675231885598407
244,-13.549661666250344
245,-13.76963653636831
246,-13.37983500899287
247,-14.69556762284914
248,-12.834088403781905
249,-14.352262565807763
250,-13.769651963429098
251,-12.488168783749288
252,-14.46837604025498
253,-15.017742939280055
254,-13.075692376742467
255,-14.598480357331056
256,-13.77008629225746
257,-13.629479524663864
258,-13.223647170043165
259,-14.199051662815407
260,-12.207942462211605
261,-13.766976441539938
262,-12.409267629910815
263,-13.867506233731376
264,-12.885397105202031
265,-12.946257138706699
266,-13.630521406291038
267,-12.435702844871884
268,-13.351728420891362
269,-13.627548924946609
270,-14.397378714255368
271,-13.755891070673442
272,-11.48528198132179
273,-13.226736193251682
274,-13.251422201281088
275,-14.826384463664255
276,-12.158118039652678
277,-12.747913618409498
278,-13.137432963827166
279,-15.027987852297144
280,-13.043598253133936
281,-13.331899778375487
282,-13.9154037931863
283,-13.345077542437537
284,-15.393880134643922
285,-13.392344119613298
286,-15.209772238382186
287,-12.681152800377987
288,-14.499313107221823
289,-12.832100846312116
290,-12.586803437026191
291,-13.002656741508105
292,-13.180849369645244
293,-14.134080491113338
294,-12.422270519134031
295,-14.271045120473758
296,-13.071077683439967
297,-13.75472156593824
298,-12.945210365343073
299,-12.767299024227881
300,-14.409569235044842
301,-12.255069688622712
302,-16.712228392296765
303,-11.883800787943414
304,-14.29595069353877
305,-14.713761910232677
306,-13.035015246210946
307,-13.058572572473551
308,-13.257543492767638
309,-12.798646216608347
310,-12.03809179392917
311,-13.921396973413579
312,-13.675103607494592
313,-13.439281660560084
314,-13.452807683601023
315,-13.02286918434541
316,-13.436424919129081
317,-13.41229785501615
318,-14.156232583070178
319,-14.417589767384982
320,-12.716953178853117
321,-14.693057864087294
322,-13.888926618730778
323,-12.814870479036983
324,-14.3732460775026
325,-12.669836217577
326,-12.70247177007002
327,-13.171274127048633
328,-12.720582631382342
