# Results collected after 2500 snapshots.
x,y
-100.25866447738805,0.0004
-100.22706254159469,0.0004
-100.19546060580133,0.0004
-100.16385867000797,0.0004
-100.13225673421461,0.0004
-100.10065479842125,0.0004
-100.06905286262788,0.0004
-100.03745092683452,0.0004
-100.00584899104116,0.0004
-99.9742470552478,0.0004
-99.94264511945444,0.0004
-99.91104318366108,0.0004
-99.87944124786772,0.0004
-99.84783931207436,0.0008
-99.816237376281,0.0008
-99.78463544048763,0.0008
-99.75303350469427,0.0008
-99.72143156890091,0.0008
-99.68982963310755,0.0008
-99.65822769731419,0.0008
-99.62662576152083,0.0008
-99.59502382572747,0.0008
-99.5634218899341,0.0008
-99.53181995414074,0.0012
-99.50021801834738,0.0012
-99.46861608255402,0.002
-99.43701414676066,0.002
-99.4054122109673,0.002
-99.37381027517394,0.0028
-99.34220833938058,0.0032
-99.31060640358722,0.0036
-99.27900446779385,0.004
-99.24740253200049,0.004
-99.21580059620713,0.0048
-99.18419866041377,0.0056
-99.15259672462041,0.0064
-99.12099478882705,0.0072
-99.08939285303369,0.0072
-99.05779091724033,0.0072
-99.02618898144696,0.0076
-98.9945870456536,0.0076
-98.96298510986024,0.0084
-98.93138317406688,0.0092
-98.89978123827352,0.0096
-98.86817930248016,0.0104
-98.8365773666868,0.0116
-98.80497543089344,0.0116
-98.77337349510007,0.0124
-98.74177155930671,0.014
-98.71016962351335,0.0152
-98.67856768771999,0.0164
-98.64696575192663,0.0184
-98.61536381613327,0.02
-98.5837618803399,0.0216
-98.55215994454655,0.0232
-98.52055800875318,0.0244
-98.48895607295982,0.0252
-98.45735413716646,0.0268
-98.4257522013731,0.0284
-98.39415026557974,0.0296
-98.36254832978638,0.0324
-98.33094639399302,0.0336
-98.29934445819966,0.0348
-98.2677425224063,0.036
-98.23614058661293,0.0384
-98.20453865081957,0.0404
-98.17293671502621,0.0412
-98.14133477923285,0.0448
-98.10973284343949,0.046
-98.07813090764613,0.05
-98.04652897185277,0.054
-98.0149270360594,0.0572
-97.98332510026604,0.0604
-97.95172316447268,0.0652
-97.92012122867932,0.0704
-97.88851929288596,0.0744
-97.8569173570926,0.0788
-97.82531542129924,0.0848
-97.79371348550588,0.0884
-97.76211154971251,0.0964
-97.73050961391915,0.102
-97.69890767812579,0.108
-97.66730574233243,0.1132
-97.63570380653907,0.118
-97.60410187074571,0.1252
-97.57249993495235,0.1312
-97.54089799915899,0.136
-97.50929606336562,0.1448
-97.47769412757226,0.1508
-97.4460921917789,0.1564
-97.41449025598554,0.1684
-97.38288832019218,0.1784
-97.35128638439882,0.1848
-97.31968444860546,0.192
-97.2880825128121,0.1988
-97.25648057701873,0.2092
-97.22487864122537,0.2208
-97.19327670543201,0.2332
-97.16167476963865,0.2436
-97.13007283384529,0.2528
-97.09847089805191,0.2672
-97.06686896225855,0.28
-97.03526702646519,0.2904
-97.00366509067183,0.3032
-96.97206315487847,0.3148
-96.94046121908511,0.3308
-96.90885928329175,0.3424
-96.87725734749839,0.3568
-96.84565541170502,0.3712
-96.81405347591166,0.3888
-96.7824515401183,0.406
-96.75084960432494,0.416
-96.71924766853158,0.4308
-96.68764573273822,0.4452
-96.65604379694486,0.4588
-96.6244418611515,0.4724
-96.59283992535813,0.4888
-96.56123798956477,0.4996
-96.52963605377141,0.516
-96.49803411797805,0.528
-96.46643218218469,0.5396
-96.43483024639133,0.5524
-96.40322831059797,0.5668
-96.3716263748046,0.5808
-96.34002443901124,0.5964
-96.30842250321788,0.6108
-96.27682056742452,0.626
-96.24521863163116,0.6384
-96.2136166958378,0.6528
-96.18201476004444,0.6668
-96.15041282425108,0.6788
-96.11881088845772,0.6908
-96.08720895266435,0.7036
-96.055607016871,0.7192
-96.02400508107763,0.728
-95.99240314528427,0.7384
-95.96080120949091,0.7528
-95.92919927369755,0.7656
-95.89759733790419,0.7808
-95.86599540211083,0.7932
-95.83439346631747,0.8016
-95.8027915305241,0.8132
-95.77118959473074,0.8244
-95.73958765893738,0.8372
-95.70798572314402,0.846
-95.67638378735066,0.8564
-95.6447818515573,0.8656
-95.61317991576394,0.8788
-95.58157797997058,0.8868
-95.54997604417721,0.8944
-95.51837410838385,0.9012
-95.48677217259049,0.9084
-95.45517023679713,0.9164
-95.42356830100377,0.924
-95.39196636521041,0.9268
-95.36036442941705,0.934
-95.32876249362369,0.9388
-95.29716055783032,0.9432
-95.26555862203696,0.9488
-95.2339566862436,0.9548
-95.20235475045024,0.9576
-95.17075281465688,0.962
-95.13915087886352,0.9656
-95.10754894307016,0.9688
-95.0759470072768,0.972
-95.04434507148343,0.9752
-95.01274313569007,0.9764
-94.98114119989671,0.9768
-94.94953926410335,0.9776
-94.91793732830999,0.9796
-94.88633539251663,0.9816
-94.85473345672327,0.984
-94.8231315209299,0.9848
-94.79152958513654,0.986
-94.75992764934318,0.988
-94.72832571354982,0.9892
-94.69672377775646,0.9908
-94.6651218419631,0.992
-94.63351990616974,0.992
-94.60191797037638,0.992
-94.57031603458302,0.9928
-94.53871409878965,0.994
-94.5071121629963,0.9944
-94.47551022720293,0.9952
-94.44390829140957,0.9964
-94.41230635561621,0.9968
-94.38070441982285,0.9976
-94.34910248402949,0.998
-94.31750054823613,0.998
-94.28589861244276,0.9984
-94.2542966766494,0.9984
-94.22269474085604,0.9992
-94.19109280506268,0.9992
-94.15949086926932,0.9996
-94.12788893347596,0.9996
-94.0962869976826,0.9996
-94.06468506188924,0.9996
-94.03308312609587,0.9996
-94.00148119030251,0.9996
-93.96987925450915,1.0
