scenario,i_dbm,imt_gain,fs_gain
EP01-Site01,-257.9322804556522,-33.99728681597084,-11.634993639681312
EP01-Site02,-172.19885020009423,4.036143439587093,-11.634993639681312
EP01-Site03,-218.45019561563143,-41.11520197595013,-11.634993639681312
EP01-Site04,-170.32921588570946,-25.49422224602815,-11.634993639681312
EP01-Site05,-180.56497337858738,-43.029979738906064,-11.634993639681312
EP01-Site06,-209.10161625015428,-24.06662261047296,-11.634993639681312
EP01-Site07,-218.55073713924375,-59.11574349956242,-11.634993639681312
EP01-Site08,-204.23086183825077,-17.295868198569455,-11.634993639681312
EP01-Site09,-164.59868348384302,-17.9636898441617,-11.634993639681312
EP01-Site10,-169.42119523880953,-38.98620159912821,-11.634993639681312
EP01-Site11,-178.6372412920021,-34.70224765232078,-11.634993639681312
EP01-Site12,-223.3813856400531,-44.44639200037177,-11.634993639681312
EP01-Site13,-223.3233998482894,-30.588406208608077,-11.634993639681312
EP01-Site14,-195.7487643535561,-6.113770713874785,-11.634993639681312
EP01-Site15,-152.9406246978073,-18.00563105812596,-11.634993639681312
EP01-Site16,-156.01045180342769,-19.675458163746377,-11.634993639681312
EP01-Site17,-192.13847047153658,-15.70347683185525,-11.634993639681312
EP01-Site18,-215.96889184106186,-35.23389820138057,-11.634993639681312
EP01-Site19,-178.6817896448282,-4.3467960051469055,-11.634993639681312
EP02-Site01,-183.55432826426912,-20.21933462458781,-11.634993639681312
EP02-Site02,-208.10782896102455,-17.77283532134326,-11.634993639681312
EP02-Site03,-205.02401345345982,-10.789019813778522,-11.634993639681312
EP02-Site04,-195.7617779744157,-38.32678433473438,-11.634993639681312
EP02-Site05,-157.50648947140314,-3.671495831721828,-11.634993639681312
EP02-Site06,-202.51082983614486,-12.375836196463545,-11.634993639681312
EP02-Site07,-211.16693515681476,-25.93194151713346,-11.634993639681312
EP02-Site08,-236.0346064342146,-39.79961279453329,-11.634993639681312
EP02-Site09,-182.9804107237061,-22.445417084024783,-11.634993639681312
EP02-Site10,-188.31446821161376,-33.47947457193247,-11.634993639681312
EP02-Site11,-170.5068359073944,-14.371842267713086,-11.634993639681312
EP02-Site12,-221.63876876251857,-25.60377512283725,-11.634993639681312
EP02-Site13,-229.53337710777362,-29.698383468092324,-11.634993639681312
EP02-Site14,-185.2635688420921,-4.5285752024107815,-11.634993639681312
EP02-Site15,-177.3161613707332,-23.281167731051884,-11.634993639681312
EP02-Site16,-187.05512802454064,-27.620134384859316,-11.634993639681312
EP02-Site17,-204.4700313612662,-8.535037721584871,-11.634993639681312
EP02-Site18,-225.9885783882289,-27.053584748547557,-11.634993639681312
EP02-Site19,-184.27497910039625,-5.639985460714951,-11.634993639681312
EP03-Site01,-259.23140696410957,-53.39641332442825,-11.634993639681312
EP03-Site02,-185.13656691253976,-25.601573272858445,-11.634993639681312
EP03-Site03,-202.25648437244246,-17.821490732761127,-11.634993639681312
EP03-Site04,-189.05867661790828,-25.023682978226958,-11.634993639681312
EP03-Site05,-172.6841148101134,-14.649121170432085,-11.634993639681312
EP03-Site06,-198.02908777889203,-17.494094139210713,-11.634993639681312
EP03-Site07,-188.20025943548018,-29.865265795798884,-11.634993639681312
EP03-Site08,-184.87659330949424,-1.7415996698129126,-11.634993639681312
EP03-Site09,-182.57230320656262,-18.037309566881298,-11.634993639681312
EP03-Site10,-184.59302888236095,-19.35803524267964,-11.634993639681312
EP03-Site11,-173.6086592783506,-23.77366563866928,-11.634993639681312
EP03-Site12,-215.70857607870678,-34.07358243902548,-11.634993639681312
EP03-Site13,-220.63855258507223,-32.80355894539093,-11.634993639681312
EP03-Site14,-222.42281007085165,-21.687816431170347,-11.634993639681312
EP03-Site15,-183.879951596723,-30.04495795704171,-11.634993639681312
EP03-Site16,-182.16511654105463,-21.930122901373334,-11.634993639681312
EP03-Site17,-191.28110899615336,-5.14611535647205,-11.634993639681312
EP03-Site18,-167.65492858433146,-2.9199349446501603,-11.634993639681312
EP03-Site19,-188.1209560269211,-25.485962387239795,-11.634993639681312
EP04-Site01,-281.72720366545934,-41.292210025778026,-11.634993639681312
EP04-Site02,-191.15896473069552,-27.52397109101421,-11.634993639681312
EP04-Site03,-241.7852322330267,-41.95023859334541,-11.634993639681312
EP04-Site04,-211.10128234092116,-24.966288701239836,-11.634993639681312
EP04-Site05,-185.58690048265123,-33.55190684296993,-11.634993639681312
EP04-Site06,-224.57782821961183,-27.442834579930533,-11.634993639681312
EP04-Site07,-214.52859965756429,-24.693606017882974,-11.634993639681312
EP04-Site08,-218.8135296033679,-12.77853596368659,-11.634993639681312
EP04-Site09,-179.33048915544327,-7.99549551576199,-11.634993639681312
EP04-Site10,-223.11552642369912,-41.38053278401783,-11.634993639681312
EP04-Site11,-197.05456897796762,-39.81957533828631,-11.634993639681312
EP04-Site12,-247.15695944744957,-51.42196580776826,-11.634993639681312
EP04-Site13,-247.18296803013942,-32.94797439045811,-11.634993639681312
EP04-Site14,-217.09604928786706,-5.361055648185738,-11.634993639681312
EP04-Site15,-174.69986387240493,-18.764870232723613,-11.634993639681312
EP04-Site16,-196.22843291919855,-44.593439279517256,-11.634993639681312
EP04-Site17,-219.72641923669525,-26.191425597013932,-11.634993639681312
EP04-Site18,-233.96891497883658,-34.73392133915527,-11.634993639681312
EP04-Site19,-201.51092819139728,3.9240654482840345,-11.634993639681312
EP05-Site01,-217.16484075341762,-3.2298471137362945,-11.634993639681312
EP05-Site02,-198.3757385322274,-34.74074489254606,-11.634993639681312
EP05-Site03,-283.06637326144346,-61.93137962176212,-11.634993639681312
EP05-Site04,-198.49396886938757,-12.658975229706272,-11.634993639681312
EP05-Site05,-194.66084371741908,-33.92585007773777,-11.634993639681312
EP05-Site06,-225.97906496870917,-27.144071329027852,-11.634993639681312
EP05-Site07,-217.90600765950302,-21.771014019821713,-11.634993639681312
EP05-Site08,-209.6747585139257,-16.539764874244394,-11.634993639681312
EP05-Site09,-220.58567819160066,-43.35068455191934,-11.634993639681312
EP05-Site10,-216.80057727496094,-6.465583635279634,-11.634993639681312
EP05-Site11,-214.92022648272615,-51.485232843044834,-11.634993639681312
EP05-Site12,-228.9042893214129,-17.86929568173158,-11.634993639681312
EP05-Site13,-250.03378493448298,-25.198791294801683,-11.634993639681312
EP05-Site14,-231.03362222571465,-20.49862858603333,-11.634993639681312
EP05-Site15,-209.75373696543625,-50.41874332575493,-11.634993639681312
EP05-Site16,-233.34530728217882,-38.4103136424975,-11.634993639681312
EP05-Site17,-236.64548740997768,-13.310493770296375,-11.634993639681312
EP05-Site18,-232.96963664662138,-29.834643006940055,-11.634993639681312
EP05-Site19,-196.30814110688283,-0.7731474672015004,-11.634993639681312
EP06-Site01,-292.3367023081638,-53.20170866848251,-11.634993639681312
EP06-Site02,-183.21922016773084,-28.28422652804953,-11.634993639681312
EP06-Site03,-219.78292357133856,-22.247929931657243,-11.634993639681312
EP06-Site04,-187.44861114230758,-25.613617502626276,-11.634993639681312
EP06-Site05,-201.58458514563418,-36.84959150595288,-11.634993639681312
EP06-Site06,-191.36224940037837,-19.427255760697044,-11.634993639681312
