link,azimuth_bs_imt,elevation_bs_imt,azimuth_ep_fs,elevation_ep_fs,path_loss_db
EP01-Cell0001,-71.1,-0.5,0,0.5,235.7
EP01-Cell0002,-191.1,-0.5,-120,0.5,235.7
EP01-Cell0003,-311.1,-0.5,-240,0.5,235.7
EP01-Cell0004,-76.3,-0.5,-5.2,0.5,239.2
EP01-Cell0005,-196.3,-0.5,-125.2,0.5,239.2
EP01-Cell0006,-316.3,-0.5,-245.2,0.5,239.2
EP01-Cell0007,-64.9,-0.3,6.2,0.3,243
EP01-Cell0008,-184.9,-0.3,-113.8,0.3,243
EP01-Cell0009,-304.9,-0.3,-233.8,0.3,243
EP01-Cell0010,-78.7,-0.8,-7.6,0.8,218
EP01-Cell0011,-198.7,-0.8,-127.6,0.8,218
EP01-Cell0012,-318.7,-0.8,-247.6,0.8,218
EP01-Cell0013,-73,-0.8,-1.9,0.8,198.7
EP01-Cell0014,-193,-0.8,-121.9,0.8,198.7
EP01-Cell0015,-313,-0.8,-241.9,0.8,198.7
EP01-Cell0016,-69.7,-0.3,1.4,0.3,239.3
EP01-Cell0017,-189.7,-0.3,-118.6,0.3,239.3
EP01-Cell0018,-309.7,-0.3,-238.6,0.3,239.3
EP01-Cell0019,-64.1,-0.4,7,0.4,236.9
EP01-Cell0020,-184.1,-0.4,-113,0.4,236.9
EP01-Cell0021,-304.1,-0.4,-233,0.4,236.9
EP01-Cell0022,-80.7,-0.4,-9.6,0.4,241.6
EP01-Cell0023,-200.7,-0.4,-129.6,0.4,241.6
EP01-Cell0024,-320.7,-0.4,-249.6,0.4,241.6
EP01-Cell0025,-86.7,-1,-15.6,1,226.1
EP01-Cell0026,-206.7,-1,-135.6,1,226.1
EP01-Cell0027,-326.7,-1,-255.6,1,226.1
EP01-Cell0028,-75.5,-0.3,-4.4,0.3,197.5
EP01-Cell0029,-195.5,-0.3,-124.4,0.3,197.5
EP01-Cell0030,-315.5,-0.3,-244.4,0.3,197.5
EP01-Cell0031,-57.5,-0.6,13.6,0.6,233.2
