station_type,id,x_m,y_m,latitude,longitude
IMT,Cell0001,0.000,0.000,-22.900139,-47.083472
IMT,Cell0002,0.000,0.000,-22.900139,-47.083472
IMT,Cell0003,0.000,0.000,-22.900139,-47.083472
IMT,Cell0004,599.585,-1204.366,-22.910958,-47.077625
IMT,Cell0005,599.585,-1204.366,-22.910958,-47.077625
IMT,Cell0006,599.585,-1204.366,-22.910958,-47.077625
IMT,Cell0007,-599.585,-650.885,-22.905986,-47.089319
IMT,Cell0008,-599.585,-650.885,-22.905986,-47.089319
IMT,Cell0009,-599.585,-650.885,-22.905986,-47.089319
IMT,Cell0010,307.022,333.402,-22.897144,-47.080478
IMT,Cell0011,307.022,333.402,-22.897144,-47.080478
IMT,Cell0012,307.022,333.402,-22.897144,-47.080478
IMT,Cell0013,-292.563,1537.767,-22.886325,-47.086325
IMT,Cell0014,-292.563,1537.767,-22.886325,-47.086325
IMT,Cell0015,-292.563,1537.767,-22.886325,-47.086325
IMT,Cell0016,292.563,-1537.767,-22.913953,-47.080619
IMT,Cell0017,292.563,-1537.767,-22.913953,-47.080619
IMT,Cell0018,292.563,-1537.767,-22.913953,-47.080619
IMT,Cell0019,-307.125,-333.291,-22.903133,-47.086467
IMT,Cell0020,-307.125,-333.291,-22.903133,-47.086467
IMT,Cell0021,-307.125,-333.291,-22.903133,-47.086467
IMT,Cell0022,1199.170,-553.481,-22.905111,-47.071778
IMT,Cell0023,1199.170,-553.481,-22.905111,-47.071778
IMT,Cell0024,1199.170,-553.481,-22.905111,-47.071778
IMT,Cell0025,614.147,666.692,-22.89415,-47.077483
IMT,Cell0026,614.147,666.692,-22.89415,-47.077483
IMT,Cell0027,614.147,666.692,-22.89415,-47.077483
IMT,Cell0028,-584.819,1220.507,-22.889175,-47.089175
IMT,Cell0029,-584.819,1220.507,-22.889175,-47.089175
IMT,Cell0030,-584.819,1220.507,-22.889175,-47.089175
IMT,Cell0031,-1199.273,-1301.770,-22.911833,-47.095167
IMT,Cell0032,-1199.273,-1301.770,-22.911833,-47.095167
IMT,Cell0033,-1199.273,-1301.770,-22.911833,-47.095167
IMT,Cell0034,-614.454,-667.026,-22.906131,-47.089464
IMT,Cell0035,-614.454,-667.026,-22.906131,-47.089464
IMT,Cell0036,-614.454,-667.026,-22.906131,-47.089464
IMT,Cell0037,584.819,-1220.507,-22.911103,-47.077769
IMT,Cell0038,584.819,-1220.507,-22.911103,-47.077769
IMT,Cell0039,584.819,-1220.507,-22.911103,-47.077769
IMT,Cell0040,906.607,984.287,-22.891297,-47.074631
IMT,Cell0041,906.607,984.287,-22.891297,-47.074631
IMT,Cell0042,906.607,984.287,-22.891297,-47.074631
IMT,Cell0043,14.767,16.141,-22.899994,-47.083328
IMT,Cell0044,14.767,16.141,-22.899994,-47.083328
IMT,Cell0045,14.767,16.141,-22.899994,-47.083328
IMT,Cell0046,-891.841,887.216,-22.892169,-47.092169
IMT,Cell0047,-891.841,887.216,-22.892169,-47.092169
IMT,Cell0048,-891.841,887.216,-22.892169,-47.092169
IMT,Cell0049,-906.710,-984.287,-22.908981,-47.092314
IMT,Cell0050,-906.710,-984.287,-22.908981,-47.092314
IMT,Cell0051,-906.710,-984.287,-22.908981,-47.092314
IMT,Cell0052,-14.869,-16.030,-22.900283,-47.083617
IMT,Cell0053,-14.869,-16.030,-22.900283,-47.083617
IMT,Cell0054,-14.869,-16.030,-22.900283,-47.083617
IMT,Cell0055,891.841,-887.105,-22.908108,-47.074775
IMT,Cell0056,891.841,-887.105,-22.908108,-47.074775
IMT,Cell0057,891.841,-887.105,-22.908108,-47.074775
FS,EP01,-2950.755,3184.071,-22.871536,-47.112247
FS,EP02,-4274.519,2701.947,-22.875867,-47.125156
FS,EP03,-4580.105,514.519,-22.895517,-47.128136
FS,EP04,-1152.204,3549.867,-22.86825,-47.094708
FS,EP05,1144.821,3549.867,-22.86825,-47.072308
FS,EP06,2915.172,3671.428,-22.867158,-47.055044
FS,EP07,4144.490,2928.371,-22.873833,-47.043056
FS,EP08,5090.475,2603.986,-22.876747,-47.033831
FS,EP09,4928.145,1496.023,-22.8867,-47.035414
FS,EP10,5073.453,-38.294,-22.900483,-47.033997
FS,EP11,5108.728,-1554.465,-22.914103,-47.033653
FS,EP12,4558.160,-1913.471,-22.917328,-47.039022
FS,EP13,4689.419,-3413.501,-22.930803,-47.037742
FS,EP14,2322.662,-3426.191,-22.930917,-47.060822
FS,EP15,1988.465,-3496.990,-22.931553,-47.064081
FS,EP16,504.423,-3514.579,-22.931711,-47.078553
FS,EP17,-836.876,-3657.402,-22.932994,-47.091633
FS,EP18,-3241.062,-3422.740,-22.930886,-47.115078
FS,EP19,-4371.937,-2453.370,-22.922178,-47.126106
FS,EP20,-3654.322,-1346.966,-22.912239,-47.119108
