fs_id,snapshot,inr_db,interf_dbm
EP01,1,-30.41929856365047,-125.89669368235005
EP01,2,-38.6576530424569,-134.13504816115648
EP01,3,-49.33514755075802,-144.8125426694576
EP01,4,-33.45750169172419,-128.93489681042377
EP01,5,-42.936715325508914,-138.4141104442085
EP01,6,-49.310395598856616,-144.7877907175562
EP01,7,-62.25484799738658,-157.73224311608615
EP01,8,-6.576810997802767,-102.05420611650234
EP01,9,-25.607911382089256,-121.08530650078883
EP01,10,-26.33213066880745,-121.80952578750703
EP01,11,-30.994734345294717,-126.47212946399429
EP01,12,-32.791423299224135,-128.2688184179237
EP01,13,-16.108811658674142,-111.58620677737372
EP01,14,-49.67370556576415,-145.15110068446373
EP01,15,-28.73182425146574,-124.20921937016531
EP01,16,-47.93238083123401,-143.4097759499336
EP01,17,-18.191676170363053,-113.66907128906263
EP01,18,-44.52027962910785,-139.99767474780742
EP01,19,-21.394425707610168,-116.87182082630974
EP01,20,-41.32585207371483,-136.8032471924144
EP01,21,-28.54376126986621,-124.02115638856579
EP01,22,-19.324689740196902,-114.80208485889648
EP01,23,-30.341907458713308,-125.81930257741288
EP01,24,-37.13325487865015,-132.61064999734973
EP01,25,-22.52276697290958,-118.00016209160916
EP01,26,-38.30948735080267,-133.78688246950225
EP01,27,-23.895622684940108,-119.37301780363968
EP01,28,-15.86360015496399,-111.34099527366357
EP01,29,-25.724679102529763,-121.20207422122934
EP01,30,-16.20131413877054,-111.67870925747012
EP01,31,-46.684816338095544,-142.16221145679512
EP01,32,-22.494216832577337,-117.97161195127691
EP01,33,-30.894136185378898,-126.37153130407847
EP01,34,-33.92651380883282,-129.4039089275324
EP01,35,-50.50955914124614,-145.98695425994572
EP01,36,-31.74105331111545,-127.21844842981503
EP01,37,-53.08381763857733,-148.5612127572769
EP01,38,-25.121652263644393,-120.59904738234397
EP01,39,-37.28299465512694,-132.76038977382652
EP01,40,-14.370180282948269,-109.84757540164784
EP01,41,-33.6820276468587,-129.15942276555828
EP01,42,-52.06403355934444,-147.541428678044
EP01,43,-5.759090624067056,-101.23648574276663
EP01,44,-41.4413013058095,-136.91869642450908
EP01,45,-20.124793873671635,-115.60218899237121
EP01,46,-27.95372287437779,-123.43111799307736
EP01,47,-29.221792296996284,-124.69918741569586
EP01,48,-66.45071077733473,-161.9281058960343
EP01,49,-39.28426241081348,-134.76165752951306
EP01,50,-61.235828393286084,-156.71322351198566
EP01,51,-24.060228007069284,-119.53762312576886
EP01,52,-48.63504468647017,-144.11243980516974
EP01,53,-18.960702693537186,-114.43809781223676
EP01,54,-19.45654514962402,-114.9339402683236
EP01,55,-16.65304118958379,-112.13043630828336
EP01,56,-27.826591581036183,-123.30398669973576
EP01,57,-13.263929250120626,-108.7413243688202
EP01,58,-57.22373753472081,-152.7011326534204
EP01,59,-28.455251651411885,-123.93264677011146
EP01,60,-52.72788427434443,-148.205279393044
EP01,61,-25.45279116431803,-120.9301862830176
EP01,62,-54.34028227523311,-149.81767739393268
EP01,63,-40.72974472225354,-136.20713984095312
EP01,64,-41.20825970100941,-136.685654819709
EP01,65,-26.6401683759308,-122.11756349463037
EP01,66,-56.26519256788316,-151.74258768658274
EP01,67,-35.707049885688036,-131.1844450043876
EP01,68,-31.307550699317886,-126.78494581801746
EP01,69,-21.556209576269694,-117.03360469496927
EP01,70,-13.351850289675497,-108.82924540837507
EP01,71,-47.445104891907135,-142.9225000106067
EP01,72,-3.45347359772461,-98.93086871642419
EP01,73,-20.115950240859704,-115.59334535955928
EP01,74,-56.19091510067983,-151.6683102193794
EP01,75,-25.44466114591542,-120.922056264615
EP01,76,-21.987213107702516,-117.46460822640209
EP01,77,-25.41229012096153,-120.8896852396611
EP01,78,-49.05927580473269,-144.53667092343227
EP01,79,-45.98809611215671,-141.4654912308563
EP01,80,-26.36635407904143,-121.843749197741
EP01,81,-33.61050829411366,-129.08790341281323
EP01,82,-7.423357656646758,-102.90075277534633
EP01,83,-53.32056466983363,-148.7979597885332
EP01,84,-24.539029012221064,-120.01642413092064
EP01,85,-43.60934725049603,-139.0867423691956
EP01,86,-34.272288074123566,-129.74968319282314
EP01,87,-24.369737428165465,-119.84713254686504
EP01,88,-61.827829708269434,-157.305224826969
EP01,89,-28.297195824175304,-123.77459094287488
EP01,90,-47.07605734575216,-142.55345246445174
EP01,91,-41.44906421259594,-136.92645933129552
EP01,92,-62.295045290203745,-157.77244040890332
EP01,93,-32.6539448636527,-128.13133998235227
EP01,94,-12.736407157349731,-108.21380227604931
EP01,95,-50.96924493511176,-146.44664005381134
EP01,96,-28.00527381236546,-123.48266893106504
EP01,97,-50.3834690886209,-145.86086420732047
EP01,98,-44.95282761168323,-140.4302227303828
EP01,99,-48.86156136463046,-144.33895648333004
EP01,100,-33.00156684461987,-128.47896196331945
EP02,1,-49.81888811678135,-145.29628323548093
EP02,2,-44.581441399476574,-140.05883651817615
EP02,3,-58.71551828585373,-154.1929134045533
EP02,4,-4.819859611271795,-100.29725472997137
EP02,5,-50.88806020705081,-146.3654553257504
EP02,6,-48.179319622975385,-143.65671474167496
EP02,7,-61.335083777173,-156.81247889587257
EP02,8,-13.329912492969555,-108.80730761166913
EP02,9,-17.52433329749867,-113.00172841619825
EP02,10,-35.0512245083014,-130.52861962700098
EP02,11,-15.816727731717677,-111.29412285041725
EP02,12,-14.294913881420896,-109.77230900012047
EP02,13,-11.809963166999182,-107.28735828569876
EP02,14,-43.013494264451936,-138.4908893831515
EP02,15,-30.072660905363506,-125.55005602406308
EP02,16,-46.18116818112361,-141.6585632998232
EP02,17,-4.057801371400032,-99.53519649009961
EP02,18,-56.30777177230772,-151.7851668910073
EP02,19,-11.486159928186467,-106.96355504688604
EP02,20,-44.46892720256392,-139.9463223212635
EP02,21,-30.00688811522805,-125.48428323392763
EP02,22,-33.55686906482458,-129.03426418352416
EP02,23,-46.69469434049125,-142.17208945919083
EP02,24,-44.206163528207526,-139.6835586469071
EP02,25,-11.70681915079959,-107.18421426949917
EP02,26,-41.60979431216566,-137.08718943086524
EP02,27,-21.134014085864948,-116.61140920456452
EP02,28,-32.24696354053532,-127.7243586592349
EP02,29,-24.642396447941962,-120.11979156664154
EP02,30,-6.975008203425347,-102.45240332212492
EP02,31,-41.328604679289526,-136.8059997979891
EP02,32,-27.121261260591268,-122.59865637929084
EP02,33,-34.9538286680573,-130.43122378675687
EP02,34,-31.284099334306205,-126.76149445300578
EP02,35,-50.27030199695261,-145.7476971156522
EP02,36,-2.6149853465202852,-98.09238046521986
EP02,37,-49.82025774196063,-145.2976528606602
EP02,38,-40.76959877624273,-136.2469938949423
EP02,39,-44.392079451502894,-139.86947457020247
EP02,40,-13.55431054730282,-109.0317056660024
EP02,41,-38.43245155287127,-133.90984667157085
EP02,42,-53.824578785434454,-149.30197390413403
EP02,43,-25.41683635152701,-120.89423147022659
EP02,44,-53.63351876612427,-149.11091388482384
EP02,45,-9.358354172249705,-104.83574929094928
EP02,46,-23.244015545769628,-118.7214106644692
EP02,47,-42.99120510683733,-138.4686002255369
EP02,48,-56.42200520041061,-151.89940031911019
EP02,49,-50.045898112153964,-145.52329323085354
EP02,50,-71.20156740302332,-166.6789625217229
EP02,51,-19.52136288079089,-114.99875799949046
EP02,52,-57.541948655255624,-153.0193437739552
EP02,53,-17.110244767070668,-112.58763988577024
EP02,54,-6.329401598914785,-101.80679671761436
EP02,55,-31.519775044626215,-126.99717016332579
EP02,56,-20.575810925460985,-116.05320604416056
EP02,57,-28.90768164410045,-124.38507676280003
EP02,58,-61.55549099570683,-157.0328861144064
EP02,59,-35.47100795785886,-130.94840307655844
EP02,60,-49.111868419127404,-144.58926353782698
EP02,61,-33.877769707161946,-129.35516482586152
EP02,62,-55.51447569820644,-150.99187081690602
EP02,63,-44.78360606954922,-140.2610011882488
EP02,64,-49.89035491262521,-145.3677500313248
EP02,65,-33.518674869247036,-128.9960699879466
EP02,66,-60.04614784180853,-155.5235429605081
EP02,67,-23.464170182728992,-118.94156530142857
EP02,68,-59.89771790131721,-155.37511302001678
EP02,69,-31.862384430008092,-127.33977954870767
EP02,70,-13.610458128352903,-109.08785324705248
EP02,71,-48.09226451156596,-143.56965963026553
EP02,72,-31.51906335852837,-126.99645847722795
EP02,73,-30.082748867854917,-125.5601439865545
EP02,74,-37.476170237945155,-132.95356535664473
EP02,75,-23.478770276982104,-118.95616539568168
EP02,76,-4.700513937266493,-100.17790905596607
EP02,77,-19.567761704337755,-115.04515682303733
EP02,78,-56.05233332365839,-151.52972844235796
EP02,79,-47.106139059186205,-142.58353417788578
EP02,80,-18.16898207774547,-113.64637719644504
EP02,81,-63.96042633438151,-159.43782145308109
EP02,82,-13.165202467630237,-108.64259758632981
EP02,83,-42.390536980613234,-137.8679320993128
EP02,84,-31.491839585312363,-126.96923470401194
EP02,85,-53.5365029029621,-149.01389802166167
EP02,86,-41.158858741831324,-136.6362538605309
EP02,87,-3.76567286426031,-99.24306798295989
EP02,88,-55.59014178851777,-151.06753690721735
EP02,89,-29.45627463752976,-124.93366975622934
EP02,90,-38.88730935800507,-134.36470447670465
EP02,91,-55.55276839591224,-151.03016351461181
EP02,92,-64.9649084273893,-160.44230354608888
EP02,93,-61.329410629675806,-156.80680574837538
EP02,94,-30.999381503608504,-126.47677662230808
EP02,95,-42.250876272228766,-137.72827139092834
EP02,96,-41.75722325320385,-137.23461837190342
EP02,97,-58.11827599779048,-153.59567111649005
EP02,98,-36.582556272163174,-132.05995139086275
EP02,99,-64.78914816223468,-160.26654328093426
EP02,100,-26.895034345292217,-122.37242946399179
EP03,1,-18.05934150310712,-113.5367366218067
EP03,2,-52.3076607303054,-147.78505584900498
EP03,3,-40.174823878466015,-135.6522189971656
EP03,4,-22.90003754595672,-118.3774326646563
EP03,5,-47.59865104303532,-143.0760461617349
EP03,6,-33.5738707301264,-129.05126584882598
EP03,7,-57.369389667839954,-152.84678478653953
EP03,8,-32.657878165022424,-128.135273283722
EP03,9,-20.398883324247635,-115.87627844294721
EP03,10,-15.150165928336591,-110.62756104703617
EP03,11,-32.96424130300727,-128.44163642170685
EP03,12,-31.45167608741123,-126.9290712061108
EP03,13,-31.862664739950446,-127.34005985865002
EP03,14,-52.985477213816466,-148.46287233251604
EP03,15,-7.35752097433712,-102.8349160930367
EP03,16,-29.19494758307259,-124.67234270177217
EP03,17,-22.2640848697213,-117.74147998842088
EP03,18,-47.07883130968531,-142.5562264283849
EP03,19,-32.03815161749361,-127.51554673619319
EP03,20,-28.617661174298277,-124.09505629299785
EP03,21,-18.912207185756145,-114.38960230445572
EP03,22,-28.586575160609954,-124.06397027930953
EP03,23,-38.15033813144183,-133.6277332501414
EP03,24,-38.778359420054784,-134.25575453875436
EP03,25,-14.124490466579516,-109.60188558527909
EP03,26,-33.98710069230202,-129.4644958110016
EP03,27,-45.29150686912101,-140.76890198782058
EP03,28,-29.734452413970843,-125.21184753267042
