fs_id,snapshot,inr_db,interf_dbm
EP01,1,-30.41929856365047,-125.89669368235005
EP01,2,-38.6576530424569,-134.13504816115648
EP01,3,-49.33514755075802,-144.8125426694576
EP01,4,-33.45750169172419,-128.93489681042377
EP01,5,-42.936715325508914,-138.4141104442085
EP01,6,-49.310395598856616,-144.7877907175562
EP01,7,-62.25484799738658,-157.73224311608615
EP01,8,-6.576810997802767,-102.05420611650234
EP01,9,-25.607911382089256,-121.08530650078883
EP01,10,-26.33213066880745,-121.80952578750703
EP01,11,-30.994734345294717,-126.47212946399429
EP01,12,-32.791423299224135,-128.2688184179237
EP01,13,-16.108811658674142,-111.58620677737372
EP01,14,-49.67370556576415,-145.15110068446373
EP01,15,-28.73182425146574,-124.20921937016531
EP01,16,-47.93238083123401,-143.4097759499336
EP01,17,-18.191676170363053,-113.66907128906263
EP01,18,-44.52027962910785,-139.99767474780742
EP01,19,-21.394425707610168,-116.87182082630974
EP01,20,-41.32585207371483,-136.8032471924144
EP02,1,-49.81888811678135,-145.29628323548093
EP02,2,-44.581441399476574,-140.05883651817615
EP02,3,-58.71551828585373,-154.1929134045533
EP02,4,-4.819859611271795,-100.29725472997137
EP02,5,-50.88806020705081,-146.3654553257504
EP02,6,-48.179319622975385,-143.65671474167496
EP02,7,-61.335083777173,-156.81247889587257
EP02,8,-13.329912492969555,-108.80730761166913
EP02,9,-17.52433329749867,-113.00172841619825
EP02,10,-35.0512245083014,-130.52861962700098
EP02,11,-15.816727731717677,-111.29412285041725
EP02,12,-14.294913881420896,-109.77230900012047
EP02,13,-11.809963166999182,-107.28735828569876
EP02,14,-43.013494264451936,-138.4908893831515
EP02,15,-30.072660905363506,-125.55005602406308
EP02,16,-46.18116818112361,-141.6585632998232
EP02,17,-4.057801371400032,-99.53519649009961
EP02,18,-56.30777177230772,-151.7851668910073
EP02,19,-11.486159928186467,-106.96355504688604
EP02,20,-44.46892720256392,-139.9463223212635
EP03,1,-18.05934150310712,-113.5367366218067
EP03,2,-52.3076607303054,-147.78505584900498
EP03,3,-40.174823878466015,-135.6522189971656
EP03,4,-22.90003754595672,-118.3774326646563
EP03,5,-47.59865104303532,-143.0760461617349
EP03,6,-33.5738707301264,-129.05126584882598
EP03,7,-57.369389667839954,-152.84678478653953
EP03,8,-32.657878165022424,-128.135273283722
EP03,9,-20.398883324247635,-115.87627844294721
EP03,10,-15.150165928336591,-110.62756104703617
EP03,11,-32.96424130300727,-128.44163642170685
EP03,12,-31.45167608741123,-126.9290712061108
EP03,13,-31.862664739950446,-127.34005985865002
EP03,14,-52.985477213816466,-148.46287233251604
EP03,15,-7.35752097433712,-102.8349160930367
EP03,16,-29.19494758307259,-124.67234270177217
EP03,17,-22.2640848697213,-117.74147998842088
EP03,18,-47.07883130968531,-142.5562264283849
EP03,19,-32.03815161749361,-127.51554673619319
EP03,20,-28.617661174298277,-124.09505629299785
EP04,1,-69.67973404155475,-165.15712916025433
EP04,2,-69.07948822663587,-164.55688334533545
EP04,3,-60.77147184240641,-156.248866961106
EP04,4,-47.516777990865876,-142.99417310956545
EP04,5,-55.209411310141434,-150.686806428841
EP04,6,-64.5489413351657,-160.02633645386527
EP04,7,-69.84206072542861,-165.31945584412819
EP04,8,-52.67793552096788,-148.15533063966745
EP04,9,-48.413887225049024,-143.8912823437486
EP04,10,-54.4728724487577,-149.95026756745727
EP04,11,-58.297636823270835,-153.7750319419704
EP04,12,-66.93293577692702,-162.4103308956266
EP04,13,-50.68031665501809,-146.15771177371766
EP04,14,-55.22897438872951,-150.7063695074291
EP04,15,-57.5700612556883,-153.04745637438788
EP04,16,-56.60009672498151,-152.0774918436811
EP04,17,-61.31786028158746,-156.79525540028703
EP04,18,-59.974499300516584,-155.45189441921616
EP04,19,-56.2836372484401,-151.76103236713968
EP04,20,-62.185804722418624,-157.6631998411182
EP05,1,-71.41699512265555,-166.89439024135513
EP05,2,-72.10905363790269,-167.58644875660227
EP05,3,-76.10428000053037,-171.58167511922994
EP05,4,-63.99682145501532,-159.4742165737149
EP05,5,-66.40836281378358,-161.88575793248316
EP05,6,-66.19410828103761,-161.6715033997372
EP05,7,-79.59941473805407,-175.07680985675364
EP05,8,-86.81029844062573,-182.2876935593253
EP05,9,-71.13914045448135,-166.61653557318093
EP05,10,-71.68306004634604,-167.16045516504562
EP05,11,-61.13228968312691,-156.6096848018265
EP05,12,-60.473925434188175,-155.95132055288775
EP05,13,-67.4724322693927,-162.94982738809227
EP05,14,-69.04709317516117,-164.52448829386074
EP05,15,-72.4232677137633,-167.90066283246287
EP05,16,-62.21251041976359,-157.68990553846317
EP05,17,-79.82297923413321,-175.3003743528328
EP05,18,-46.23029499602464,-141.70769011472422
EP05,19,-74.59886278573231,-170.07625790443188
EP05,20,-58.179923463719376,-153.65731858241895
EP06,1,-55.49531294820713,-150.9727080669067
EP06,2,-46.8117920821054,-142.28918720080497
EP06,3,-30.768890851857094,-126.24628597055667
EP06,4,-49.57755611847597,-145.05495123717554
EP06,5,-36.685104027321415,-132.162499146021
EP06,6,-53.072840534719006,-148.55023565341858
EP06,7,-62.64601178857231,-158.12340690727189
EP06,8,-49.24505386268274,-144.7224489813823
EP06,9,-34.35230159512406,-129.82969671382364
EP06,10,-55.25438500340451,-150.73178012210408
EP06,11,-42.97974570699151,-138.45714082569108
EP06,12,-55.32859010887688,-150.80598522757646
EP06,13,-36.68902390282125,-132.16641902152082
EP06,14,-42.98550665957055,-138.46290177827012
EP06,15,-42.0458755387933,-137.52327065749287
EP06,16,-46.9056310966584,-142.38302621535797
EP06,17,-57.16487249853637,-152.64226761723594
EP06,18,-53.37957627433593,-148.8569713930355
EP06,19,-36.57207534820657,-132.04947046690614
EP06,20,-38.36861771452169,-133.84601283322127
EP07,1,-56.81158342789695,-152.28897854659652
EP07,2,-53.83019703856104,-149.30759215726061
EP07,3,-72.93024794820025,-168.40764306689982
EP07,4,-69.4716844470054,-164.94907956570498
EP07,5,-50.154770941573645,-145.63216606027322
EP07,6,-64.81160609503195,-160.28900121373152
EP07,7,-66.00077168490628,-161.47816680360586
EP07,8,-57.24393792142416,-152.72133304012374
EP07,9,-72.69031528563193,-168.1677104043315
EP07,10,-70.2999903795791,-165.77738549827868
EP07,11,-65.383479474896,-160.86087459359558
EP07,12,-71.37149740649483,-166.8488925251944
EP07,13,-64.12448617208364,-159.6018812907832
EP07,14,-59.71859400079461,-155.1959891194942
EP07,15,-81.36195886917653,-176.8393539878761
EP07,16,-62.6577154166433,-158.13511053534287
EP07,17,-52.76613119748649,-148.24352631618606
EP07,18,-63.35123960651816,-158.82863472521774
EP07,19,-63.18426473722536,-158.66165985592494
EP07,20,-59.42376231624124,-154.9011574349408
EP08,1,-65.14856209006203,-160.6259572087616
EP08,2,-59.85974731618569,-155.33714243488527
EP08,3,-70.40878330051993,-165.8861784192195
EP08,4,-59.72166190222683,-155.1990570209264
EP08,5,-50.57883903836074,-146.05623415706032
EP08,6,-58.16878676198522,-153.6461818806848
EP08,7,-70.49492396738677,-165.97231908608634
EP08,8,-65.4606053507041,-160.93800046940368
EP08,9,-62.416493755198644,-157.89388887389822
EP08,10,-63.87789327898264,-159.35528839768222
EP08,11,-62.579981541839345,-158.05737666053892
EP08,12,-49.53465521353587,-145.01205033223545
EP08,13,-49.99771450264714,-145.47510962134672
EP08,14,-60.579146867775364,-156.05654198647494
EP08,15,-75.94907617814783,-171.4264712968474
EP08,16,-53.35638417045311,-148.8337792891527
EP08,17,-64.42630494395993,-159.9037000626595
EP08,18,-72.10055005714625,-167.57794517584583
EP08,19,-62.537014188879596,-158.01440930757917
EP08,20,-54.80034496870232,-150.2777400874019
EP09,1,-53.27281409028615,-148.75020920898572
EP09,2,-31.827446138861518,-127.3048412575611
EP09,3,-56.02369983689218,-151.50109495559175
EP09,4,-46.56773159334918,-142.04512671204876
EP09,5,-52.86919232814938,-148.34658744684896
EP09,6,-63.93294284593222,-159.4103379646318
EP09,7,-50.378504253259024,-145.8558993719586
EP09,8,-74.99563689275868,-170.47303201145826
EP09,9,-58.628869767612144,-154.10626488631172
EP09,10,-47.742071614656936,-143.2194667333565
EP09,11,-50.66866060293731,-146.14605572163688
EP09,12,-53.96147072467434,-149.43886584337392
EP09,13,-60.71329747016415,-156.19069258886373
EP09,14,-62.31515241398108,-157.79254753268066
EP09,15,-58.56803443986138,-154.04542955856095
EP09,16,-61.834990844290445,-157.31238596299002
EP09,17,-70.84483207877031,-166.32222719746989
EP09,18,-69.07189801090513,-164.5492931296047
EP09,19,-33.52340061025362,-129.0007957289532
EP09,20,-62.39062811078958,-157.86802322948915
EP10,1,-72.8119465928558,-168.28934171155538
EP10,2,-72.0510598509104,-167.52845496960998
EP10,3,-73.25184255045377,-168.72923766915335
EP10,4,-61.04117996362436,-156.51857508232393
EP10,5,-62.91578642670646,-158.39318154540604
EP10,6,-56.890367112554884,-152.36776223125446
EP10,7,-70.08936523430697,-165.56676035300654
EP10,8,-85.930312525158,-181.40770764385758
EP10,9,-72.48260289039624,-167.9599980090958
EP10,10,-54.514874541978685,-149.99226966067826
EP10,11,-62.131550439878936,-157.6089455585785
EP10,12,-65.13606805150084,-160.61346317020042
EP10,13,-55.79136400859295,-151.26875912729253
EP10,14,-74.50130033847788,-169.97869545717745
EP10,15,-75.66715750660526,-171.14455262530484
EP10,16,-63.22162819120834,-158.69902330990791
EP10,17,-63.753313872209674,-159.23070899090925
EP10,18,-67.2136091072557,-162.69100422595528
EP10,19,-69.9275627589958,-165.40495787769538
EP10,20,-54.182676068698356,-149.66007118739793
EP11,1,-60.46054883324774,-155.93794395194732
EP11,2,-54.25339270288032,-149.7307878215799
EP11,3,-58.42507307566845,-153.90246819436803
EP11,4,-59.891516511366575,-155.36891163006615
EP11,5,-58.24095716410352,-153.7183522828031
EP11,6,-62.01878605281183,-157.4961811715114
EP11,7,-48.789587652390765,-144.26698277109034
EP11,8,-71.36744350502715,-166.84483862372673
EP11,9,-65.10321268135309,-160.58060780005266
EP11,10,-63.77037605367178,-159.24777117237136
EP11,11,-59.657715731279325,-155.1351108499789
EP11,12,-58.9576399125109,-154.43503503121048
EP11,13,-59.69793741729066,-155.17533253599024
EP11,14,-66.08502023280568,-161.56241535150525
EP11,15,-63.32066413709035,-158.79805925578992
EP11,16,-63.278784153812666,-158.75617927251224
EP11,17,-65.02508002943557,-160.50247514813515
EP11,18,-65.62151189844923,-161.0989070171488
EP11,19,-68.59012089189227,-164.06751601059185
EP11,20,-56.56411476548331,-152.0415098841829
EP12,1,-71.18596906658183,-166.6633641852814
EP12,2,-61.45513172129415,-156.93252683999373
EP12,3,-59.227210234192285,-154.70460535289186
EP12,4,-61.46062823980691,-156.93802335850648
EP12,5,-61.235984285827186,-156.71337940452676
EP12,6,-52.6951859270805,-148.17258104578008
EP12,7,-71.09721706329162,-166.5746121819912
EP12,8,-65.54270043435127,-161.02009555305085
